# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: GG400}
# - {cwav: '5000'}
# - {Grating: 900ZD}
# schema: astropy-2.0
wav eff eff_unc
4000.320 0.04688 0.00170
4002.960 0.04730 0.00170
4006.040 0.04779 0.00170
4008.680 0.04821 0.00170
4011.320 0.04863 0.00170
4014.400 0.04912 0.00170
4017.040 0.04954 0.00170
4019.680 0.04995 0.00169
4022.760 0.05044 0.00169
4025.400 0.05086 0.00169
4028.480 0.05134 0.00169
4031.120 0.05176 0.00169
4033.760 0.05217 0.00169
4036.840 0.05266 0.00169
4039.480 0.05307 0.00169
4042.120 0.05349 0.00168
4045.200 0.05397 0.00168
4047.840 0.05438 0.00168
4050.480 0.05479 0.00168
4053.560 0.05527 0.00168
4056.200 0.05568 0.00168
4058.840 0.05609 0.00168
4061.920 0.05657 0.00168
4064.560 0.05698 0.00168
4067.640 0.05746 0.00167
4070.280 0.05786 0.00167
4072.920 0.05827 0.00167
4076.000 0.05875 0.00167
4078.640 0.05915 0.00167
4081.280 0.05956 0.00167
4084.360 0.06003 0.00167
4087.000 0.06044 0.00167
4089.640 0.06084 0.00167
4092.720 0.06131 0.00167
4095.360 0.06171 0.00167
4098.000 0.06212 0.00167
4101.080 0.06258 0.00167
4103.720 0.06299 0.00166
4106.360 0.06339 0.00166
4109.440 0.06385 0.00166
4112.080 0.06425 0.00166
4115.160 0.06472 0.00166
4117.800 0.06512 0.00166
4120.440 0.06551 0.00166
4123.520 0.06598 0.00166
4126.160 0.06637 0.00166
4128.800 0.06677 0.00166
4131.880 0.06723 0.00166
4134.520 0.06763 0.00166
4137.160 0.06802 0.00166
4140.240 0.06848 0.00166
4142.880 0.06888 0.00166
4145.520 0.06927 0.00166
4148.600 0.06973 0.00166
4151.240 0.07012 0.00166
4154.320 0.07057 0.00165
4156.960 0.07097 0.00165
4159.600 0.07136 0.00165
4162.680 0.07181 0.00165
4165.320 0.07220 0.00165
4167.960 0.07259 0.00165
4171.040 0.07304 0.00165
4173.680 0.07343 0.00165
4176.320 0.07381 0.00165
4179.400 0.07426 0.00165
4182.040 0.07465 0.00165
4184.680 0.07504 0.00165
4187.760 0.07548 0.00165
4190.400 0.07587 0.00165
4193.040 0.07625 0.00165
4196.120 0.07670 0.00165
4198.760 0.07708 0.00165
4201.840 0.07753 0.00165
4204.480 0.07791 0.00165
4207.120 0.07829 0.00165
4210.200 0.07873 0.00165
4212.840 0.07911 0.00165
4215.480 0.07949 0.00165
4218.560 0.07993 0.00165
4221.200 0.08031 0.00165
4223.840 0.08069 0.00165
4226.920 0.08113 0.00165
4229.560 0.08150 0.00165
4232.200 0.08188 0.00165
4235.280 0.08232 0.00165
4237.920 0.08269 0.00165
4241.000 0.08313 0.00165
4243.640 0.08350 0.00165
