# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: OG550}
# - {cwav: '8000'}
# - {Grating: 1200B}
# schema: astropy-2.0
wav eff eff_unc
6645.350 0.13736 0.00000
6647.990 0.13736 0.00000
6650.630 0.13735 0.00000
6653.600 0.13734 0.00000
6656.240 0.13733 0.00000
6658.880 0.13733 0.00000
6661.520 0.13732 0.00000
6664.160 0.13731 0.00000
6667.130 0.13730 0.00000
6669.770 0.13730 0.00000
6672.410 0.13729 0.00000
6675.050 0.13728 0.00000
6677.690 0.13727 0.00000
6680.330 0.13726 0.00000
6683.300 0.13725 0.00000
6685.940 0.13724 0.00000
6688.580 0.13723 0.00000
6691.220 0.13723 0.00000
6693.860 0.13722 0.00000
6696.830 0.13721 0.00000
6699.470 0.13720 0.00000
6702.110 0.13719 0.00000
6704.750 0.13718 0.00000
6707.390 0.13717 0.00000
6710.360 0.13715 0.00000
6713.000 0.13714 0.00000
6715.640 0.13713 0.00000
6718.280 0.13712 0.00000
6720.920 0.13711 0.00000
6723.560 0.13710 0.00000
6726.530 0.13709 0.00000
6729.170 0.13708 0.00000
6731.810 0.13707 0.00000
6734.450 0.13705 0.00000
6737.090 0.13704 0.00000
6740.060 0.13703 0.00000
6742.700 0.13702 0.00000
6745.340 0.13701 0.00000
6747.980 0.13699 0.00000
6750.620 0.13698 0.00000
6753.590 0.13697 0.00000
6756.230 0.13695 0.00000
6758.870 0.13694 0.00000
6761.510 0.13693 0.00000
6764.150 0.13692 0.00000
6766.790 0.13690 0.00000
6769.760 0.13689 0.00000
6772.400 0.13687 0.00000
6775.040 0.13686 0.00000
6777.680 0.13685 0.00000
6780.320 0.13683 0.00000
6783.290 0.13682 0.00000
6785.930 0.13680 0.00000
6788.570 0.13679 0.00000
6791.210 0.13677 0.00000
6793.850 0.13676 0.00000
6796.820 0.13674 0.00000
6799.460 0.13673 0.00000
6802.100 0.13671 0.00000
6804.740 0.13670 0.00000
6807.380 0.13668 0.00000
6810.020 0.13667 0.00000
6812.990 0.13665 0.00000
6815.630 0.13663 0.00000
6818.270 0.13662 0.00000
6820.910 0.13660 0.00000
6823.550 0.13658 0.00000
6826.520 0.13657 0.00000
6829.160 0.13655 0.00000
6831.800 0.13653 0.00000
6834.440 0.13652 0.00000
6837.080 0.13650 0.00000
6840.050 0.13648 0.00000
6842.690 0.13646 0.00000
6845.330 0.13645 0.00000
6847.970 0.13643 0.00000
6850.610 0.13641 0.00000
6853.250 0.13639 0.00000
6856.220 0.13637 0.00000
6858.860 0.13636 0.00000
6861.500 0.13634 0.00000
6864.140 0.13632 0.00000
6866.780 0.13630 0.00000
6869.750 0.13628 0.00000
6872.390 0.13626 0.00000
6875.030 0.13624 0.00000
6877.670 0.13622 0.00000
6880.310 0.13620 0.00000
6883.280 0.13618 0.00000
6885.920 0.13616 0.00000
6888.560 0.13614 0.00000
6891.200 0.13612 0.00000
6893.840 0.13611 0.00000
6896.480 0.13609 0.00000
6899.450 0.13606 0.00000
6902.090 0.13604 0.00000
6904.730 0.13602 0.00000
6907.370 0.13600 0.00000
6910.010 0.13598 0.00000
6912.980 0.13596 0.00000
6915.620 0.13594 0.00000
6918.260 0.13592 0.00000
6920.900 0.13590 0.00000
6923.540 0.13587 0.00000
6926.510 0.13585 0.00000
6929.150 0.13583 0.00000
6931.790 0.13581 0.00000
6934.430 0.13579 0.00000
6937.070 0.13576 0.00000
6939.710 0.13574 0.00000
6942.680 0.13572 0.00000
6945.320 0.13570 0.00000
6947.960 0.13567 0.00000
6950.600 0.13565 0.00000
6953.240 0.13563 0.00000
6956.210 0.13560 0.00000
6958.850 0.13558 0.00000
6961.490 0.13556 0.00000
6964.130 0.13553 0.00000
6966.770 0.13551 0.00000
6969.740 0.13548 0.00000
6972.380 0.13546 0.00000
6975.020 0.13544 0.00000
6977.660 0.13541 0.00000
6980.300 0.13539 0.00000
6982.940 0.13537 0.00000
6985.910 0.13534 0.00000
6988.550 0.13532 0.00000
6991.190 0.13529 0.00000
6993.830 0.13527 0.00000
6996.470 0.13524 0.00000
6999.440 0.13521 0.00000
7002.080 0.13519 0.00000
7004.720 0.13516 0.00000
7007.360 0.13514 0.00000
7010.000 0.13511 0.00000
7012.970 0.13509 0.00000
7015.610 0.13506 0.00000
7018.250 0.13503 0.00000
7020.890 0.13501 0.00000
7023.530 0.13498 0.00000
7026.500 0.13495 0.00000
7029.140 0.13493 0.00000
7031.780 0.13490 0.00000
7034.420 0.13488 0.00000
7037.060 0.13485 0.00000
7039.700 0.13482 0.00000
7042.670 0.13479 0.00000
7045.310 0.13477 0.00000
7047.950 0.13474 0.00000
7050.590 0.13471 0.00000
7053.230 0.13468 0.00000
7056.200 0.13465 0.00000
7058.840 0.13463 0.00000
7061.480 0.13460 0.00000
7064.120 0.13457 0.00000
7066.760 0.13454 0.00000
7069.730 0.13451 0.00000
7072.370 0.13448 0.00000
7075.010 0.13446 0.00000
7077.650 0.13443 0.00000
7080.290 0.13440 0.00000
7082.930 0.13437 0.00000
7085.900 0.13434 0.00000
7088.540 0.13431 0.00000
7091.180 0.13428 0.00000
7093.820 0.13425 0.00000
7096.460 0.13422 0.00000
7099.430 0.13419 0.00000
7102.070 0.13416 0.00000
7104.710 0.13413 0.00000
7107.350 0.13410 0.00000
7109.990 0.13407 0.00000
7112.960 0.13404 0.00000
7115.600 0.13401 0.00000
7118.240 0.13398 0.00000
7120.880 0.13395 0.00000
7123.520 0.13392 0.00000
7126.160 0.13389 0.00000
7129.130 0.13386 0.00000
7131.770 0.13383 0.00000
7134.410 0.13379 0.00000
7137.050 0.13376 0.00000
7139.690 0.13373 0.00000
7142.660 0.13370 0.00000
7145.300 0.13367 0.00000
7147.940 0.13364 0.00000
7150.580 0.13360 0.00000
7153.220 0.13357 0.00000
7156.190 0.13354 0.00000
7158.830 0.13351 0.00000
7161.470 0.13347 0.00000
7164.110 0.13344 0.00000
7166.750 0.13341 0.00000
7169.390 0.13338 0.00000
7172.360 0.13334 0.00000
7175.000 0.13331 0.00000
7177.640 0.13328 0.00000
7180.280 0.13325 0.00000
7182.920 0.13321 0.00000
7185.890 0.13318 0.00000
7188.530 0.13314 0.00000
7191.170 0.13311 0.00000
7193.810 0.13308 0.00000
7196.450 0.13304 0.00000
7199.420 0.13301 0.00000
7202.060 0.13297 0.00000
7204.700 0.13294 0.00000
7207.340 0.13291 0.00000
7209.980 0.13287 0.00000
7212.620 0.13284 0.00000
