# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: OG550}
# - {cwav: '8000'}
# - {Grating: 1200G}
# schema: astropy-2.0
wav eff eff_unc
6645.350 0.18253 0.00438
6647.990 0.18275 0.00436
6650.630 0.18297 0.00434
6653.600 0.18321 0.00431
6656.240 0.18343 0.00429
6658.880 0.18365 0.00427
6661.520 0.18386 0.00425
6664.160 0.18408 0.00423
6667.130 0.18432 0.00421
6669.770 0.18453 0.00419
6672.410 0.18475 0.00418
6675.050 0.18496 0.00416
6677.690 0.18517 0.00414
6680.330 0.18538 0.00412
6683.300 0.18561 0.00410
6685.940 0.18582 0.00408
6688.580 0.18603 0.00407
6691.220 0.18624 0.00405
6693.860 0.18644 0.00403
6696.830 0.18667 0.00401
6699.470 0.18688 0.00400
6702.110 0.18708 0.00398
6704.750 0.18728 0.00396
6707.390 0.18748 0.00395
6710.360 0.18771 0.00393
6713.000 0.18791 0.00391
6715.640 0.18811 0.00390
6718.280 0.18830 0.00388
6720.920 0.18850 0.00387
6723.560 0.18870 0.00385
6726.530 0.18892 0.00384
6729.170 0.18911 0.00382
6731.810 0.18930 0.00381
6734.450 0.18950 0.00379
6737.090 0.18969 0.00378
6740.060 0.18990 0.00376
6742.700 0.19009 0.00375
6745.340 0.19028 0.00374
6747.980 0.19047 0.00372
6750.620 0.19066 0.00371
6753.590 0.19087 0.00370
6756.230 0.19105 0.00368
6758.870 0.19124 0.00367
6761.510 0.19142 0.00366
6764.150 0.19160 0.00365
6766.790 0.19178 0.00363
6769.760 0.19199 0.00362
6772.400 0.19217 0.00361
6775.040 0.19235 0.00360
6777.680 0.19253 0.00359
6780.320 0.19271 0.00358
6783.290 0.19290 0.00356
6785.930 0.19308 0.00355
6788.570 0.19326 0.00354
6791.210 0.19343 0.00353
6793.850 0.19360 0.00352
6796.820 0.19380 0.00351
6799.460 0.19397 0.00350
6802.100 0.19414 0.00349
6804.740 0.19431 0.00348
6807.380 0.19448 0.00347
6810.020 0.19465 0.00346
6812.990 0.19484 0.00345
6815.630 0.19501 0.00344
6818.270 0.19517 0.00344
6820.910 0.19534 0.00343
6823.550 0.19550 0.00342
6826.520 0.19569 0.00341
6829.160 0.19585 0.00340
6831.800 0.19601 0.00339
6834.440 0.19617 0.00339
6837.080 0.19633 0.00338
6840.050 0.19648 0.00337
6842.690 0.19661 0.00336
6845.330 0.19674 0.00336
6847.970 0.19687 0.00335
6850.610 0.19700 0.00334
6853.250 0.19714 0.00334
6856.220 0.19728 0.00333
6858.860 0.19741 0.00332
6861.500 0.19755 0.00332
6864.140 0.19768 0.00331
6866.780 0.19781 0.00331
6869.750 0.19796 0.00330
6872.390 0.19809 0.00329
6875.030 0.19822 0.00329
6877.670 0.19835 0.00328
6880.310 0.19848 0.00328
6883.280 0.19863 0.00327
6885.920 0.19876 0.00327
6888.560 0.19889 0.00326
6891.200 0.19902 0.00325
6893.840 0.19915 0.00325
6896.480 0.19929 0.00324
6899.450 0.19943 0.00324
6902.090 0.19956 0.00323
6904.730 0.19970 0.00323
6907.370 0.19983 0.00322
6910.010 0.19996 0.00322
6912.980 0.20011 0.00322
6915.620 0.20024 0.00321
6918.260 0.20037 0.00321
6920.900 0.20050 0.00320
6923.540 0.20063 0.00320
6926.510 0.20078 0.00319
6929.150 0.20091 0.00319
6931.790 0.20104 0.00319
6934.430 0.20117 0.00318
6937.070 0.20130 0.00318
6939.710 0.20143 0.00318
6942.680 0.20158 0.00317
6945.320 0.20171 0.00317
6947.960 0.20184 0.00316
6950.600 0.20198 0.00316
6953.240 0.20211 0.00316
6956.210 0.20226 0.00316
6958.850 0.20239 0.00315
6961.490 0.20252 0.00315
6964.130 0.20265 0.00315
6966.770 0.20278 0.00314
6969.740 0.20293 0.00314
6972.380 0.20306 0.00314
6975.020 0.20319 0.00314
6977.660 0.20332 0.00314
6980.300 0.20345 0.00313
6982.940 0.20358 0.00313
6985.910 0.20373 0.00313
6988.550 0.20386 0.00313
6991.190 0.20399 0.00313
6993.830 0.20413 0.00312
6996.470 0.20426 0.00312
6999.440 0.20440 0.00312
7002.080 0.20454 0.00312
7004.720 0.20467 0.00312
7007.360 0.20480 0.00312
7010.000 0.20493 0.00312
7012.970 0.20508 0.00312
7015.610 0.20521 0.00312
7018.250 0.20534 0.00312
7020.890 0.20547 0.00312
7023.530 0.20560 0.00311
7026.500 0.20575 0.00311
7029.140 0.20588 0.00311
7031.780 0.20601 0.00311
7034.420 0.20612 0.00311
7037.060 0.20622 0.00311
7039.700 0.20632 0.00311
7042.670 0.20643 0.00311
7045.310 0.20653 0.00311
7047.950 0.20663 0.00311
7050.590 0.20673 0.00311
7053.230 0.20683 0.00311
7056.200 0.20694 0.00311
7058.840 0.20704 0.00311
7061.480 0.20713 0.00311
7064.120 0.20723 0.00311
7066.760 0.20732 0.00311
7069.730 0.20743 0.00310
7072.370 0.20752 0.00310
7075.010 0.20761 0.00310
7077.650 0.20770 0.00310
7080.290 0.20779 0.00310
7082.930 0.20788 0.00310
7085.900 0.20798 0.00310
7088.540 0.20807 0.00310
7091.180 0.20816 0.00310
7093.820 0.20825 0.00310
7096.460 0.20833 0.00310
7099.430 0.20843 0.00310
7102.070 0.20852 0.00310
7104.710 0.20860 0.00310
7107.350 0.20868 0.00310
7109.990 0.20877 0.00310
7112.960 0.20886 0.00310
7115.600 0.20894 0.00310
7118.240 0.20902 0.00310
7120.880 0.20910 0.00310
7123.520 0.20918 0.00310
7126.160 0.20926 0.00310
7129.130 0.20935 0.00310
7131.770 0.20942 0.00310
7134.410 0.20950 0.00310
7137.050 0.20957 0.00310
7139.690 0.20965 0.00310
7142.660 0.20973 0.00310
7145.300 0.20978 0.00310
7147.940 0.20982 0.00309
7150.580 0.20986 0.00309
7153.220 0.20990 0.00309
7156.190 0.20995 0.00309
7158.830 0.20999 0.00309
7161.470 0.21003 0.00309
7164.110 0.21008 0.00309
7166.750 0.21012 0.00308
7169.390 0.21016 0.00308
7172.360 0.21021 0.00308
7175.000 0.21025 0.00308
7177.640 0.21029 0.00308
7180.280 0.21034 0.00308
7182.920 0.21038 0.00307
7185.890 0.21042 0.00307
7188.530 0.21047 0.00307
7191.170 0.21051 0.00307
7193.810 0.21055 0.00307
7196.450 0.21059 0.00307
7199.420 0.21064 0.00307
7202.060 0.21068 0.00307
7204.700 0.21073 0.00306
7207.340 0.21077 0.00306
7209.980 0.21081 0.00306
7212.620 0.21085 0.00306
7215.590 0.21090 0.00306
7218.230 0.21094 0.00306
7220.870 0.21098 0.00306
7223.510 0.21103 0.00306
7226.150 0.21107 0.00305
7229.120 0.21112 0.00305
7231.760 0.21116 0.00305
7234.400 0.21120 0.00305
7237.040 0.21124 0.00305
7239.680 0.21128 0.00305
7242.650 0.21133 0.00305
7245.290 0.21137 0.00305
7247.930 0.21142 0.00305
7250.570 0.21146 0.00304
7253.210 0.21150 0.00304
7255.850 0.21154 0.00304
7258.820 0.21159 0.00304
7261.460 0.21163 0.00304
7264.100 0.21167 0.00304
7266.740 0.21172 0.00304
7269.380 0.21176 0.00304
7272.350 0.21181 0.00304
7274.990 0.21185 0.00304
7277.630 0.21189 0.00304
7280.270 0.21193 0.00303
7282.910 0.21198 0.00303
7285.880 0.21202 0.00303
7288.520 0.21207 0.00303
7291.160 0.21211 0.00303
7293.800 0.21215 0.00303
7296.440 0.21219 0.00303
7299.080 0.21223 0.00303
7302.050 0.21228 0.00303
7304.690 0.21232 0.00303
7307.330 0.21237 0.00303
7309.970 0.21241 0.00303
7312.610 0.21245 0.00303
7315.580 0.21250 0.00303
7318.220 0.21254 0.00303
7320.860 0.21258 0.00302
7323.500 0.21262 0.00302
7326.140 0.21267 0.00302
7329.110 0.21271 0.00302
7331.750 0.21276 0.00302
7334.390 0.21280 0.00302
7337.030 0.21284 0.00302
7339.670 0.21288 0.00302
7342.640 0.21293 0.00302
7345.280 0.21297 0.00302
7347.920 0.21301 0.00302
7350.560 0.21306 0.00302
7353.200 0.21310 0.00302
7355.840 0.21314 0.00302
7358.810 0.21319 0.00302
7361.450 0.21323 0.00302
7364.090 0.21327 0.00302
7366.730 0.21332 0.00302
7369.370 0.21336 0.00302
7372.340 0.21341 0.00302
7374.980 0.21345 0.00302
7377.620 0.21349 0.00302
7380.260 0.21353 0.00302
7382.900 0.21357 0.00302
7385.870 0.21362 0.00302
7388.510 0.21366 0.00302
7391.150 0.21371 0.00302
7393.790 0.21375 0.00302
7396.430 0.21379 0.00302
7399.070 0.21383 0.00302
7402.040 0.21388 0.00302
7404.680 0.21389 0.00301
7407.320 0.21390 0.00301
7409.960 0.21391 0.00301
7412.600 0.21392 0.00301
7415.570 0.21393 0.00301
7418.210 0.21394 0.00300
7420.850 0.21395 0.00300
7423.490 0.21396 0.00300
7426.130 0.21397 0.00300
7429.100 0.21397 0.00299
7431.740 0.21398 0.00299
7434.380 0.21399 0.00299
7437.020 0.21399 0.00299
7439.660 0.21399 0.00299
7442.300 0.21400 0.00298
7445.270 0.21400 0.00298
7447.910 0.21400 0.00298
7450.550 0.21401 0.00298
7453.190 0.21401 0.00297
7455.830 0.21401 0.00297
7458.800 0.21401 0.00297
7461.440 0.21401 0.00297
7464.080 0.21401 0.00296
7466.720 0.21401 0.00296
7469.360 0.21400 0.00296
7472.330 0.21400 0.00296
7474.970 0.21400 0.00295
7477.610 0.21400 0.00295
7480.250 0.21399 0.00295
7482.890 0.21399 0.00294
7485.530 0.21398 0.00294
7488.500 0.21397 0.00294
7491.140 0.21397 0.00294
7493.780 0.21396 0.00293
7496.420 0.21395 0.00293
7499.060 0.21394 0.00293
7502.030 0.21394 0.00292
7504.670 0.21393 0.00292
7507.310 0.21392 0.00292
7509.950 0.21391 0.00292
7512.590 0.21390 0.00291
7515.560 0.21388 0.00291
7518.200 0.21387 0.00291
7520.840 0.21386 0.00290
7523.480 0.21384 0.00290
7526.120 0.21383 0.00290
7528.760 0.21382 0.00289
7531.730 0.21380 0.00289
7534.370 0.21379 0.00289
7537.010 0.21377 0.00288
7539.650 0.21375 0.00288
7542.290 0.21374 0.00288
7545.260 0.21372 0.00287
7547.900 0.21370 0.00287
7550.540 0.21368 0.00287
7553.180 0.21366 0.00286
7555.820 0.21364 0.00286
7558.790 0.21362 0.00286
7561.430 0.21358 0.00285
7564.070 0.21355 0.00285
7566.710 0.21351 0.00285
7569.350 0.21347 0.00284
7571.990 0.21343 0.00284
7574.960 0.21339 0.00283
7577.600 0.21335 0.00283
7580.240 0.21332 0.00282
7582.880 0.21328 0.00282
7585.520 0.21324 0.00282
7588.490 0.21320 0.00281
7591.130 0.21316 0.00281
7593.770 0.21313 0.00280
7596.410 0.21309 0.00280
7599.050 0.21305 0.00280
7602.020 0.21301 0.00279
7604.660 0.21297 0.00279
7607.300 0.21294 0.00278
7609.940 0.21290 0.00278
7612.580 0.21286 0.00278
7615.220 0.21282 0.00277
7618.190 0.21278 0.00277
7620.830 0.21274 0.00276
7623.470 0.21271 0.00276
7626.110 0.21267 0.00276
7628.750 0.21263 0.00275
7631.720 0.21259 0.00275
7634.360 0.21255 0.00274
7637.000 0.21252 0.00274
7639.640 0.21248 0.00274
7642.280 0.21244 0.00273
7645.250 0.21240 0.00273
7647.890 0.21236 0.00272
7650.530 0.21232 0.00272
7653.170 0.21229 0.00272
7655.810 0.21225 0.00271
7658.780 0.21221 0.00271
7661.420 0.21217 0.00270
7664.060 0.21213 0.00270
7666.700 0.21210 0.00270
7669.340 0.21206 0.00269
7671.980 0.21202 0.00269
7674.950 0.21198 0.00268
7677.590 0.21194 0.00268
7680.230 0.21191 0.00268
7682.870 0.21187 0.00267
7685.510 0.21183 0.00267
7688.480 0.21179 0.00267
7691.120 0.21175 0.00266
7693.760 0.21171 0.00266
7696.400 0.21168 0.00265
7699.040 0.21164 0.00265
7702.010 0.21160 0.00265
7704.650 0.21156 0.00264
7707.290 0.21152 0.00264
7709.930 0.21149 0.00264
7712.570 0.21145 0.00263
7715.210 0.21141 0.00263
7718.180 0.21137 0.00262
7720.820 0.21133 0.00262
7723.460 0.21129 0.00262
7726.100 0.21126 0.00261
7728.740 0.21122 0.00261
7731.710 0.21118 0.00261
7734.350 0.21114 0.00260
7736.990 0.21110 0.00260
7739.630 0.21107 0.00260
7742.270 0.21103 0.00259
7745.240 0.21097 0.00259
7747.880 0.21091 0.00258
7750.520 0.21086 0.00258
7753.160 0.21080 0.00257
7755.800 0.21075 0.00257
7758.440 0.21069 0.00257
7761.410 0.21063 0.00256
7764.050 0.21057 0.00256
7766.690 0.21052 0.00255
7769.330 0.21046 0.00255
7771.970 0.21040 0.00255
7774.940 0.21033 0.00254
7777.580 0.21028 0.00254
7780.220 0.21022 0.00253
7782.860 0.21016 0.00253
7785.500 0.21010 0.00252
7788.470 0.21003 0.00252
7791.110 0.20997 0.00252
7793.750 0.20990 0.00251
7796.390 0.20984 0.00251
7799.030 0.20978 0.00250
7801.670 0.20972 0.00250
7804.640 0.20965 0.00250
7807.280 0.20958 0.00249
7809.920 0.20952 0.00249
7812.560 0.20945 0.00248
7815.200 0.20939 0.00248
7818.170 0.20931 0.00247
7820.810 0.20925 0.00247
7823.450 0.20918 0.00247
7826.090 0.20912 0.00246
7828.730 0.20905 0.00246
7831.700 0.20897 0.00245
7834.340 0.20890 0.00245
7836.980 0.20884 0.00245
7839.620 0.20877 0.00244
7842.260 0.20870 0.00244
7844.900 0.20863 0.00243
7847.870 0.20855 0.00243
7850.510 0.20848 0.00243
7853.150 0.20841 0.00242
7855.790 0.20834 0.00242
7858.430 0.20827 0.00241
7861.400 0.20818 0.00241
7864.040 0.20811 0.00241
7866.680 0.20804 0.00240
7869.320 0.20797 0.00240
7871.960 0.20789 0.00239
7874.930 0.20781 0.00239
7877.570 0.20774 0.00239
7880.210 0.20766 0.00238
7882.850 0.20759 0.00238
7885.490 0.20751 0.00238
7888.130 0.20743 0.00237
7891.100 0.20735 0.00237
7893.740 0.20727 0.00236
7896.380 0.20719 0.00236
7899.020 0.20712 0.00236
7901.660 0.20704 0.00235
7904.630 0.20695 0.00235
7907.270 0.20687 0.00234
7909.910 0.20679 0.00234
7912.550 0.20671 0.00234
7915.190 0.20663 0.00233
7918.160 0.20654 0.00233
7920.800 0.20646 0.00233
7923.440 0.20638 0.00232
7926.080 0.20630 0.00232
7928.720 0.20622 0.00232
7931.360 0.20614 0.00231
7934.330 0.20604 0.00231
7936.970 0.20596 0.00231
7939.610 0.20588 0.00230
7942.250 0.20579 0.00230
7944.890 0.20571 0.00230
7947.860 0.20561 0.00229
7950.500 0.20553 0.00229
7953.140 0.20544 0.00229
7955.780 0.20536 0.00228
7958.420 0.20527 0.00228
7961.390 0.20518 0.00228
7964.030 0.20509 0.00227
7966.670 0.20500 0.00227
7969.310 0.20492 0.00227
7971.950 0.20483 0.00226
7974.590 0.20474 0.00226
7977.560 0.20464 0.00226
