# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: OG550}
# - {cwav: '8000'}
# - {Grating: 900ZD}
# schema: astropy-2.0
wav eff eff_unc
6193.800 0.19007 0.00884
6197.320 0.19018 0.00881
6200.840 0.19030 0.00879
6204.800 0.19043 0.00876
6208.320 0.19055 0.00874
6211.840 0.19066 0.00871
6215.360 0.19077 0.00869
6218.880 0.19089 0.00867
6222.840 0.19101 0.00864
6226.360 0.19112 0.00862
6229.880 0.19123 0.00860
6233.400 0.19134 0.00857
6236.920 0.19145 0.00855
6240.440 0.19156 0.00853
6244.400 0.19168 0.00851
6247.920 0.19179 0.00848
6251.440 0.19190 0.00846
6254.960 0.19200 0.00844
6258.480 0.19211 0.00842
6262.440 0.19222 0.00840
6265.960 0.19233 0.00838
6269.480 0.19243 0.00836
6273.000 0.19253 0.00834
6276.520 0.19263 0.00832
6280.480 0.19274 0.00830
6284.000 0.19283 0.00828
6287.520 0.19293 0.00827
6291.040 0.19302 0.00825
6294.560 0.19311 0.00823
6298.080 0.19321 0.00821
6302.040 0.19331 0.00819
6305.560 0.19341 0.00818
6309.080 0.19350 0.00816
6312.600 0.19360 0.00814
6316.120 0.19369 0.00813
6320.080 0.19380 0.00811
6323.600 0.19389 0.00809
6327.120 0.19399 0.00808
6330.640 0.19408 0.00806
6334.160 0.19417 0.00804
6338.120 0.19428 0.00803
6341.640 0.19437 0.00801
6345.160 0.19446 0.00800
6348.680 0.19455 0.00798
6352.200 0.19463 0.00797
6355.720 0.19472 0.00795
6359.680 0.19481 0.00794
6363.200 0.19490 0.00792
6366.720 0.19498 0.00791
6370.240 0.19506 0.00790
6373.760 0.19514 0.00789
6377.720 0.19524 0.00787
6381.240 0.19532 0.00786
6384.760 0.19539 0.00785
6388.280 0.19547 0.00784
6391.800 0.19555 0.00782
6395.760 0.19564 0.00781
6399.280 0.19572 0.00780
6402.800 0.19579 0.00779
6406.320 0.19587 0.00778
6409.840 0.19594 0.00777
6413.360 0.19602 0.00776
6417.320 0.19610 0.00775
6420.840 0.19617 0.00774
6424.360 0.19624 0.00773
6427.880 0.19631 0.00772
6431.400 0.19638 0.00771
6435.360 0.19646 0.00770
6438.880 0.19653 0.00769
6442.400 0.19660 0.00768
6445.920 0.19667 0.00767
6449.440 0.19673 0.00766
6453.400 0.19681 0.00766
6456.920 0.19687 0.00765
6460.440 0.19694 0.00764
6463.960 0.19700 0.00763
6467.480 0.19707 0.00762
6471.000 0.19713 0.00762
6474.960 0.19720 0.00761
6478.480 0.19726 0.00760
6482.000 0.19732 0.00760
6485.520 0.19738 0.00759
6489.040 0.19744 0.00758
6493.000 0.19751 0.00758
6496.520 0.19757 0.00757
6500.040 0.19762 0.00757
6503.560 0.19768 0.00756
6507.080 0.19774 0.00755
6511.040 0.19780 0.00755
6514.560 0.19785 0.00754
6518.080 0.19791 0.00754
6521.600 0.19796 0.00753
6525.120 0.19801 0.00753
6528.640 0.19806 0.00753
6532.600 0.19812 0.00752
6536.120 0.19817 0.00752
6539.640 0.19822 0.00751
6543.160 0.19827 0.00751
6546.680 0.19831 0.00751
6550.640 0.19836 0.00750
6554.160 0.19840 0.00750
6557.680 0.19844 0.00750
6561.200 0.19849 0.00750
6564.720 0.19853 0.00749
6568.680 0.19858 0.00749
6572.200 0.19862 0.00749
6575.720 0.19866 0.00749
6579.240 0.19871 0.00748
6582.760 0.19875 0.00748
6586.280 0.19879 0.00748
6590.240 0.19884 0.00748
6593.760 0.19888 0.00748
6597.280 0.19893 0.00747
6600.800 0.19897 0.00747
6604.320 0.19901 0.00747
6608.280 0.19906 0.00747
6611.800 0.19910 0.00747
6615.320 0.19914 0.00747
6618.840 0.19917 0.00746
6622.360 0.19921 0.00746
6626.320 0.19925 0.00746
6629.840 0.19928 0.00746
6633.360 0.19931 0.00746
6636.880 0.19935 0.00746
6640.400 0.19938 0.00746
6643.920 0.19941 0.00746
6647.880 0.19944 0.00746
6651.400 0.19947 0.00746
6654.920 0.19950 0.00746
6658.440 0.19953 0.00746
6661.960 0.19956 0.00746
6665.920 0.19959 0.00747
6669.440 0.19961 0.00747
6672.960 0.19964 0.00747
6676.480 0.19966 0.00747
6680.000 0.19969 0.00747
6683.960 0.19971 0.00747
6687.480 0.19974 0.00747
6691.000 0.19976 0.00747
6694.520 0.19978 0.00748
6698.040 0.19980 0.00748
6702.000 0.19983 0.00748
6705.520 0.19985 0.00748
6709.040 0.19987 0.00748
6712.560 0.19988 0.00749
6716.080 0.19990 0.00749
6719.600 0.19992 0.00749
6723.560 0.19994 0.00749
6727.080 0.19996 0.00749
6730.600 0.19997 0.00750
6734.120 0.19999 0.00750
6737.640 0.20000 0.00750
6741.600 0.20002 0.00751
