# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '5000'}
# - {FILTER: GG400}
# - {GRATING: 1200B}
# - {GRISM: none}
# - {MODE: spectroscopic}
# schema: astropy-2.0
WAV EFF EFF_UNC
4000.1 0.04862 0.00084
4002.41 0.04909 0.00083
4004.72 0.04956 0.00082
4007.03 0.05003 0.00081
4009.34 0.0505 0.0008
4011.98 0.05103 0.00079
4014.29 0.0515 0.00078
4016.6 0.05196 0.00077
4018.91 0.05243 0.00076
4021.22 0.05289 0.00075
4023.53 0.05335 0.00074
4025.84 0.05381 0.00074
4028.15 0.05427 0.00073
4030.46 0.05473 0.00072
4033.1 0.05526 0.00071
4035.41 0.05571 0.0007
4037.72 0.05617 0.00069
4040.03 0.05662 0.00068
4042.34 0.05708 0.00067
4044.65 0.05753 0.00067
4046.96 0.05798 0.00066
4049.27 0.05843 0.00065
4051.58 0.05888 0.00064
4054.22 0.05939 0.00063
4056.53 0.05983 0.00062
4058.84 0.06028 0.00062
4061.15 0.06072 0.00061
4063.46 0.06117 0.0006
4065.77 0.06161 0.00059
4068.08 0.06205 0.00059
4070.39 0.06249 0.00058
4073.03 0.06299 0.00057
4075.34 0.06343 0.00056
4077.65 0.06387 0.00055
4079.96 0.0643 0.00055
4082.27 0.06474 0.00054
4084.58 0.06517 0.00053
4086.89 0.0656 0.00052
4089.2 0.06603 0.00052
4091.51 0.06646 0.00051
4094.15 0.06695 0.0005
4096.46 0.06738 0.00049
4098.77 0.06781 0.00049
4101.08 0.06823 0.00048
4103.39 0.06866 0.00047
4105.7 0.06908 0.00047
4108.01 0.06951 0.00046
4110.32 0.06993 0.00045
4112.63 0.07035 0.00045
4115.27 0.07083 0.00044
4117.58 0.07124 0.00043
4119.89 0.07166 0.00042
4122.2 0.07208 0.00042
4124.51 0.07249 0.00041
4126.82 0.07291 0.0004
4129.13 0.07332 0.0004
4131.44 0.07373 0.00039
4133.75 0.07414 0.00039
4136.39 0.07461 0.00038
4138.7 0.07502 0.00037
4141.01 0.07543 0.00037
4143.32 0.07583 0.00036
4145.63 0.07624 0.00035
4147.94 0.07664 0.00035
4150.25 0.07705 0.00034
4152.56 0.07745 0.00034
4154.87 0.07785 0.00033
4157.51 0.07831 0.00032
4159.82 0.07871 0.00032
4162.13 0.07911 0.00031
4164.44 0.0795 0.00031
4166.75 0.0799 0.0003
4169.06 0.0803 0.00029
4171.37 0.08069 0.00029
4173.68 0.08108 0.00028
4175.99 0.08148 0.00028
4178.63 0.08192 0.00027
4180.94 0.08231 0.00027
4183.25 0.0827 0.00026
4185.56 0.08309 0.00025
4187.87 0.08348 0.00025
4190.18 0.08386 0.00024
4192.49 0.08425 0.00024
4194.8 0.08463 0.00023
4197.11 0.08501 0.00023
4199.75 0.08545 0.00022
4202.06 0.08583 0.00022
4204.37 0.08621 0.00021
4206.68 0.08659 0.00021
4208.99 0.08697 0.0002
4211.3 0.08734 0.0002
4213.61 0.08772 0.00019
4215.92 0.08809 0.00019
4218.56 0.08852 0.00018
4220.87 0.08889 0.00018
4223.18 0.08927 0.00017
4225.49 0.08964 0.00017
4227.8 0.09001 0.00016
4230.11 0.09037 0.00016
4232.42 0.09074 0.00016
4234.73 0.09111 0.00015
4237.04 0.09147 0.00015
4239.68 0.09189 0.00014
4241.99 0.09226 0.00014
4244.3 0.09262 0.00013
4246.61 0.09298 0.00013
4248.92 0.09334 0.00013
4251.23 0.0937 0.00012
4253.54 0.09406 0.00012
4255.85 0.09442 0.00011
4258.16 0.09477 0.00011
4260.8 0.09518 0.0001
4263.11 0.09554 0.0001
4265.42 0.09589 0.0001
4267.73 0.09624 9e-05
4270.04 0.09659 9e-05
4272.35 0.09694 9e-05
4274.66 0.09729 8e-05
4276.97 0.09764 8e-05
4279.28 0.09799 7e-05
4281.92 0.09839 7e-05
4284.23 0.09873 7e-05
4286.54 0.09908 6e-05
4288.85 0.09942 6e-05
4291.16 0.09977 6e-05
4293.47 0.10011 5e-05
4295.78 0.10045 5e-05
4298.09 0.10079 5e-05
4300.4 0.10113 4e-05
4303.04 0.10152 4e-05
4305.35 0.10185 4e-05
4307.66 0.10219 3e-05
4309.97 0.10253 3e-05
4312.28 0.10286 3e-05
4314.59 0.10319 2e-05
4316.9 0.10353 2e-05
4319.21 0.10386 2e-05
4321.52 0.10419 1e-05
4324.16 0.10457 1e-05
4326.47 0.1049 1e-05
4328.78 0.10522 1e-05
4331.09 0.10555 0.0
4333.4 0.10588 0.0
4335.71 0.1062 0.0
4338.02 0.10653 1e-05
4340.33 0.10685 1e-05
4342.64 0.10717 1e-05
4345.28 0.10754 1e-05
4347.59 0.10786 2e-05
4349.9 0.10818 2e-05
4352.21 0.1085 2e-05
4354.52 0.10881 2e-05
4356.83 0.10913 3e-05
4359.14 0.10945 3e-05
4361.45 0.10976 3e-05
4364.09 0.11012 3e-05
4366.4 0.11043 4e-05
4368.71 0.11075 4e-05
4371.02 0.11106 4e-05
4373.33 0.11137 4e-05
4375.64 0.11168 4e-05
4377.95 0.11199 5e-05
4380.26 0.11229 5e-05
4382.57 0.1126 5e-05
4385.21 0.11295 5e-05
4387.52 0.11325 5e-05
4389.83 0.11356 6e-05
4392.14 0.11386 6e-05
4394.45 0.11416 6e-05
4396.76 0.11446 6e-05
4399.07 0.11476 6e-05
4401.38 0.11506 7e-05
4403.69 0.11536 7e-05
4406.33 0.1157 7e-05
4408.64 0.116 7e-05
4410.95 0.11629 7e-05
4413.26 0.11659 7e-05
4415.57 0.11688 8e-05
4417.88 0.11718 8e-05
4420.19 0.11747 8e-05
4422.5 0.11776 8e-05
4424.81 0.11805 8e-05
4427.45 0.11838 8e-05
4429.76 0.11867 8e-05
4432.07 0.11896 9e-05
4434.38 0.11925 9e-05
4436.69 0.11953 9e-05
4439.0 0.11982 9e-05
4441.31 0.1201 9e-05
4443.62 0.12038 9e-05
4445.93 0.12067 9e-05
4448.57 0.12099 0.0001
4450.88 0.12127 0.0001
4453.19 0.12155 0.0001
4455.5 0.12183 0.0001
4457.81 0.12211 0.0001
4460.12 0.12238 0.0001
4462.43 0.12266 0.0001
4464.74 0.12294 0.0001
4467.05 0.12321 0.0001
4469.69 0.12352 0.0001
4472.0 0.1238 0.0001
4474.31 0.12407 0.00011
4476.62 0.12434 0.00011
4478.93 0.12461 0.00011
4481.24 0.12488 0.00011
4483.55 0.12515 0.00011
4485.86 0.12542 0.00011
4488.5 0.12572 0.00011
4490.81 0.12599 0.00011
4493.12 0.12625 0.00011
4495.43 0.12652 0.00011
4497.74 0.12678 0.00011
4500.05 0.12705 0.00011
4502.36 0.12731 0.00011
4504.67 0.12757 0.00011
4506.98 0.12783 0.00011
4509.62 0.12813 0.00011
4511.93 0.12838 0.00012
4514.24 0.12864 0.00012
4516.55 0.1289 0.00012
4518.86 0.12916 0.00012
4521.17 0.12941 0.00012
4523.48 0.12967 0.00012
4525.79 0.12992 0.00012
4528.1 0.13017 0.00012
4530.74 0.13046 0.00012
4533.05 0.13071 0.00012
4535.36 0.13096 0.00012
4537.67 0.13121 0.00012
4539.98 0.13146 0.00012
4542.29 0.13171 0.00012
4544.6 0.13196 0.00012
4546.91 0.1322 0.00012
4549.22 0.13245 0.00012
4551.86 0.13273 0.00012
4554.17 0.13297 0.00012
4556.48 0.13321 0.00012
4558.79 0.13346 0.00012
4561.1 0.1337 0.00012
4563.41 0.13394 0.00012
4565.72 0.13418 0.00012
4568.03 0.13442 0.00012
4570.34 0.13466 0.00012
4572.98 0.13493 0.00012
4575.29 0.13516 0.00012
4577.6 0.1354 0.00012
4579.91 0.13564 0.00012
4582.22 0.13587 0.00011
4584.53 0.1361 0.00011
4586.84 0.13634 0.00011
4589.15 0.13657 0.00011
4591.46 0.1368 0.00011
4594.1 0.13706 0.00011
4596.41 0.13729 0.00011
4598.72 0.13752 0.00011
4601.03 0.13775 0.00011
4603.34 0.13798 0.00011
4605.65 0.1382 0.00011
