# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '5000'}
# - {FILTER: GG400}
# - {GRATING: 900ZD}
# - {GRISM: none}
# - {MODE: spectroscopic}
# schema: astropy-2.0
WAV EFF EFF_UNC
4000.32 0.04688 0.0017
4002.96 0.0473 0.0017
4006.04 0.04779 0.0017
4008.68 0.04821 0.0017
4011.32 0.04863 0.0017
4014.4 0.04912 0.0017
4017.04 0.04954 0.0017
4019.68 0.04995 0.00169
4022.76 0.05044 0.00169
4025.4 0.05086 0.00169
4028.48 0.05134 0.00169
4031.12 0.05176 0.00169
4033.76 0.05217 0.00169
4036.84 0.05266 0.00169
4039.48 0.05307 0.00169
4042.12 0.05349 0.00168
4045.2 0.05397 0.00168
4047.84 0.05438 0.00168
4050.48 0.05479 0.00168
4053.56 0.05527 0.00168
4056.2 0.05568 0.00168
4058.84 0.05609 0.00168
4061.92 0.05657 0.00168
4064.56 0.05698 0.00168
4067.64 0.05746 0.00167
4070.28 0.05786 0.00167
4072.92 0.05827 0.00167
4076.0 0.05875 0.00167
4078.64 0.05915 0.00167
4081.28 0.05956 0.00167
4084.36 0.06003 0.00167
4087.0 0.06044 0.00167
4089.64 0.06084 0.00167
4092.72 0.06131 0.00167
4095.36 0.06171 0.00167
4098.0 0.06212 0.00167
4101.08 0.06258 0.00167
4103.72 0.06299 0.00166
4106.36 0.06339 0.00166
4109.44 0.06385 0.00166
4112.08 0.06425 0.00166
4115.16 0.06472 0.00166
4117.8 0.06512 0.00166
4120.44 0.06551 0.00166
4123.52 0.06598 0.00166
4126.16 0.06637 0.00166
4128.8 0.06677 0.00166
4131.88 0.06723 0.00166
4134.52 0.06763 0.00166
4137.16 0.06802 0.00166
4140.24 0.06848 0.00166
4142.88 0.06888 0.00166
4145.52 0.06927 0.00166
4148.6 0.06973 0.00166
4151.24 0.07012 0.00166
4154.32 0.07057 0.00165
4156.96 0.07097 0.00165
4159.6 0.07136 0.00165
4162.68 0.07181 0.00165
4165.32 0.0722 0.00165
4167.96 0.07259 0.00165
4171.04 0.07304 0.00165
4173.68 0.07343 0.00165
4176.32 0.07381 0.00165
4179.4 0.07426 0.00165
4182.04 0.07465 0.00165
4184.68 0.07504 0.00165
4187.76 0.07548 0.00165
4190.4 0.07587 0.00165
4193.04 0.07625 0.00165
4196.12 0.0767 0.00165
4198.76 0.07708 0.00165
4201.84 0.07753 0.00165
4204.48 0.07791 0.00165
4207.12 0.07829 0.00165
4210.2 0.07873 0.00165
4212.84 0.07911 0.00165
4215.48 0.07949 0.00165
4218.56 0.07993 0.00165
4221.2 0.08031 0.00165
4223.84 0.08069 0.00165
4226.92 0.08113 0.00165
4229.56 0.0815 0.00165
4232.2 0.08188 0.00165
4235.28 0.08232 0.00165
4237.92 0.08269 0.00165
4241.0 0.08313 0.00165
4243.64 0.0835 0.00165
4246.28 0.08388 0.00165
4249.36 0.08431 0.00165
4252.0 0.08468 0.00165
4254.64 0.08505 0.00165
4257.72 0.08549 0.00165
4260.36 0.08586 0.00165
4263.0 0.08623 0.00165
4266.08 0.08666 0.00165
4268.72 0.08703 0.00165
4271.36 0.08739 0.00165
4274.44 0.08782 0.00165
4277.08 0.08819 0.00165
4280.16 0.08862 0.00165
4282.8 0.08898 0.00165
4285.44 0.08935 0.00165
4288.52 0.08978 0.00166
4291.16 0.09014 0.00166
4293.8 0.0905 0.00166
4296.88 0.09093 0.00166
4299.52 0.09129 0.00166
4302.16 0.09165 0.00166
4305.24 0.09207 0.00166
4307.88 0.09244 0.00166
4310.52 0.0928 0.00166
4313.6 0.09322 0.00166
4316.24 0.09358 0.00166
4318.88 0.09394 0.00166
4321.96 0.09435 0.00166
4324.6 0.09471 0.00166
4327.68 0.09513 0.00166
4330.32 0.09548 0.00166
4332.96 0.09584 0.00166
4336.04 0.09626 0.00167
4338.68 0.09661 0.00167
4341.32 0.09697 0.00167
4344.4 0.09738 0.00167
4347.04 0.09773 0.00167
4349.68 0.09809 0.00167
4352.76 0.0985 0.00167
4355.4 0.09885 0.00167
4358.04 0.0992 0.00167
4361.12 0.09961 0.00167
4363.76 0.09996 0.00167
4366.84 0.10037 0.00168
4369.48 0.10072 0.00168
4372.12 0.10107 0.00168
4375.2 0.10147 0.00168
4377.84 0.10182 0.00168
4380.48 0.10217 0.00168
4383.56 0.10257 0.00168
4386.2 0.10292 0.00168
4388.84 0.10326 0.00168
4391.92 0.10367 0.00169
4394.56 0.10401 0.00169
4397.2 0.10435 0.00169
4400.28 0.10475 0.00169
4402.92 0.1051 0.00169
4405.56 0.10544 0.00169
4408.64 0.10584 0.00169
4411.28 0.10618 0.0017
4414.36 0.10658 0.0017
4417.0 0.10692 0.0017
4419.64 0.10726 0.0017
4422.72 0.10765 0.0017
4425.36 0.10799 0.0017
4428.0 0.10833 0.0017
4431.08 0.10872 0.00171
4433.72 0.10906 0.00171
4436.36 0.1094 0.00171
4439.44 0.10979 0.00171
4442.08 0.11012 0.00171
4444.72 0.11046 0.00171
4447.8 0.11085 0.00172
4450.44 0.11118 0.00172
4453.52 0.11157 0.00172
4456.16 0.1119 0.00172
4458.8 0.11224 0.00172
4461.88 0.11262 0.00173
4464.52 0.11296 0.00173
4467.16 0.11329 0.00173
4470.24 0.11367 0.00173
4472.88 0.114 0.00173
4475.52 0.11433 0.00174
4478.6 0.11471 0.00174
4481.24 0.11504 0.00174
4483.88 0.11537 0.00174
4486.96 0.11575 0.00175
4489.6 0.11608 0.00175
4492.24 0.1164 0.00175
4495.32 0.11678 0.00175
4497.96 0.11711 0.00176
4501.04 0.11749 0.00176
4503.68 0.11781 0.00176
4506.32 0.11813 0.00176
4509.4 0.11851 0.00177
4512.04 0.11883 0.00177
4514.68 0.11915 0.00177
4517.76 0.11953 0.00177
4520.4 0.11985 0.00178
4523.04 0.12017 0.00178
4526.12 0.12054 0.00178
4528.76 0.12086 0.00178
4531.4 0.12118 0.00179
4534.48 0.12155 0.00179
4537.12 0.12187 0.00179
4540.2 0.12224 0.0018
4542.84 0.12255 0.0018
4545.48 0.12287 0.0018
4548.56 0.12324 0.00181
4551.2 0.12355 0.00181
4553.84 0.12387 0.00181
4556.92 0.12423 0.00182
4559.56 0.12455 0.00182
4562.2 0.12486 0.00182
4565.28 0.12522 0.00183
4567.92 0.12553 0.00183
4570.56 0.12585 0.00183
4573.64 0.12621 0.00184
4576.28 0.12652 0.00184
4578.92 0.12683 0.00184
4582.0 0.12719 0.00185
4584.64 0.1275 0.00185
4587.72 0.12786 0.00185
4590.36 0.12817 0.00186
4593.0 0.12847 0.00186
4596.08 0.12883 0.00186
4598.72 0.12914 0.00187
4601.36 0.12944 0.00187
4604.44 0.1298 0.00188
4607.08 0.1301 0.00188
4609.72 0.13041 0.00188
4612.8 0.13076 0.00189
4615.44 0.13106 0.00189
4618.08 0.13137 0.0019
4621.16 0.13172 0.0019
4623.8 0.13202 0.0019
4626.88 0.13237 0.00191
4629.52 0.13267 0.00191
4632.16 0.13297 0.00192
4635.24 0.13332 0.00192
4637.88 0.13362 0.00193
4640.52 0.13392 0.00193
4643.6 0.13426 0.00193
4646.24 0.13456 0.00194
4648.88 0.13486 0.00194
4651.96 0.1352 0.00195
4654.6 0.13549 0.00195
4657.24 0.13577 0.00196
4660.32 0.13611 0.00196
4662.96 0.1364 0.00197
4665.6 0.13669 0.00197
4668.68 0.13703 0.00197
4671.32 0.13732 0.00198
4674.4 0.13766 0.00198
4677.04 0.13794 0.00199
4679.68 0.13823 0.00199
4682.76 0.13857 0.002
4685.4 0.13886 0.002
4688.04 0.13915 0.00201
4691.12 0.13949 0.00201
4693.76 0.13978 0.00202
4696.4 0.14007 0.00202
4699.48 0.1404 0.00203
4702.12 0.14069 0.00204
4704.76 0.14098 0.00204
4707.84 0.14132 0.00205
4710.48 0.14161 0.00205
4713.56 0.14195 0.00206
4716.2 0.14224 0.00206
