# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '7000'}
# - {FILTER: GG455}
# - {GRATING: 1200B}
# - {GRISM: none}
# - {MODE: spectroscopic}
# - {DICHROIC: none}
# schema: astropy-2.0
WAV EFF EFF_UNC
5645.35 0.14919 0.0
5647.99 0.14937 0.0
5650.63 0.14955 0.0
5653.6 0.14975 0.0
5656.24 0.14993 0.0
5658.88 0.15011 0.0
5661.52 0.15028 0.0
5664.16 0.15046 0.0
5667.13 0.15066 0.0
5669.77 0.15083 0.0
5672.41 0.15101 0.0
5675.05 0.15118 0.0
5677.69 0.15135 0.0
5680.33 0.15152 0.0
5683.3 0.15172 0.0
5685.94 0.15189 0.0
5688.58 0.15206 0.0
5691.22 0.15223 0.0
5693.86 0.15239 0.0
5696.83 0.15258 0.0
5699.47 0.15275 0.0
5702.11 0.15291 0.0
5704.75 0.15308 0.0
5707.39 0.15325 0.0
5710.36 0.15343 0.0
5713.0 0.15359 0.0
5715.64 0.15376 0.0
5718.28 0.15392 0.0
5720.92 0.15408 0.0
5723.56 0.15424 0.0
5726.53 0.15442 0.0
5729.17 0.15458 0.0
5731.81 0.15474 0.0
5734.45 0.1549 0.0
5737.09 0.15505 0.0
5740.06 0.15523 0.0
5742.7 0.15538 0.0
5745.34 0.15554 0.0
5747.98 0.15569 0.0
5750.62 0.15585 0.0
5753.59 0.15602 0.0
5756.23 0.15617 0.0
5758.87 0.15632 0.0
5761.51 0.15648 0.0
5764.15 0.15663 0.0
5766.79 0.15678 0.0
5769.76 0.15694 0.0
5772.4 0.15709 0.0
5775.04 0.15724 0.0
5777.68 0.15739 0.0
5780.32 0.15753 0.0
5783.29 0.1577 0.0
5785.93 0.15784 0.0
5788.57 0.15799 0.0
5791.21 0.15813 0.0
5793.85 0.15827 0.0
5796.82 0.15843 0.0
5799.46 0.15857 0.0
5802.1 0.15871 0.0
5804.74 0.15885 0.0
5807.38 0.15899 0.0
5810.02 0.15913 0.0
5812.99 0.15929 0.0
5815.63 0.15943 0.0
5818.27 0.15956 0.0
5820.91 0.1597 0.0
5823.55 0.15984 0.0
5826.52 0.15999 0.0
5829.16 0.16012 0.0
5831.8 0.16026 0.0
5834.44 0.16039 0.0
5837.08 0.16052 0.0
5840.05 0.16067 0.0
5842.69 0.1608 0.0
5845.33 0.16093 0.0
5847.97 0.16106 0.0
5850.61 0.16119 0.0
5853.25 0.16132 0.0
5856.22 0.16146 0.0
5858.86 0.16159 0.0
5861.5 0.16172 0.0
5864.14 0.16184 0.0
5866.78 0.16197 0.0
5869.75 0.16211 0.0
5872.39 0.16223 0.0
5875.03 0.16235 0.0
5877.67 0.16248 0.0
5880.31 0.1626 0.0
5883.28 0.16274 0.0
5885.92 0.16286 0.0
5888.56 0.16298 0.0
5891.2 0.1631 0.0
5893.84 0.16322 0.0
5896.48 0.16333 0.0
5899.45 0.16347 0.0
5902.09 0.16358 0.0
5904.73 0.1637 0.0
5907.37 0.16382 0.0
5910.01 0.16393 0.0
5912.98 0.16406 0.0
5915.62 0.16417 0.0
5918.26 0.16429 0.0
5920.9 0.1644 0.0
5923.54 0.16451 0.0
5926.51 0.16464 0.0
5929.15 0.16475 0.0
5931.79 0.16486 0.0
5934.43 0.16497 0.0
5937.07 0.16508 0.0
5939.71 0.16518 0.0
5942.68 0.1653 0.0
5945.32 0.16541 0.0
5947.96 0.16552 0.0
5950.6 0.16562 0.0
5953.24 0.16573 0.0
5956.21 0.16585 0.0
5958.85 0.16595 0.0
5961.49 0.16605 0.0
5964.13 0.16616 0.0
5966.77 0.16626 0.0
5969.74 0.16637 0.0
5972.38 0.16647 0.0
5975.02 0.16657 0.0
5977.66 0.16667 0.0
5980.3 0.16677 0.0
5982.94 0.16687 0.0
5985.91 0.16698 0.0
5988.55 0.16708 0.0
5991.19 0.16718 0.0
5993.83 0.16727 0.0
5996.47 0.16737 0.0
5999.44 0.16747 0.0
6002.08 0.16757 0.0
6004.72 0.16766 0.0
6007.36 0.16776 0.0
6010.0 0.16785 0.0
6012.97 0.16795 0.0
6015.61 0.16804 0.0
6018.25 0.16813 0.0
6020.89 0.16822 0.0
6023.53 0.16831 0.0
6026.5 0.16841 0.0
6029.14 0.1685 0.0
6031.78 0.16859 0.0
6034.42 0.16868 0.0
6037.06 0.16876 0.0
6039.7 0.16885 0.0
6042.67 0.16895 0.0
6045.31 0.16903 0.0
6047.95 0.16912 0.0
6050.59 0.1692 0.0
6053.23 0.16928 0.0
6056.2 0.16938 0.0
6058.84 0.16946 0.0
6061.48 0.16954 0.0
6064.12 0.16962 0.0
6066.76 0.1697 0.0
6069.73 0.16979 0.0
6072.37 0.16987 0.0
6075.01 0.16995 0.0
6077.65 0.17003 0.0
6080.29 0.1701 0.0
6082.93 0.17018 0.0
6085.9 0.17027 0.0
6088.54 0.17034 0.0
6091.18 0.17042 0.0
6093.82 0.17049 0.0
6096.46 0.17057 0.0
6099.43 0.17065 0.0
6102.07 0.17072 0.0
6104.71 0.17079 0.0
6107.35 0.17087 0.0
6109.99 0.17094 0.0
6112.96 0.17102 0.0
6115.6 0.17109 0.0
6118.24 0.17116 0.0
6120.88 0.17122 0.0
6123.52 0.17129 0.0
6126.16 0.17136 0.0
