# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '7000'}
# - {FILTER: GG455}
# - {GRATING: 1200G}
# - {GRISM: none}
# - {MODE: spectroscopic}
# schema: astropy-2.0
WAV EFF EFF_UNC
5645.35 0.11025 0.00162
5647.99 0.11088 0.00163
5650.63 0.1115 0.00164
5653.6 0.1122 0.00165
5656.24 0.11283 0.00166
5658.88 0.11345 0.00166
5661.52 0.11407 0.00167
5664.16 0.11469 0.00168
5667.13 0.11538 0.00169
5669.77 0.116 0.0017
5672.41 0.11662 0.00171
5675.05 0.11723 0.00172
5677.69 0.11784 0.00173
5680.33 0.11845 0.00174
5683.3 0.11913 0.00176
5685.94 0.11974 0.00177
5688.58 0.12035 0.00178
5691.22 0.12095 0.00179
5693.86 0.12155 0.0018
5696.83 0.12223 0.00181
5699.47 0.12283 0.00182
5702.11 0.12343 0.00183
5704.75 0.12403 0.00185
5707.39 0.12462 0.00186
5710.36 0.12529 0.00187
5713.0 0.12588 0.00188
5715.64 0.12647 0.00189
5718.28 0.12706 0.0019
5720.92 0.12765 0.00192
5723.56 0.12824 0.00193
5726.53 0.12889 0.00194
5729.17 0.12948 0.00195
5731.81 0.13006 0.00197
5734.45 0.13064 0.00198
5737.09 0.13122 0.00199
5740.06 0.13187 0.002
5742.7 0.13244 0.00202
5745.34 0.13302 0.00203
5747.98 0.13359 0.00204
5750.62 0.13416 0.00205
5753.59 0.13481 0.00207
5756.23 0.13537 0.00208
5758.87 0.13594 0.00209
5761.51 0.13651 0.00211
5764.15 0.13707 0.00212
5766.79 0.13764 0.00213
5769.76 0.13827 0.00215
5772.4 0.13883 0.00216
5775.04 0.13939 0.00217
5777.68 0.13994 0.00218
5780.32 0.1405 0.0022
5783.29 0.14112 0.00221
5785.93 0.14168 0.00222
5788.57 0.14223 0.00224
5791.21 0.14278 0.00225
5793.85 0.14333 0.00226
5796.82 0.14394 0.00227
5799.46 0.14449 0.00229
5802.1 0.14503 0.0023
5804.74 0.14558 0.00231
5807.38 0.14612 0.00232
5810.02 0.14666 0.00234
5812.99 0.14726 0.00235
5815.63 0.1478 0.00236
5818.27 0.14834 0.00238
5820.91 0.14887 0.00239
5823.55 0.1494 0.0024
5826.52 0.15 0.00242
5829.16 0.15053 0.00243
5831.8 0.15106 0.00244
5834.44 0.15159 0.00245
5837.08 0.15211 0.00246
5840.05 0.1527 0.00248
5842.69 0.15323 0.00249
5845.33 0.15375 0.0025
5847.97 0.15427 0.00251
5850.61 0.15479 0.00253
5853.25 0.15531 0.00254
5856.22 0.15589 0.00255
5858.86 0.1564 0.00256
5861.5 0.15691 0.00258
5864.14 0.15743 0.00259
5866.78 0.15794 0.0026
5869.75 0.15851 0.00261
5872.39 0.15902 0.00263
5875.03 0.15952 0.00264
5877.67 0.16003 0.00265
5880.31 0.16053 0.00266
5883.28 0.1611 0.00267
5885.92 0.1616 0.00269
5888.56 0.1621 0.0027
5891.2 0.16259 0.00271
5893.84 0.16309 0.00272
5896.48 0.16359 0.00273
5899.45 0.16414 0.00274
5902.09 0.16463 0.00276
5904.73 0.16512 0.00277
5907.37 0.16561 0.00278
5910.01 0.1661 0.00279
5912.98 0.16665 0.0028
5915.62 0.16714 0.00281
5918.26 0.16762 0.00282
5920.9 0.1681 0.00284
5923.54 0.16858 0.00285
5926.51 0.16912 0.00286
5929.15 0.1696 0.00287
5931.79 0.17008 0.00288
5934.43 0.17056 0.00289
5937.07 0.17103 0.0029
5939.71 0.1715 0.00291
5942.68 0.17204 0.00292
5945.32 0.17251 0.00294
5947.96 0.17297 0.00295
5950.6 0.17344 0.00296
5953.24 0.17391 0.00297
5956.21 0.17443 0.00298
5958.85 0.1749 0.00299
5961.49 0.17536 0.003
5964.13 0.17582 0.00301
5966.77 0.17628 0.00302
5969.74 0.1768 0.00303
5972.38 0.17725 0.00304
5975.02 0.17771 0.00305
5977.66 0.17816 0.00306
5980.3 0.17861 0.00307
5982.94 0.17907 0.00308
5985.91 0.17957 0.00309
5988.55 0.18002 0.0031
5991.19 0.18047 0.00311
5993.83 0.18092 0.00312
5996.47 0.18136 0.00313
5999.44 0.18186 0.00314
6002.08 0.1823 0.00315
6004.72 0.18274 0.00316
6007.36 0.18318 0.00317
6010.0 0.18362 0.00318
6012.97 0.18411 0.00319
6015.61 0.18455 0.0032
6018.25 0.18498 0.00321
6020.89 0.18542 0.00321
6023.53 0.18585 0.00322
6026.5 0.18633 0.00323
6029.14 0.18676 0.00324
6031.78 0.18719 0.00325
6034.42 0.18762 0.00326
6037.06 0.18804 0.00327
6039.7 0.18846 0.00328
6042.67 0.18894 0.00329
6045.31 0.18936 0.0033
6047.95 0.18978 0.0033
6050.59 0.1902 0.00331
6053.23 0.19062 0.00332
6056.2 0.19109 0.00333
6058.84 0.1915 0.00334
6061.48 0.19191 0.00335
6064.12 0.19233 0.00335
6066.76 0.19274 0.00336
6069.73 0.1932 0.00337
6072.37 0.19361 0.00338
6075.01 0.19401 0.00339
6077.65 0.19442 0.0034
6080.29 0.19482 0.0034
6082.93 0.19523 0.00341
6085.9 0.19568 0.00342
6088.54 0.19608 0.00343
6091.18 0.19648 0.00344
6093.82 0.19687 0.00344
6096.46 0.19727 0.00345
6099.43 0.19772 0.00346
6102.07 0.19811 0.00347
6104.71 0.1985 0.00347
6107.35 0.19889 0.00348
6109.99 0.19929 0.00349
6112.96 0.19972 0.0035
6115.6 0.20011 0.0035
6118.24 0.2005 0.00351
6120.88 0.20088 0.00352
6123.52 0.20127 0.00352
6126.16 0.20165 0.00353
6129.13 0.20208 0.00354
6131.77 0.20246 0.00354
6134.41 0.20284 0.00355
6137.05 0.20321 0.00356
6139.69 0.20359 0.00356
6142.66 0.20401 0.00357
6145.3 0.20439 0.00358
6147.94 0.20476 0.00359
6150.58 0.20513 0.00359
6153.22 0.2055 0.0036
6156.19 0.20591 0.0036
6158.83 0.20628 0.00361
6161.47 0.20665 0.00362
6164.11 0.20701 0.00362
6166.75 0.20738 0.00363
6169.39 0.20774 0.00364
6172.36 0.20815 0.00364
6175.0 0.20851 0.00365
6177.64 0.20887 0.00365
6180.28 0.20922 0.00366
6182.92 0.20958 0.00367
6185.89 0.20998 0.00367
6188.53 0.21033 0.00368
6191.17 0.21069 0.00368
6193.81 0.21104 0.00369
6196.45 0.21139 0.00369
6199.42 0.21178 0.0037
6202.06 0.21213 0.00371
6204.7 0.21247 0.00371
6207.34 0.21282 0.00372
6209.98 0.21316 0.00372
6212.62 0.21351 0.00373
6215.59 0.21389 0.00373
6218.23 0.21423 0.00374
6220.87 0.21457 0.00374
6223.51 0.21491 0.00375
6226.15 0.21524 0.00375
6229.12 0.21562 0.00376
6231.76 0.21596 0.00376
6234.4 0.21629 0.00377
6237.04 0.21662 0.00377
6239.68 0.21695 0.00378
6242.65 0.21732 0.00378
6245.29 0.21765 0.00379
6247.93 0.21798 0.00379
6250.57 0.2183 0.0038
6253.21 0.21863 0.0038
6255.85 0.21895 0.0038
6258.82 0.21931 0.00381
6261.46 0.21963 0.00381
6264.1 0.21995 0.00382
6266.74 0.22027 0.00382
6269.38 0.22059 0.00383
6272.35 0.22095 0.00383
6274.99 0.22126 0.00384
6277.63 0.22158 0.00384
6280.27 0.22187 0.00384
6282.91 0.22217 0.00385
6285.88 0.22251 0.00385
