# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '7000'}
# - {FILTER: GG455}
# - {GRATING: 900ZD}
# - {GRISM: none}
# - {MODE: spectroscopic}
# - {DICHROIC: none}
# schema: astropy-2.0
WAV EFF EFF_UNC
5193.8 0.15763 0.00729
5197.32 0.15801 0.00727
5200.84 0.1584 0.00724
5204.8 0.15883 0.00722
5208.32 0.15921 0.00719
5211.84 0.15958 0.00717
5215.36 0.15996 0.00714
5218.88 0.16034 0.00712
5222.4 0.16071 0.0071
5226.36 0.16113 0.00707
5229.88 0.16151 0.00705
5233.4 0.16188 0.00702
5236.92 0.16225 0.007
5240.44 0.16262 0.00698
5243.96 0.16298 0.00696
5247.92 0.1634 0.00693
5251.44 0.16376 0.00691
5254.96 0.16412 0.00689
5258.48 0.16449 0.00686
5262.0 0.16485 0.00684
5265.52 0.16521 0.00682
5269.48 0.16561 0.0068
5273.0 0.16597 0.00678
5276.52 0.16632 0.00675
5280.04 0.16668 0.00673
5283.56 0.16703 0.00671
5287.08 0.16738 0.00669
5291.04 0.16778 0.00667
5294.56 0.16813 0.00665
5298.08 0.16848 0.00663
5301.6 0.16882 0.00661
5305.12 0.16917 0.00659
5309.08 0.16956 0.00657
5312.6 0.1699 0.00655
5316.12 0.17024 0.00653
5319.64 0.17058 0.00651
5323.16 0.17092 0.00649
5326.68 0.17126 0.00647
5330.64 0.17164 0.00645
5334.16 0.17197 0.00643
5337.68 0.17228 0.00641
5341.2 0.1726 0.0064
5344.72 0.17291 0.00638
5348.24 0.17322 0.00636
5352.2 0.17357 0.00635
5355.72 0.17388 0.00633
5359.24 0.17419 0.00631
5362.76 0.1745 0.0063
5366.28 0.17481 0.00628
5369.8 0.17513 0.00627
5373.76 0.17548 0.00625
5377.28 0.17579 0.00623
5380.8 0.1761 0.00622
5384.32 0.17641 0.0062
5387.84 0.17672 0.00618
5391.8 0.17707 0.00617
5395.32 0.17738 0.00615
5398.84 0.1777 0.00613
5402.36 0.17801 0.00612
5405.88 0.17832 0.0061
5409.4 0.17863 0.00609
5413.36 0.17898 0.00607
5416.88 0.17929 0.00606
5420.4 0.1796 0.00604
5423.92 0.17991 0.00603
5427.44 0.18023 0.00601
5430.96 0.18054 0.006
5434.92 0.18089 0.00598
5438.44 0.1812 0.00596
5441.96 0.18151 0.00595
5445.48 0.18182 0.00593
5449.0 0.18213 0.00592
5452.52 0.18244 0.0059
5456.48 0.18279 0.00589
5460.0 0.18311 0.00587
5463.52 0.18342 0.00586
5467.04 0.18373 0.00585
5470.56 0.18404 0.00583
5474.08 0.18433 0.00582
5478.04 0.18465 0.0058
5481.56 0.18494 0.00579
5485.08 0.18522 0.00578
5488.6 0.1855 0.00577
5492.12 0.18578 0.00576
5496.08 0.1861 0.00574
5499.6 0.18638 0.00573
5503.12 0.18666 0.00572
5506.64 0.18694 0.00571
5510.16 0.18721 0.0057
5513.68 0.18749 0.00569
5517.64 0.18779 0.00568
5521.16 0.18807 0.00567
5524.68 0.18834 0.00566
5528.2 0.18861 0.00565
5531.72 0.18888 0.00564
5535.24 0.18914 0.00563
5539.2 0.18944 0.00561
5542.72 0.18971 0.0056
5546.24 0.18997 0.0056
5549.76 0.19024 0.00559
5553.28 0.1905 0.00558
5556.8 0.19076 0.00557
5560.76 0.19105 0.00556
5564.28 0.19131 0.00555
5567.8 0.19157 0.00554
5571.32 0.19182 0.00553
5574.84 0.19208 0.00552
5578.8 0.19236 0.00551
5582.32 0.19261 0.00551
5585.84 0.19287 0.0055
5589.36 0.19312 0.00549
5592.88 0.19337 0.00548
5596.4 0.19361 0.00547
5600.36 0.19389 0.00547
5603.88 0.19414 0.00546
5607.4 0.19438 0.00545
5610.92 0.19463 0.00544
5614.44 0.19487 0.00544
5617.96 0.19511 0.00543
5621.92 0.19538 0.00542
5625.44 0.19562 0.00542
5628.96 0.19586 0.00541
5632.48 0.19609 0.0054
5636.0 0.19633 0.0054
5639.52 0.19656 0.00539
5643.48 0.19682 0.00538
5647.0 0.19706 0.00538
5650.52 0.19729 0.00537
5654.04 0.19752 0.00537
5657.56 0.19775 0.00536
5661.08 0.19797 0.00536
5665.04 0.19823 0.00535
5668.56 0.19845 0.00535
5672.08 0.19868 0.00534
5675.6 0.1989 0.00534
5679.12 0.19912 0.00533
5683.08 0.19937 0.00533
5686.6 0.19959 0.00532
5690.12 0.19981 0.00532
5693.64 0.20003 0.00531
5697.16 0.20025 0.00531
5700.68 0.20046 0.0053
5704.64 0.2007 0.0053
5708.16 0.20092 0.0053
5711.68 0.20113 0.00529
5715.2 0.20134 0.00529
5718.72 0.20155 0.00529
5722.24 0.20176 0.00528
5726.2 0.20199 0.00528
5729.72 0.2022 0.00528
5733.24 0.20241 0.00527
5736.76 0.20261 0.00527
5740.28 0.20281 0.00527
5743.8 0.20302 0.00526
5747.76 0.20324 0.00526
5751.28 0.20344 0.00526
5754.8 0.20364 0.00526
5758.32 0.20384 0.00525
5761.84 0.20404 0.00525
5765.8 0.20426 0.00525
5769.32 0.20445 0.00525
5772.84 0.20465 0.00525
5776.36 0.20484 0.00524
5779.88 0.20503 0.00524
5783.4 0.20522 0.00524
5787.36 0.20544 0.00524
5790.88 0.20563 0.00524
5794.4 0.20581 0.00524
5797.92 0.206 0.00524
5801.44 0.20619 0.00523
5804.96 0.20637 0.00523
5808.92 0.20658 0.00523
5812.44 0.20676 0.00523
5815.96 0.20694 0.00523
5819.48 0.20712 0.00523
5823.0 0.2073 0.00523
5826.52 0.20748 0.00523
5830.48 0.20768 0.00523
5834.0 0.20785 0.00523
5837.52 0.20803 0.00523
5841.04 0.2082 0.00523
5844.56 0.20837 0.00523
5848.08 0.20855 0.00523
5852.04 0.20874 0.00523
5855.56 0.20891 0.00523
5859.08 0.20908 0.00523
5862.6 0.20925 0.00523
5866.12 0.20941 0.00523
5870.08 0.2096 0.00523
5873.6 0.20976 0.00523
5877.12 0.20993 0.00523
5880.64 0.21009 0.00523
5884.16 0.21025 0.00523
5887.68 0.21041 0.00523
5891.64 0.21059 0.00523
5895.16 0.21075 0.00524
5898.68 0.21091 0.00524
5902.2 0.21106 0.00524
5905.72 0.21122 0.00524
5909.24 0.21137 0.00524
5913.2 0.21155 0.00524
5916.72 0.2117 0.00524
5920.24 0.21185 0.00525
5923.76 0.212 0.00525
5927.28 0.21215 0.00525
5930.8 0.2123 0.00525
5934.76 0.21247 0.00525
5938.28 0.21261 0.00525
5941.8 0.21276 0.00526
5945.32 0.2129 0.00526
5948.84 0.21305 0.00526
5952.8 0.21321 0.00526
5956.32 0.21335 0.00526
5959.84 0.21349 0.00527
5963.36 0.21363 0.00527
5966.88 0.21377 0.00527
5970.4 0.21391 0.00527
5974.36 0.21406 0.00528
5977.88 0.2142 0.00528
5981.4 0.21433 0.00528
5984.92 0.21446 0.00529
5988.44 0.2146 0.00529
5991.96 0.21473 0.00529
5995.92 0.21488 0.00529
5999.44 0.21501 0.0053
6002.96 0.21514 0.0053
6006.48 0.21526 0.0053
6010.0 0.21539 0.00531
6013.52 0.21552 0.00531
6017.48 0.21566 0.00531
6021.0 0.21578 0.00532
6024.52 0.2159 0.00532
6028.04 0.21603 0.00532
6031.56 0.21615 0.00533
6035.08 0.21627 0.00533
6039.04 0.2164 0.00533
6042.56 0.21652 0.00534
6046.08 0.21664 0.00534
6049.6 0.21676 0.00535
6053.12 0.21687 0.00535
6057.08 0.217 0.00535
6060.6 0.21711 0.00536
6064.12 0.21723 0.00536
6067.64 0.21734 0.00536
6071.16 0.21745 0.00537
6074.68 0.21756 0.00537
6078.64 0.21768 0.00538
6082.16 0.21779 0.00538
6085.68 0.2179 0.00539
6089.2 0.218 0.00539
6092.72 0.21811 0.00539
6096.24 0.21821 0.0054
6100.2 0.21833 0.0054
6103.72 0.21843 0.00541
6107.24 0.21853 0.00541
6110.76 0.21864 0.00542
6114.28 0.21873 0.00542
6117.8 0.21883 0.00543
6121.76 0.21894 0.00543
6125.28 0.21904 0.00544
6128.8 0.21914 0.00544
6132.32 0.21923 0.00544
6135.84 0.21933 0.00545
6139.36 0.21942 0.00545
6143.32 0.21952 0.00546
6146.84 0.21962 0.00546
6150.36 0.21971 0.00547
6153.88 0.2198 0.00547
6157.4 0.21989 0.00548
6161.36 0.21998 0.00548
6164.88 0.22007 0.00549
6168.4 0.22016 0.00549
6171.92 0.22024 0.0055
6175.44 0.22033 0.0055
6178.96 0.22041 0.00551
6182.92 0.2205 0.00552
6186.44 0.22059 0.00552
6189.96 0.22067 0.00553
6193.48 0.22075 0.00553
6197.0 0.22083 0.00554
6200.52 0.2209 0.00554
6204.48 0.22099 0.00555
6208.0 0.22107 0.00555
6211.52 0.22114 0.00556
6215.04 0.22122 0.00556
6218.56 0.22129 0.00557
6222.08 0.22137 0.00558
6226.04 0.22145 0.00558
6229.56 0.22152 0.00559
6233.08 0.22159 0.00559
6236.6 0.22166 0.0056
6240.12 0.22173 0.0056
6244.08 0.2218 0.00561
6247.6 0.22187 0.00562
6251.12 0.22194 0.00562
6254.64 0.222 0.00563
6258.16 0.22207 0.00563
6261.68 0.22213 0.00564
6265.64 0.2222 0.00565
6269.16 0.22226 0.00565
6272.68 0.22232 0.00566
6276.2 0.22238 0.00566
6279.72 0.22244 0.00567
6283.24 0.22249 0.00568
6287.2 0.22255 0.00568
6290.72 0.2226 0.00569
6294.24 0.22266 0.00569
6297.76 0.22271 0.0057
6301.28 0.22276 0.00571
6304.8 0.22281 0.00571
6308.76 0.22287 0.00572
6312.28 0.22292 0.00573
6315.8 0.22297 0.00573
6319.32 0.22302 0.00574
6322.84 0.22308 0.00574
6326.36 0.22313 0.00575
6330.32 0.22319 0.00576
6333.84 0.22324 0.00576
6337.36 0.22329 0.00577
6340.88 0.22334 0.00578
6344.4 0.22339 0.00578
6348.36 0.22343 0.00579
6351.88 0.22348 0.0058
6355.4 0.22352 0.0058
6358.92 0.22356 0.00581
6362.44 0.2236 0.00581
6365.96 0.22364 0.00582
6369.92 0.22368 0.00583
6373.44 0.22372 0.00583
6376.96 0.22376 0.00584
6380.48 0.22379 0.00585
6384.0 0.22383 0.00585
6387.52 0.22386 0.00586
6391.48 0.2239 0.00587
6395.0 0.22394 0.00587
6398.52 0.22397 0.00588
6402.04 0.224 0.00589
6405.56 0.22403 0.00589
6409.08 0.22406 0.0059
6413.04 0.22409 0.00591
6416.56 0.22412 0.00591
6420.08 0.22415 0.00592
6423.6 0.22418 0.00593
6427.12 0.2242 0.00594
6431.08 0.22423 0.00594
6434.6 0.22425 0.00595
6438.12 0.22428 0.00596
6441.64 0.2243 0.00596
6445.16 0.22432 0.00597
6448.68 0.22434 0.00598
6452.64 0.22437 0.00598
6456.16 0.22439 0.00599
6459.68 0.22441 0.006
6463.2 0.22442 0.006
6466.72 0.22444 0.00601
6470.24 0.22446 0.00602
6474.2 0.22448 0.00603
6477.72 0.22449 0.00603
6481.24 0.22451 0.00604
6484.76 0.22452 0.00605
6488.28 0.22453 0.00605
6491.8 0.22454 0.00606
6495.76 0.22456 0.00607
6499.28 0.22457 0.00608
6502.8 0.22458 0.00608
6506.32 0.22459 0.00609
6509.84 0.2246 0.0061
6513.36 0.2246 0.0061
6517.32 0.22461 0.00611
6520.84 0.22462 0.00612
6524.36 0.22462 0.00613
6527.88 0.22463 0.00613
6531.4 0.22463 0.00614
6535.36 0.22464 0.00615
6538.88 0.22464 0.00616
6542.4 0.22463 0.00616
6545.92 0.22463 0.00617
6549.44 0.22462 0.00618
6552.96 0.22462 0.00618
6556.92 0.22461 0.00619
6560.44 0.22461 0.0062
6563.96 0.2246 0.00621
6567.48 0.2246 0.00621
6571.0 0.22459 0.00622
6574.52 0.22459 0.00623
6578.48 0.22458 0.00624
6582.0 0.22458 0.00624
6585.52 0.22457 0.00625
6589.04 0.22456 0.00626
6592.56 0.22456 0.00627
6596.08 0.22455 0.00627
6600.04 0.22455 0.00628
6603.56 0.22454 0.00629
6607.08 0.22454 0.0063
6610.6 0.22453 0.0063
6614.12 0.22452 0.00631
6618.08 0.22451 0.00632
6621.6 0.22449 0.00633
6625.12 0.22448 0.00633
6628.64 0.22446 0.00634
6632.16 0.22445 0.00635
6635.68 0.22443 0.00636
6639.64 0.22441 0.00636
6643.16 0.22439 0.00637
6646.68 0.22437 0.00638
6650.2 0.22435 0.00639
6653.72 0.22433 0.00639
6657.24 0.22431 0.0064
6661.2 0.22429 0.00641
6664.72 0.22427 0.00642
6668.24 0.22424 0.00642
6671.76 0.22422 0.00643
6675.28 0.2242 0.00644
6678.8 0.22417 0.00645
6682.76 0.22414 0.00646
6686.28 0.22412 0.00646
6689.8 0.22409 0.00647
6693.32 0.22406 0.00648
6696.84 0.22403 0.00649
6700.36 0.224 0.00649
6704.32 0.22397 0.0065
6707.84 0.22394 0.00651
6711.36 0.22391 0.00652
6714.88 0.22388 0.00652
6718.4 0.22385 0.00653
6722.36 0.22381 0.00654
6725.88 0.22378 0.00655
6729.4 0.22374 0.00656
6732.92 0.22371 0.00656
6736.44 0.22367 0.00657
6739.96 0.22364 0.00658
6743.92 0.22359 0.00659
6747.44 0.22356 0.0066
6750.96 0.22352 0.0066
6754.48 0.22348 0.00661
6758.0 0.22344 0.00662
6761.52 0.2234 0.00663
6765.48 0.22336 0.00664
6769.0 0.22331 0.00664
6772.52 0.22327 0.00665
6776.04 0.22323 0.00666
6779.56 0.22319 0.00667
6783.08 0.22314 0.00667
6787.04 0.22309 0.00668
6790.56 0.22305 0.00669
6794.08 0.223 0.0067
6797.6 0.22296 0.00671
6801.12 0.22291 0.00671
6805.08 0.22286 0.00672
6808.6 0.22281 0.00673
6812.12 0.22276 0.00674
6815.64 0.22271 0.00675
6819.16 0.22266 0.00675
6822.68 0.22261 0.00676
6826.64 0.22255 0.00677
6830.16 0.2225 0.00678
6833.68 0.22245 0.00679
6837.2 0.2224 0.00679
6840.72 0.22233 0.0068
6844.24 0.22226 0.00681
6848.2 0.22218 0.00682
6851.72 0.22211 0.00683
6855.24 0.22204 0.00683
6858.76 0.22197 0.00684
6862.28 0.22191 0.00685
6865.8 0.22184 0.00686
6869.76 0.22176 0.00687
6873.28 0.22169 0.00688
