# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '5000'}
# - {FILTER: GG495}
# - {GRATING: 830G}
# - {GRISM: none}
# - {MODE: spectroscopic}
# - {DICHROIC: none}
# schema: astropy-2.0
WAV EFF EFF_UNC
4000.31 0.0 0.0
4003.13 0.0 0.0
4005.95 0.0 0.0
4009.24 0.0 0.0
4012.06 0.0 0.0
4014.88 0.0 0.0
4017.7 0.0 0.0
4020.52 0.0 0.0
4023.81 0.0 0.0
4026.63 0.0 0.0
4029.45 0.0 0.0
4032.27 0.0 0.0
4035.56 0.0 0.0
4038.38 0.0 0.0
4041.2 0.0 0.0
4044.02 0.0 0.0
4046.84 0.0 0.0
4050.13 0.0 0.0
4052.95 0.0 0.0
4055.77 0.0 0.0
4058.59 0.0 0.0
4061.41 0.0 0.0
4064.7 0.0 0.0
4067.52 0.0 0.0
4070.34 0.0 0.0
4073.16 0.0 0.0
4075.98 0.0 0.0
4079.27 0.0 0.0
4082.09 0.0 0.0
4084.91 0.0 0.0
4087.73 0.0 0.0
4091.02 0.0 0.0
4093.84 0.0 0.0
4096.66 0.0 0.0
4099.48 0.0 0.0
4102.3 0.0 0.0
4105.59 0.0 0.0
4108.41 0.0 0.0
4111.23 0.0 0.0
4114.05 0.0 0.0
4116.87 0.0 0.0
4120.16 0.0 0.0
4122.98 0.0 0.0
4125.8 0.0 0.0
4128.62 0.0 0.0
4131.44 0.0 0.0
4134.73 0.0 0.0
4137.55 0.0 0.0
4140.37 0.0 0.0
4143.19 0.0 0.0
4146.48 0.0 0.0
4149.3 0.0 0.0
4152.12 0.0 0.0
4154.94 0.0 0.0
4157.76 0.0 0.0
4161.05 0.0 0.0
4163.87 0.0 0.0
4166.69 0.0 0.0
4169.51 0.0 0.0
4172.33 0.0 0.0
4175.62 0.0 0.0
4178.44 0.0 0.0
4181.26 0.0 0.0
4184.08 0.0 0.0
4186.9 0.0 0.0
4190.19 0.0 0.0
4193.01 0.0 0.0
4195.83 0.0 0.0
4198.65 0.0 0.0
4201.47 0.0 0.0
