# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '8000'}
# - {FILTER: OG550}
# - {GRATING: 1200B}
# - {GRISM: none}
# - {MODE: spectroscopic}
# schema: astropy-2.0
WAV EFF EFF_UNC
6645.35 0.13736 0.0
6647.99 0.13736 0.0
6650.63 0.13735 0.0
6653.6 0.13734 0.0
6656.24 0.13733 0.0
6658.88 0.13733 0.0
6661.52 0.13732 0.0
6664.16 0.13731 0.0
6667.13 0.1373 0.0
6669.77 0.1373 0.0
6672.41 0.13729 0.0
6675.05 0.13728 0.0
6677.69 0.13727 0.0
6680.33 0.13726 0.0
6683.3 0.13725 0.0
6685.94 0.13724 0.0
6688.58 0.13723 0.0
6691.22 0.13723 0.0
6693.86 0.13722 0.0
6696.83 0.13721 0.0
6699.47 0.1372 0.0
6702.11 0.13719 0.0
6704.75 0.13718 0.0
6707.39 0.13717 0.0
6710.36 0.13715 0.0
6713.0 0.13714 0.0
6715.64 0.13713 0.0
6718.28 0.13712 0.0
6720.92 0.13711 0.0
6723.56 0.1371 0.0
6726.53 0.13709 0.0
6729.17 0.13708 0.0
6731.81 0.13707 0.0
6734.45 0.13705 0.0
6737.09 0.13704 0.0
6740.06 0.13703 0.0
6742.7 0.13702 0.0
6745.34 0.13701 0.0
6747.98 0.13699 0.0
6750.62 0.13698 0.0
6753.59 0.13697 0.0
6756.23 0.13695 0.0
6758.87 0.13694 0.0
6761.51 0.13693 0.0
6764.15 0.13692 0.0
6766.79 0.1369 0.0
6769.76 0.13689 0.0
6772.4 0.13687 0.0
6775.04 0.13686 0.0
6777.68 0.13685 0.0
6780.32 0.13683 0.0
6783.29 0.13682 0.0
6785.93 0.1368 0.0
6788.57 0.13679 0.0
6791.21 0.13677 0.0
6793.85 0.13676 0.0
6796.82 0.13674 0.0
6799.46 0.13673 0.0
6802.1 0.13671 0.0
6804.74 0.1367 0.0
6807.38 0.13668 0.0
6810.02 0.13667 0.0
6812.99 0.13665 0.0
6815.63 0.13663 0.0
6818.27 0.13662 0.0
6820.91 0.1366 0.0
6823.55 0.13658 0.0
6826.52 0.13657 0.0
6829.16 0.13655 0.0
6831.8 0.13653 0.0
6834.44 0.13652 0.0
6837.08 0.1365 0.0
6840.05 0.13648 0.0
6842.69 0.13646 0.0
6845.33 0.13645 0.0
6847.97 0.13643 0.0
6850.61 0.13641 0.0
6853.25 0.13639 0.0
6856.22 0.13637 0.0
6858.86 0.13636 0.0
6861.5 0.13634 0.0
6864.14 0.13632 0.0
6866.78 0.1363 0.0
