# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '8000'}
# - {FILTER: OG550}
# - {GRATING: 1200G}
# - {GRISM: none}
# - {MODE: spectroscopic}
# schema: astropy-2.0
WAV EFF EFF_UNC
6645.35 0.18253 0.00438
6647.99 0.18275 0.00436
6650.63 0.18297 0.00434
6653.6 0.18321 0.00431
6656.24 0.18343 0.00429
6658.88 0.18365 0.00427
6661.52 0.18386 0.00425
6664.16 0.18408 0.00423
6667.13 0.18432 0.00421
6669.77 0.18453 0.00419
6672.41 0.18475 0.00418
6675.05 0.18496 0.00416
6677.69 0.18517 0.00414
6680.33 0.18538 0.00412
6683.3 0.18561 0.0041
6685.94 0.18582 0.00408
6688.58 0.18603 0.00407
6691.22 0.18624 0.00405
6693.86 0.18644 0.00403
6696.83 0.18667 0.00401
6699.47 0.18688 0.004
6702.11 0.18708 0.00398
6704.75 0.18728 0.00396
6707.39 0.18748 0.00395
6710.36 0.18771 0.00393
6713.0 0.18791 0.00391
6715.64 0.18811 0.0039
6718.28 0.1883 0.00388
6720.92 0.1885 0.00387
6723.56 0.1887 0.00385
6726.53 0.18892 0.00384
6729.17 0.18911 0.00382
6731.81 0.1893 0.00381
6734.45 0.1895 0.00379
6737.09 0.18969 0.00378
6740.06 0.1899 0.00376
6742.7 0.19009 0.00375
6745.34 0.19028 0.00374
6747.98 0.19047 0.00372
6750.62 0.19066 0.00371
6753.59 0.19087 0.0037
6756.23 0.19105 0.00368
6758.87 0.19124 0.00367
6761.51 0.19142 0.00366
6764.15 0.1916 0.00365
6766.79 0.19178 0.00363
6769.76 0.19199 0.00362
6772.4 0.19217 0.00361
6775.04 0.19235 0.0036
6777.68 0.19253 0.00359
6780.32 0.19271 0.00358
6783.29 0.1929 0.00356
6785.93 0.19308 0.00355
6788.57 0.19326 0.00354
6791.21 0.19343 0.00353
6793.85 0.1936 0.00352
6796.82 0.1938 0.00351
6799.46 0.19397 0.0035
6802.1 0.19414 0.00349
6804.74 0.19431 0.00348
6807.38 0.19448 0.00347
6810.02 0.19465 0.00346
6812.99 0.19484 0.00345
6815.63 0.19501 0.00344
6818.27 0.19517 0.00344
6820.91 0.19534 0.00343
6823.55 0.1955 0.00342
6826.52 0.19569 0.00341
6829.16 0.19585 0.0034
6831.8 0.19601 0.00339
6834.44 0.19617 0.00339
6837.08 0.19633 0.00338
6840.05 0.19648 0.00337
6842.69 0.19661 0.00336
6845.33 0.19674 0.00336
6847.97 0.19687 0.00335
6850.61 0.197 0.00334
6853.25 0.19714 0.00334
6856.22 0.19728 0.00333
6858.86 0.19741 0.00332
6861.5 0.19755 0.00332
6864.14 0.19768 0.00331
6866.78 0.19781 0.00331
6869.75 0.19796 0.0033
6872.39 0.19809 0.00329
6875.03 0.19822 0.00329
6877.67 0.19835 0.00328
6880.31 0.19848 0.00328
6883.28 0.19863 0.00327
6885.92 0.19876 0.00327
6888.56 0.19889 0.00326
6891.2 0.19902 0.00325
6893.84 0.19915 0.00325
6896.48 0.19929 0.00324
6899.45 0.19943 0.00324
6902.09 0.19956 0.00323
6904.73 0.1997 0.00323
6907.37 0.19983 0.00322
6910.01 0.19996 0.00322
6912.98 0.20011 0.00322
6915.62 0.20024 0.00321
6918.26 0.20037 0.00321
6920.9 0.2005 0.0032
6923.54 0.20063 0.0032
6926.51 0.20078 0.00319
6929.15 0.20091 0.00319
6931.79 0.20104 0.00319
6934.43 0.20117 0.00318
6937.07 0.2013 0.00318
6939.71 0.20143 0.00318
6942.68 0.20158 0.00317
6945.32 0.20171 0.00317
6947.96 0.20184 0.00316
6950.6 0.20198 0.00316
6953.24 0.20211 0.00316
6956.21 0.20226 0.00316
6958.85 0.20239 0.00315
6961.49 0.20252 0.00315
6964.13 0.20265 0.00315
6966.77 0.20278 0.00314
6969.74 0.20293 0.00314
6972.38 0.20306 0.00314
6975.02 0.20319 0.00314
6977.66 0.20332 0.00314
6980.3 0.20345 0.00313
6982.94 0.20358 0.00313
6985.91 0.20373 0.00313
6988.55 0.20386 0.00313
6991.19 0.20399 0.00313
6993.83 0.20413 0.00312
6996.47 0.20426 0.00312
6999.44 0.2044 0.00312
7002.08 0.20454 0.00312
7004.72 0.20467 0.00312
7007.36 0.2048 0.00312
7010.0 0.20493 0.00312
7012.97 0.20508 0.00312
7015.61 0.20521 0.00312
7018.25 0.20534 0.00312
7020.89 0.20547 0.00312
7023.53 0.2056 0.00311
7026.5 0.20575 0.00311
7029.14 0.20588 0.00311
7031.78 0.20601 0.00311
7034.42 0.20612 0.00311
7037.06 0.20622 0.00311
7039.7 0.20632 0.00311
7042.67 0.20643 0.00311
7045.31 0.20653 0.00311
7047.95 0.20663 0.00311
7050.59 0.20673 0.00311
7053.23 0.20683 0.00311
7056.2 0.20694 0.00311
7058.84 0.20704 0.00311
7061.48 0.20713 0.00311
7064.12 0.20723 0.00311
7066.76 0.20732 0.00311
7069.73 0.20743 0.0031
7072.37 0.20752 0.0031
7075.01 0.20761 0.0031
7077.65 0.2077 0.0031
7080.29 0.20779 0.0031
7082.93 0.20788 0.0031
7085.9 0.20798 0.0031
7088.54 0.20807 0.0031
7091.18 0.20816 0.0031
7093.82 0.20825 0.0031
7096.46 0.20833 0.0031
7099.43 0.20843 0.0031
7102.07 0.20852 0.0031
7104.71 0.2086 0.0031
7107.35 0.20868 0.0031
7109.99 0.20877 0.0031
7112.96 0.20886 0.0031
7115.6 0.20894 0.0031
7118.24 0.20902 0.0031
7120.88 0.2091 0.0031
7123.52 0.20918 0.0031
7126.16 0.20926 0.0031
7129.13 0.20935 0.0031
7131.77 0.20942 0.0031
7134.41 0.2095 0.0031
7137.05 0.20957 0.0031
7139.69 0.20965 0.0031
7142.66 0.20973 0.0031
7145.3 0.20978 0.0031
7147.94 0.20982 0.00309
7150.58 0.20986 0.00309
7153.22 0.2099 0.00309
7156.19 0.20995 0.00309
7158.83 0.20999 0.00309
7161.47 0.21003 0.00309
7164.11 0.21008 0.00309
7166.75 0.21012 0.00308
7169.39 0.21016 0.00308
7172.36 0.21021 0.00308
7175.0 0.21025 0.00308
7177.64 0.21029 0.00308
7180.28 0.21034 0.00308
7182.92 0.21038 0.00307
7185.89 0.21042 0.00307
7188.53 0.21047 0.00307
7191.17 0.21051 0.00307
7193.81 0.21055 0.00307
7196.45 0.21059 0.00307
7199.42 0.21064 0.00307
7202.06 0.21068 0.00307
7204.7 0.21073 0.00306
7207.34 0.21077 0.00306
7209.98 0.21081 0.00306
7212.62 0.21085 0.00306
7215.59 0.2109 0.00306
7218.23 0.21094 0.00306
7220.87 0.21098 0.00306
7223.51 0.21103 0.00306
7226.15 0.21107 0.00305
7229.12 0.21112 0.00305
7231.76 0.21116 0.00305
7234.4 0.2112 0.00305
7237.04 0.21124 0.00305
7239.68 0.21128 0.00305
7242.65 0.21133 0.00305
7245.29 0.21137 0.00305
7247.93 0.21142 0.00305
7250.57 0.21146 0.00304
7253.21 0.2115 0.00304
7255.85 0.21154 0.00304
7258.82 0.21159 0.00304
7261.46 0.21163 0.00304
7264.1 0.21167 0.00304
7266.74 0.21172 0.00304
7269.38 0.21176 0.00304
7272.35 0.21181 0.00304
7274.99 0.21185 0.00304
7277.63 0.21189 0.00304
7280.27 0.21193 0.00303
7282.91 0.21198 0.00303
7285.88 0.21202 0.00303
7288.52 0.21207 0.00303
7291.16 0.21211 0.00303
7293.8 0.21215 0.00303
7296.44 0.21219 0.00303
7299.08 0.21223 0.00303
7302.05 0.21228 0.00303
7304.69 0.21232 0.00303
7307.33 0.21237 0.00303
7309.97 0.21241 0.00303
7312.61 0.21245 0.00303
7315.58 0.2125 0.00303
7318.22 0.21254 0.00303
7320.86 0.21258 0.00302
7323.5 0.21262 0.00302
7326.14 0.21267 0.00302
7329.11 0.21271 0.00302
7331.75 0.21276 0.00302
7334.39 0.2128 0.00302
7337.03 0.21284 0.00302
7339.67 0.21288 0.00302
7342.64 0.21293 0.00302
7345.28 0.21297 0.00302
7347.92 0.21301 0.00302
7350.56 0.21306 0.00302
7353.2 0.2131 0.00302
7355.84 0.21314 0.00302
7358.81 0.21319 0.00302
7361.45 0.21323 0.00302
7364.09 0.21327 0.00302
7366.73 0.21332 0.00302
7369.37 0.21336 0.00302
7372.34 0.21341 0.00302
