# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '7500'}
# - {FILTER: OG550}
# - {GRATING: 600ZD}
# - {GRISM: none}
# - {MODE: spectroscopic}
# schema: astropy-2.0
WAV EFF EFF_UNC
5500.0 0.12068 0.00748
5504.48 0.1218 0.00736
5508.96 0.12291 0.00723
5514.08 0.12416 0.0071
5518.56 0.12526 0.00698
5523.04 0.12634 0.00687
5527.52 0.12742 0.00676
5532.0 0.12849 0.00665
5537.12 0.12971 0.00653
5541.6 0.13077 0.00643
5546.08 0.13181 0.00633
5550.56 0.13286 0.00624
5555.04 0.13389 0.00614
5560.16 0.13506 0.00604
5564.64 0.13608 0.00596
5569.12 0.1371 0.00588
5573.6 0.1381 0.0058
5578.72 0.13924 0.00571
5583.2 0.14023 0.00564
5587.68 0.14121 0.00557
5592.16 0.14219 0.0055
5596.64 0.14316 0.00544
5601.76 0.14426 0.00537
5606.24 0.14521 0.00531
5610.72 0.14616 0.00526
5615.2 0.1471 0.0052
5619.68 0.14804 0.00516
5624.8 0.1491 0.0051
5629.28 0.15002 0.00506
5633.76 0.15093 0.00502
5638.24 0.15184 0.00498
5642.72 0.15274 0.00494
5647.84 0.15376 0.0049
5652.32 0.15465 0.00487
5656.8 0.15553 0.00484
5661.28 0.1564 0.00481
5665.76 0.15727 0.00479
5670.88 0.15825 0.00476
5675.36 0.1591 0.00474
5679.84 0.15995 0.00472
5684.32 0.16079 0.0047
5689.44 0.16174 0.00469
5693.92 0.16257 0.00467
5698.4 0.16339 0.00466
5702.88 0.16421 0.00465
5707.36 0.16501 0.00464
5712.48 0.16593 0.00463
5716.96 0.16673 0.00462
5721.44 0.16751 0.00462
5725.92 0.1683 0.00461
5730.4 0.16907 0.00461
5735.52 0.16996 0.0046
5740.0 0.17072 0.0046
5744.48 0.17148 0.0046
5748.96 0.17223 0.0046
5753.44 0.17298 0.0046
5758.56 0.17382 0.0046
5763.04 0.17456 0.0046
5767.52 0.17528 0.0046
5772.0 0.17601 0.00461
5776.48 0.17672 0.00461
5781.6 0.17753 0.00461
5786.08 0.17824 0.00461
5790.56 0.17894 0.00462
5795.04 0.17963 0.00462
5800.16 0.18042 0.00463
5804.64 0.1811 0.00463
5809.12 0.18177 0.00463
5813.6 0.18244 0.00464
5818.08 0.18311 0.00464
5823.2 0.18386 0.00464
5827.68 0.18451 0.00465
5832.16 0.18516 0.00465
5836.64 0.1858 0.00465
5841.12 0.18644 0.00466
5846.24 0.18716 0.00466
5850.72 0.18778 0.00466
5855.2 0.1884 0.00467
5859.68 0.18902 0.00467
5864.16 0.18963 0.00467
5869.28 0.19032 0.00467
5873.76 0.19091 0.00467
5878.24 0.19151 0.00467
5882.72 0.1921 0.00467
5887.2 0.19268 0.00467
5892.32 0.19334 0.00467
5896.8 0.19391 0.00467
5901.28 0.19448 0.00467
5905.76 0.19504 0.00467
5910.88 0.19568 0.00466
5915.36 0.19623 0.00466
5919.84 0.19678 0.00466
5924.32 0.19732 0.00466
5928.8 0.19786 0.00465
5933.92 0.19846 0.00465
5938.4 0.19899 0.00464
5942.88 0.19951 0.00464
5947.36 0.20003 0.00463
5951.84 0.20054 0.00462
5956.96 0.20112 0.00461
5961.44 0.20163 0.00461
5965.92 0.20213 0.0046
5970.4 0.20262 0.00459
5974.88 0.20311 0.00458
5980.0 0.20366 0.00457
5984.48 0.20414 0.00456
5988.96 0.20462 0.00455
5993.44 0.20509 0.00454
5997.92 0.20556 0.00453
6003.04 0.20608 0.00451
6007.52 0.20654 0.0045
6012.0 0.20699 0.00449
6016.48 0.20744 0.00448
6021.6 0.20795 0.00446
6026.08 0.20839 0.00445
6030.56 0.20883 0.00443
6035.04 0.20926 0.00442
6039.52 0.20968 0.0044
6044.64 0.21017 0.00438
6049.12 0.21059 0.00437
6053.6 0.211 0.00435
6058.08 0.21141 0.00433
6062.56 0.21182 0.00431
6067.68 0.21228 0.00429
6072.16 0.21267 0.00428
6076.64 0.21307 0.00426
6081.12 0.21346 0.00424
6085.6 0.21385 0.00422
6090.72 0.21428 0.0042
6095.2 0.21466 0.00418
6099.68 0.21504 0.00416
6104.16 0.21541 0.00413
6108.64 0.21577 0.00411
6113.76 0.21619 0.00409
6118.24 0.21655 0.00407
6122.72 0.2169 0.00405
6127.2 0.21726 0.00402
6131.68 0.2176 0.004
6136.8 0.218 0.00398
6141.28 0.21834 0.00395
6145.76 0.21868 0.00393
6150.24 0.21901 0.00391
6155.36 0.21939 0.00388
6159.84 0.21972 0.00386
6164.32 0.22004 0.00383
6168.8 0.22036 0.00381
6173.28 0.22068 0.00378
6178.4 0.22104 0.00376
6182.88 0.22135 0.00373
6187.36 0.22165 0.00371
6191.84 0.22196 0.00368
6196.32 0.22226 0.00366
6201.44 0.2226 0.00363
6205.92 0.22289 0.0036
6210.4 0.22318 0.00358
6214.88 0.22347 0.00356
6219.36 0.22375 0.00353
6224.48 0.22407 0.0035
6228.96 0.22435 0.00348
6233.44 0.22463 0.00345
6237.92 0.2249 0.00343
6242.4 0.22517 0.0034
6247.52 0.22548 0.00338
6252.0 0.22574 0.00335
6256.48 0.226 0.00333
6260.96 0.22626 0.0033
6266.08 0.22655 0.00327
6270.56 0.2268 0.00325
6275.04 0.22705 0.00323
6279.52 0.2273 0.0032
6284.0 0.22753 0.00318
6289.12 0.22779 0.00315
6293.6 0.22802 0.00313
6298.08 0.22824 0.00311
6302.56 0.22847 0.00308
6307.04 0.2287 0.00306
6312.16 0.22896 0.00304
6316.64 0.22919 0.00301
6321.12 0.22942 0.00299
6325.6 0.22965 0.00297
6330.08 0.22987 0.00295
6335.2 0.23013 0.00293
6339.68 0.23036 0.00291
6344.16 0.23059 0.00289
6348.64 0.2308 0.00287
6353.12 0.23101 0.00285
6358.24 0.23124 0.00283
6362.72 0.23145 0.00281
6367.2 0.23165 0.00279
6371.68 0.23185 0.00277
6376.8 0.23207 0.00275
6381.28 0.23227 0.00274
6385.76 0.23246 0.00272
6390.24 0.23265 0.0027
6394.72 0.23284 0.00269
6399.84 0.23305 0.00267
6404.32 0.23324 0.00266
6408.8 0.23342 0.00264
6413.28 0.2336 0.00263
6417.76 0.23378 0.00262
6422.88 0.23398 0.0026
6427.36 0.23416 0.00259
6431.84 0.23433 0.00258
6436.32 0.2345 0.00257
6440.8 0.23467 0.00256
6445.92 0.23486 0.00254
6450.4 0.23503 0.00253
6454.88 0.23519 0.00252
6459.36 0.23536 0.00251
6463.84 0.23551 0.00251
6468.96 0.2357 0.0025
6473.44 0.23585 0.00249
6477.92 0.23601 0.00248
6482.4 0.23616 0.00247
6487.52 0.23633 0.00246
6492.0 0.23648 0.00246
6496.48 0.23662 0.00245
6500.96 0.23677 0.00244
6505.44 0.23691 0.00244
6510.56 0.23707 0.00243
6515.04 0.23721 0.00243
6519.52 0.23735 0.00242
6524.0 0.23748 0.00242
6528.48 0.23762 0.00242
6533.6 0.23777 0.00241
6538.08 0.2379 0.00241
6542.56 0.23801 0.00241
6547.04 0.23813 0.0024
6551.52 0.23824 0.0024
6556.64 0.23837 0.0024
6561.12 0.23849 0.0024
6565.6 0.2386 0.0024
6570.08 0.23872 0.00239
6574.56 0.23883 0.00239
6579.68 0.23896 0.00239
6584.16 0.23908 0.00239
6588.64 0.23919 0.00239
6593.12 0.2393 0.00239
6598.24 0.23944 0.00239
6602.72 0.23955 0.00239
6607.2 0.23966 0.00239
6611.68 0.23978 0.0024
6616.16 0.23988 0.0024
6621.28 0.23999 0.0024
6625.76 0.24009 0.0024
6630.24 0.24018 0.0024
6634.72 0.24027 0.00241
6639.2 0.24036 0.00241
6644.32 0.24047 0.00241
6648.8 0.24055 0.00241
6653.28 0.24064 0.00242
6657.76 0.24072 0.00242
6662.24 0.24081 0.00242
6667.36 0.2409 0.00243
6671.84 0.24098 0.00243
6676.32 0.24106 0.00243
6680.8 0.24113 0.00244
6685.28 0.24121 0.00244
6690.4 0.24129 0.00245
6694.88 0.24136 0.00245
6699.36 0.24143 0.00246
6703.84 0.2415 0.00246
6708.32 0.24156 0.00247
6713.44 0.24163 0.00247
6717.92 0.2417 0.00248
6722.4 0.24176 0.00248
6726.88 0.24182 0.00249
6732.0 0.24188 0.00249
6736.48 0.24194 0.0025
6740.96 0.24199 0.0025
6745.44 0.24205 0.00251
6749.92 0.2421 0.00251
6755.04 0.24216 0.00252
6759.52 0.2422 0.00253
6764.0 0.24225 0.00253
6768.48 0.2423 0.00254
6772.96 0.24234 0.00254
6778.08 0.24239 0.00255
6782.56 0.24243 0.00256
6787.04 0.24247 0.00256
6791.52 0.24251 0.00257
6796.0 0.24254 0.00258
6801.12 0.24258 0.00258
6805.6 0.24261 0.00259
6810.08 0.24264 0.0026
6814.56 0.24267 0.0026
6819.04 0.2427 0.00261
6824.16 0.24273 0.00262
6828.64 0.24276 0.00262
6833.12 0.24278 0.00263
6837.6 0.24281 0.00263
6842.72 0.2428 0.00264
6847.2 0.24279 0.00265
6851.68 0.24278 0.00265
6856.16 0.24277 0.00266
6860.64 0.24277 0.00266
6865.76 0.24276 0.00267
6870.24 0.24275 0.00267
6874.72 0.24274 0.00268
6879.2 0.24273 0.00268
6883.68 0.24273 0.00269
6888.8 0.24272 0.0027
6893.28 0.24271 0.0027
6897.76 0.2427 0.00271
6902.24 0.24269 0.00271
6906.72 0.24269 0.00272
6911.84 0.24268 0.00273
6916.32 0.24267 0.00273
6920.8 0.24266 0.00274
6925.28 0.24265 0.00274
6929.76 0.24265 0.00275
6934.88 0.24264 0.00276
6939.36 0.24263 0.00276
6943.84 0.24262 0.00277
6948.32 0.24261 0.00278
6953.44 0.2426 0.00279
6957.92 0.2426 0.00279
6962.4 0.24259 0.0028
6966.88 0.24258 0.00281
6971.36 0.24257 0.00281
6976.48 0.24256 0.00282
6980.96 0.24256 0.00283
6985.44 0.24255 0.00283
6989.92 0.24254 0.00284
6994.4 0.24253 0.00285
6999.52 0.24252 0.00286
7004.0 0.24252 0.00286
7008.48 0.24251 0.00287
7012.96 0.2425 0.00288
7017.44 0.24249 0.00289
7022.56 0.24248 0.00289
7027.04 0.24248 0.0029
7031.52 0.24247 0.00291
7036.0 0.24243 0.00292
7040.48 0.24239 0.00292
7045.6 0.24235 0.00293
7050.08 0.24231 0.00293
7054.56 0.24227 0.00294
7059.04 0.24223 0.00294
7064.16 0.24218 0.00295
7068.64 0.24213 0.00296
7073.12 0.24208 0.00296
7077.6 0.24204 0.00297
7082.08 0.24199 0.00297
7087.2 0.24193 0.00298
7091.68 0.24188 0.00298
7096.16 0.24183 0.00299
7100.64 0.24177 0.003
7105.12 0.24172 0.003
7110.24 0.24166 0.00301
7114.72 0.2416 0.00301
7119.2 0.24154 0.00302
7123.68 0.24148 0.00302
7128.16 0.24142 0.00303
7133.28 0.24135 0.00303
7137.76 0.24129 0.00304
7142.24 0.24123 0.00304
7146.72 0.24113 0.00304
7151.2 0.24104 0.00305
7156.32 0.24093 0.00305
7160.8 0.24084 0.00305
7165.28 0.24075 0.00305
7169.76 0.24065 0.00306
7174.88 0.24055 0.00306
7179.36 0.24045 0.00306
7183.84 0.24036 0.00307
7188.32 0.24027 0.00307
7192.8 0.24018 0.00307
7197.92 0.24007 0.00307
7202.4 0.23998 0.00308
7206.88 0.23988 0.00308
7211.36 0.23979 0.00308
7215.84 0.2397 0.00309
7220.96 0.23959 0.00309
7225.44 0.2395 0.00309
7229.92 0.2394 0.0031
