# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '8000'}
# - {FILTER: OG550}
# - {GRATING: 830G}
# - {GRISM: none}
# - {MODE: spectroscopic}
# - {DICHROIC: none}
# schema: astropy-2.0
WAV EFF EFF_UNC
6070.65 0.12839 0.0057
6074.41 0.12883 0.00575
6078.17 0.12927 0.00581
6082.4 0.12976 0.00588
6086.16 0.1302 0.00593
6089.92 0.13064 0.00599
6093.68 0.13107 0.00605
6097.44 0.13151 0.0061
6101.67 0.132 0.00616
6105.43 0.13243 0.00622
6109.19 0.13287 0.00627
6112.95 0.1333 0.00633
6116.71 0.13373 0.00638
6120.47 0.13417 0.00644
6124.7 0.13465 0.0065
6128.46 0.13508 0.00655
6132.22 0.13551 0.00661
6135.98 0.13594 0.00666
6139.74 0.13637 0.00671
6143.97 0.13686 0.00677
6147.73 0.13728 0.00682
6151.49 0.13771 0.00687
6155.25 0.13814 0.00693
6159.01 0.13857 0.00698
6163.24 0.13905 0.00703
6167.0 0.13947 0.00709
6170.76 0.1399 0.00714
6174.52 0.14032 0.00719
6178.28 0.14075 0.00723
6182.04 0.14117 0.00728
6186.27 0.14164 0.00734
6190.03 0.14207 0.00739
6193.79 0.14249 0.00744
6197.55 0.14291 0.00748
6201.31 0.14333 0.00753
6205.54 0.1438 0.00759
6209.3 0.14422 0.00763
6213.06 0.14464 0.00768
6216.82 0.14506 0.00773
6220.58 0.14548 0.00777
6224.81 0.14595 0.00782
6228.57 0.14636 0.00787
6232.33 0.14678 0.00791
6236.09 0.14719 0.00796
6239.85 0.14761 0.008
6243.61 0.14802 0.00805
6247.84 0.14849 0.0081
6251.6 0.1489 0.00814
6255.36 0.14931 0.00818
6259.12 0.14973 0.00823
6262.88 0.15014 0.00827
6267.11 0.1506 0.00832
6270.87 0.15101 0.00836
6274.63 0.15142 0.0084
6278.39 0.15183 0.00844
6282.15 0.15223 0.00848
6286.38 0.15269 0.00852
6290.14 0.15309 0.00856
6293.9 0.15349 0.0086
6297.66 0.1539 0.00864
6301.42 0.1543 0.00867
6305.18 0.15471 0.00871
6309.41 0.15516 0.00876
6313.17 0.15556 0.00879
6316.93 0.15597 0.00883
6320.69 0.15637 0.00887
6324.45 0.15678 0.00891
6328.68 0.15723 0.00895
6332.44 0.15763 0.00899
6336.2 0.15804 0.00903
6339.96 0.15844 0.00907
6343.72 0.15885 0.00911
6347.95 0.15929 0.00915
6351.71 0.15969 0.00918
6355.47 0.16009 0.00922
6359.23 0.16049 0.00925
6362.99 0.16088 0.00929
6366.75 0.16128 0.00932
6370.98 0.16172 0.00936
6374.74 0.16212 0.00939
6378.5 0.16251 0.00943
6382.26 0.1629 0.00946
6386.02 0.1633 0.00949
6390.25 0.16374 0.00953
6394.01 0.16413 0.00956
6397.77 0.16452 0.00959
6401.53 0.16491 0.00962
6405.29 0.1653 0.00965
6409.52 0.16574 0.00969
6413.28 0.16612 0.00972
6417.04 0.16651 0.00975
6420.8 0.1669 0.00978
6424.56 0.16729 0.00981
6428.32 0.16767 0.00984
6432.55 0.16811 0.00987
6436.31 0.16849 0.0099
6440.07 0.16887 0.00993
6443.83 0.16926 0.00996
6447.59 0.16964 0.00999
6451.82 0.17007 0.01002
6455.58 0.17045 0.01004
6459.34 0.17083 0.01007
6463.1 0.17121 0.0101
6466.86 0.17159 0.01013
6471.09 0.17202 0.01016
6474.85 0.1724 0.01018
6478.61 0.17278 0.01021
6482.37 0.17315 0.01023
6486.13 0.17353 0.01026
6489.89 0.17391 0.01028
6494.12 0.17433 0.01031
6497.88 0.17471 0.01034
6501.64 0.17508 0.01036
6505.4 0.17545 0.01039
6509.16 0.17583 0.01041
6513.39 0.17625 0.01044
6517.15 0.17662 0.01046
6520.91 0.17699 0.01048
6524.67 0.17736 0.01051
6528.43 0.17773 0.01053
6532.66 0.17814 0.01055
6536.42 0.17851 0.01057
6540.18 0.17888 0.01059
6543.94 0.17924 0.01061
6547.7 0.1796 0.01063
6551.46 0.17996 0.01065
6555.69 0.18037 0.01068
6559.45 0.18073 0.0107
6563.21 0.18109 0.01072
6566.97 0.18146 0.01073
6570.73 0.18182 0.01075
