# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, unit: electron / ph, datatype: float64}
# - {name: EFF_UNC, datatype: float64}
# meta: !!omap
# - {CWAV: '8000'}
# - {FILTER: OG550}
# - {GRATING: 900ZD}
# - {GRISM: none}
# - {MODE: spectroscopic}
# - {DICHROIC: none}
# schema: astropy-2.0
WAV EFF EFF_UNC
6193.8 0.19007 0.00884
6197.32 0.19018 0.00881
6200.84 0.1903 0.00879
6204.8 0.19043 0.00876
6208.32 0.19055 0.00874
6211.84 0.19066 0.00871
6215.36 0.19077 0.00869
6218.88 0.19089 0.00867
6222.84 0.19101 0.00864
6226.36 0.19112 0.00862
6229.88 0.19123 0.0086
6233.4 0.19134 0.00857
6236.92 0.19145 0.00855
6240.44 0.19156 0.00853
6244.4 0.19168 0.00851
6247.92 0.19179 0.00848
6251.44 0.1919 0.00846
6254.96 0.192 0.00844
6258.48 0.19211 0.00842
6262.44 0.19222 0.0084
6265.96 0.19233 0.00838
6269.48 0.19243 0.00836
6273.0 0.19253 0.00834
6276.52 0.19263 0.00832
6280.48 0.19274 0.0083
6284.0 0.19283 0.00828
6287.52 0.19293 0.00827
6291.04 0.19302 0.00825
6294.56 0.19311 0.00823
6298.08 0.19321 0.00821
6302.04 0.19331 0.00819
6305.56 0.19341 0.00818
6309.08 0.1935 0.00816
6312.6 0.1936 0.00814
6316.12 0.19369 0.00813
6320.08 0.1938 0.00811
6323.6 0.19389 0.00809
6327.12 0.19399 0.00808
6330.64 0.19408 0.00806
6334.16 0.19417 0.00804
6338.12 0.19428 0.00803
6341.64 0.19437 0.00801
6345.16 0.19446 0.008
6348.68 0.19455 0.00798
6352.2 0.19463 0.00797
6355.72 0.19472 0.00795
6359.68 0.19481 0.00794
6363.2 0.1949 0.00792
6366.72 0.19498 0.00791
6370.24 0.19506 0.0079
6373.76 0.19514 0.00789
6377.72 0.19524 0.00787
6381.24 0.19532 0.00786
