# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float32}
# - {name: EFF, datatype: float64}
# meta: !!omap
# - {GRISM: 600/4000}
# - {DICHROIC: MIRROR}
# schema: astropy-2.0
WAV EFF
3200.0 0.063763
3201.0 0.064313
3202.0 0.064813
3203.0 0.065271
3204.0 0.065691
3205.0 0.06608
3206.0 0.06644
3207.0 0.066778
3208.0 0.067096
3209.0 0.067397
3210.0 0.067686
3211.0 0.067963
3212.0 0.068231
3213.0 0.068493
3214.0 0.06875
3215.0 0.069004
3216.0 0.069255
3217.0 0.069506
3218.0 0.069756
3219.0 0.070008
3220.0 0.070261
3221.0 0.070516
3222.0 0.070773
3223.0 0.071034
3224.0 0.071297
3225.0 0.071565
3226.0 0.071836
3227.0 0.072111
3228.0 0.072391
3229.0 0.072674
3230.0 0.072962
3231.0 0.073254
3232.0 0.073551
3233.0 0.073852
3234.0 0.074157
3235.0 0.074467
3236.0 0.074781
3237.0 0.075099
3238.0 0.075422
3239.0 0.07575
3240.0 0.076082
3241.0 0.076418
3242.0 0.076759
3243.0 0.077105
3244.0 0.077454
3245.0 0.077809
3246.0 0.078168
3247.0 0.078532
3248.0 0.078901
3249.0 0.079274
3250.0 0.079652
3251.0 0.080035
3252.0 0.080424
3253.0 0.080817
3254.0 0.081215
3255.0 0.081619
3256.0 0.082028
3257.0 0.082442
3258.0 0.082862
3259.0 0.083288
3260.0 0.083719
3261.0 0.084155
3262.0 0.084598
3263.0 0.085046
3264.0 0.085501
3265.0 0.085961
3266.0 0.086428
3267.0 0.0869
3268.0 0.087379
3269.0 0.087864
3270.0 0.088355
3271.0 0.088853
3272.0 0.089356
3273.0 0.089867
3274.0 0.090383
3275.0 0.090906
3276.0 0.091435
3277.0 0.09197
3278.0 0.092512
3279.0 0.09306
3280.0 0.093615
3281.0 0.094175
3282.0 0.094742
3283.0 0.095314
3284.0 0.095893
3285.0 0.096478
3286.0 0.097068
3287.0 0.097665
3288.0 0.098267
3289.0 0.098875
3290.0 0.099488
3291.0 0.100107
3292.0 0.10073
3293.0 0.10136
3294.0 0.101994
3295.0 0.102633
3296.0 0.103277
3297.0 0.103925
3298.0 0.104578
3299.0 0.105235
3300.0 0.105897
3301.0 0.106562
3302.0 0.107232
3303.0 0.107905
3304.0 0.108582
3305.0 0.109262
3306.0 0.109945
3307.0 0.110631
3308.0 0.11132
3309.0 0.112012
3310.0 0.112706
3311.0 0.113402
3312.0 0.1141
3313.0 0.1148
3314.0 0.115502
3315.0 0.116205
3316.0 0.11691
3317.0 0.117616
3318.0 0.118323
3319.0 0.11903
3320.0 0.119738
3321.0 0.120447
3322.0 0.121156
3323.0 0.121865
3324.0 0.122574
3325.0 0.123283
3326.0 0.123992
3327.0 0.124701
3328.0 0.125408
3329.0 0.126115
3330.0 0.126822
3331.0 0.127527
3332.0 0.128231
3333.0 0.128935
3334.0 0.129636
3335.0 0.130337
3336.0 0.131036
3337.0 0.131734
3338.0 0.13243
3339.0 0.133124
3340.0 0.133817
3341.0 0.134508
3342.0 0.135196
3343.0 0.135883
3344.0 0.136568
3345.0 0.137251
3346.0 0.137932
3347.0 0.138611
3348.0 0.139288
3349.0 0.139963
3350.0 0.140635
3351.0 0.141305
3352.0 0.141974
3353.0 0.14264
3354.0 0.143304
3355.0 0.143966
3356.0 0.144626
3357.0 0.145284
3358.0 0.14594
3359.0 0.146594
3360.0 0.147246
3361.0 0.147896
3362.0 0.148545
3363.0 0.149192
3364.0 0.149838
3365.0 0.150482
3366.0 0.151124
3367.0 0.151766
3368.0 0.152405
3369.0 0.153044
3370.0 0.153681
3371.0 0.154318
3372.0 0.154953
3373.0 0.155588
3374.0 0.156222
3375.0 0.156855
3376.0 0.157488
3377.0 0.158119
3378.0 0.158751
3379.0 0.159382
3380.0 0.160014
3381.0 0.160645
3382.0 0.161275
3383.0 0.161906
3384.0 0.162538
3385.0 0.163169
3386.0 0.163801
3387.0 0.164433
3388.0 0.165066
3389.0 0.165699
3390.0 0.166333
3391.0 0.166968
3392.0 0.167604
3393.0 0.168241
3394.0 0.168879
3395.0 0.169518
3396.0 0.170158
3397.0 0.170799
3398.0 0.171442
3399.0 0.172086
3400.0 0.172732
3401.0 0.173379
3402.0 0.174028
3403.0 0.174678
3404.0 0.17533
3405.0 0.175983
3406.0 0.176637
3407.0 0.177292
3408.0 0.177948
3409.0 0.178605
3410.0 0.179263
3411.0 0.179921
3412.0 0.18058
3413.0 0.181239
3414.0 0.181899
3415.0 0.182559
3416.0 0.183219
3417.0 0.183878
3418.0 0.184537
3419.0 0.185196
3420.0 0.185854
3421.0 0.186511
3422.0 0.187167
3423.0 0.187822
3424.0 0.188476
3425.0 0.189127
3426.0 0.189777
3427.0 0.190425
3428.0 0.191071
3429.0 0.191714
3430.0 0.192355
3431.0 0.192992
3432.0 0.193626
3433.0 0.194257
3434.0 0.194884
3435.0 0.195507
3436.0 0.196125
3437.0 0.196739
3438.0 0.197349
3439.0 0.197953
3440.0 0.198552
3441.0 0.199145
3442.0 0.199732
3443.0 0.200313
3444.0 0.200887
3445.0 0.201455
3446.0 0.202015
3447.0 0.202568
3448.0 0.203114
3449.0 0.203651
3450.0 0.20418
3451.0 0.2047
3452.0 0.205211
3453.0 0.205714
3454.0 0.206209
3455.0 0.206695
3456.0 0.207174
3457.0 0.207644
3458.0 0.208106
3459.0 0.208561
3460.0 0.209008
3461.0 0.209448
3462.0 0.20988
3463.0 0.210305
3464.0 0.210724
3465.0 0.211135
3466.0 0.211539
3467.0 0.211938
3468.0 0.212329
3469.0 0.212715
3470.0 0.213094
3471.0 0.213468
3472.0 0.213836
3473.0 0.214198
3474.0 0.214555
3475.0 0.214907
3476.0 0.215254
3477.0 0.215596
3478.0 0.215934
3479.0 0.216268
3480.0 0.216597
3481.0 0.216923
3482.0 0.217245
3483.0 0.217563
3484.0 0.217878
3485.0 0.21819
3486.0 0.2185
3487.0 0.218807
3488.0 0.219111
3489.0 0.219414
3490.0 0.219715
3491.0 0.220014
3492.0 0.220312
3493.0 0.220609
3494.0 0.220906
3495.0 0.221202
3496.0 0.221498
3497.0 0.221794
3498.0 0.22209
3499.0 0.222387
3500.0 0.222686
3501.0 0.222985
3502.0 0.223286
3503.0 0.223588
