# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: GG400}
# - {cwav: '5500'}
# - {Grating: 600ZD}
# schema: astropy-2.0
wav eff eff_unc
4000.480 0.01247 0.00155
4004.320 0.01303 0.00155
4008.160 0.01359 0.00154
4012.640 0.01425 0.00154
4016.480 0.01481 0.00154
4020.320 0.01537 0.00154
4024.160 0.01593 0.00153
4028.640 0.01658 0.00153
4032.480 0.01713 0.00153
4036.320 0.01769 0.00153
4040.160 0.01825 0.00153
4044.000 0.01880 0.00153
4048.480 0.01945 0.00153
4052.320 0.02000 0.00153
4056.160 0.02055 0.00153
4060.000 0.02110 0.00153
4064.480 0.02175 0.00153
4068.320 0.02230 0.00153
4072.160 0.02285 0.00154
4076.000 0.02340 0.00154
4080.480 0.02404 0.00154
4084.320 0.02458 0.00154
4088.160 0.02513 0.00155
4092.000 0.02567 0.00155
4095.840 0.02622 0.00155
4100.320 0.02686 0.00156
4104.160 0.02740 0.00156
4108.000 0.02794 0.00157
4111.840 0.02848 0.00157
4116.320 0.02912 0.00158
4120.160 0.02966 0.00158
4124.000 0.03020 0.00159
4127.840 0.03074 0.00159
4131.680 0.03127 0.00160
4136.160 0.03190 0.00160
4140.000 0.03244 0.00161
4143.840 0.03297 0.00162
4147.680 0.03351 0.00162
4152.160 0.03413 0.00163
4156.000 0.03467 0.00164
4159.840 0.03520 0.00164
4163.680 0.03573 0.00165
4168.160 0.03635 0.00166
4172.000 0.03688 0.00167
4175.840 0.03742 0.00167
4179.680 0.03794 0.00168
4183.520 0.03847 0.00169
4188.000 0.03909 0.00170
4191.840 0.03962 0.00170
4195.680 0.04014 0.00171
4199.520 0.04067 0.00172
4204.000 0.04128 0.00173
4207.840 0.04181 0.00174
4211.680 0.04233 0.00175
4215.520 0.04285 0.00175
4219.360 0.04338 0.00176
4223.840 0.04398 0.00177
4227.680 0.04451 0.00178
4231.520 0.04503 0.00179
4235.360 0.04555 0.00180
4239.840 0.04615 0.00181
4243.680 0.04667 0.00182
4247.520 0.04719 0.00183
4251.360 0.04770 0.00183
4255.840 0.04830 0.00185
4259.680 0.04882 0.00185
4263.520 0.04933 0.00186
4267.360 0.04985 0.00187
4271.200 0.05036 0.00188
4275.680 0.05096 0.00189
4279.520 0.05147 0.00190
4283.360 0.05198 0.00191
4287.200 0.05249 0.00192
4291.680 0.05308 0.00193
4295.520 0.05359 0.00194
4299.360 0.05410 0.00195
4303.200 0.05461 0.00196
4307.040 0.05511 0.00197
4311.520 0.05570 0.00198
4315.360 0.05621 0.00199
4319.200 0.05671 0.00200
4323.040 0.05722 0.00201
4327.520 0.05780 0.00202
4331.360 0.05830 0.00203
4335.200 0.05881 0.00204
4339.040 0.05931 0.00205
4343.520 0.05989 0.00206
4347.360 0.06039 0.00207
4351.200 0.06089 0.00208
4355.040 0.06138 0.00209
4358.880 0.06188 0.00209
4363.360 0.06246 0.00211
4367.200 0.06296 0.00211
4371.040 0.06345 0.00212
4374.880 0.06395 0.00213
4379.360 0.06452 0.00214
4383.200 0.06501 0.00215
4387.040 0.06551 0.00216
4390.880 0.06600 0.00217
4394.720 0.06649 0.00218
4399.200 0.06706 0.00219
4403.040 0.06755 0.00220
4406.880 0.06804 0.00221
4410.720 0.06853 0.00222
4415.200 0.06909 0.00223
4419.040 0.06958 0.00224
4422.880 0.07007 0.00225
4426.720 0.07055 0.00226
4431.200 0.07112 0.00227
4435.040 0.07160 0.00228
4438.880 0.07208 0.00229
4442.720 0.07256 0.00230
4446.560 0.07305 0.00230
4451.040 0.07361 0.00231
4454.880 0.07409 0.00232
4458.720 0.07457 0.00233
4462.560 0.07505 0.00234
4467.040 0.07560 0.00235
4470.880 0.07608 0.00236
4474.720 0.07656 0.00237
4478.560 0.07703 0.00238
4482.400 0.07751 0.00239
4486.880 0.07806 0.00240
4490.720 0.07854 0.00241
4494.560 0.07901 0.00241
4498.400 0.07948 0.00242
4502.880 0.08003 0.00243
4506.720 0.08050 0.00244
4510.560 0.08097 0.00245
4514.400 0.08144 0.00246
4518.880 0.08199 0.00247
