# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: GG400}
# - {cwav: '5000'}
# - {Grating: 830G}
# schema: astropy-2.0
wav eff eff_unc
4000.310 0.01135 0.00020
4003.130 0.01117 0.00020
4005.950 0.01100 0.00020
4009.240 0.01079 0.00019
4012.060 0.01062 0.00019
4014.880 0.01045 0.00019
4017.700 0.01028 0.00018
4020.520 0.01011 0.00018
4023.810 0.00992 0.00018
4026.630 0.00976 0.00018
4029.450 0.00960 0.00018
4032.270 0.00944 0.00017
4035.560 0.00926 0.00017
4038.380 0.00911 0.00017
4041.200 0.00895 0.00017
4044.020 0.00881 0.00017
4046.840 0.00866 0.00016
4050.130 0.00849 0.00016
4052.950 0.00835 0.00016
4055.770 0.00821 0.00016
4058.590 0.00807 0.00016
4061.410 0.00793 0.00016
4064.700 0.00778 0.00016
4067.520 0.00765 0.00016
4070.340 0.00752 0.00016
4073.160 0.00739 0.00016
4075.980 0.00726 0.00016
4079.270 0.00712 0.00016
4082.090 0.00700 0.00016
4084.910 0.00688 0.00016
4087.730 0.00677 0.00015
4091.020 0.00663 0.00015
4093.840 0.00652 0.00015
4096.660 0.00641 0.00015
4099.480 0.00630 0.00016
4102.300 0.00620 0.00016
4105.590 0.00608 0.00016
4108.410 0.00597 0.00016
4111.230 0.00587 0.00016
4114.050 0.00578 0.00016
4116.870 0.00568 0.00016
4120.160 0.00557 0.00016
4122.980 0.00548 0.00016
4125.800 0.00539 0.00016
4128.620 0.00531 0.00016
4131.440 0.00522 0.00016
4134.730 0.00512 0.00016
4137.550 0.00504 0.00016
4140.370 0.00496 0.00016
4143.190 0.00489 0.00016
4146.480 0.00480 0.00016
4149.300 0.00473 0.00016
4152.120 0.00466 0.00016
4154.940 0.00459 0.00016
4157.760 0.00452 0.00017
4161.050 0.00445 0.00017
4163.870 0.00438 0.00017
4166.690 0.00432 0.00017
4169.510 0.00426 0.00017
4172.330 0.00421 0.00017
4175.620 0.00414 0.00017
4178.440 0.00409 0.00017
4181.260 0.00404 0.00017
4184.080 0.00399 0.00017
4186.900 0.00394 0.00017
4190.190 0.00389 0.00017
4193.010 0.00385 0.00017
4195.830 0.00381 0.00017
4198.650 0.00377 0.00017
4201.470 0.00373 0.00017
4204.760 0.00369 0.00017
4207.580 0.00366 0.00018
4210.400 0.00363 0.00018
4213.220 0.00360 0.00018
4216.510 0.00357 0.00018
4219.330 0.00354 0.00018
4222.150 0.00352 0.00018
4224.970 0.00350 0.00018
4227.790 0.00348 0.00018
4231.080 0.00346 0.00018
4233.900 0.00344 0.00018
4236.720 0.00343 0.00018
4239.540 0.00342 0.00018
4242.360 0.00341 0.00018
4245.650 0.00340 0.00018
4248.470 0.00339 0.00018
4251.290 0.00339 0.00018
4254.110 0.00338 0.00018
4256.930 0.00338 0.00018
4260.220 0.00338 0.00018
4263.040 0.00339 0.00018
4265.860 0.00339 0.00018
4268.680 0.00340 0.00018
4271.970 0.00341 0.00018
4274.790 0.00342 0.00018
4277.610 0.00343 0.00018
4280.430 0.00345 0.00018
4283.250 0.00346 0.00018
4286.540 0.00348 0.00018
4289.360 0.00350 0.00018
4292.180 0.00352 0.00018
4295.000 0.00355 0.00018
4297.820 0.00357 0.00018
4301.110 0.00360 0.00018
4303.930 0.00363 0.00018
4306.750 0.00366 0.00018
4309.570 0.00369 0.00018
4312.390 0.00373 0.00018
4315.680 0.00377 0.00018
4318.500 0.00381 0.00018
4321.320 0.00385 0.00018
4324.140 0.00389 0.00018
4327.430 0.00394 0.00018
4330.250 0.00398 0.00018
4333.070 0.00403 0.00018
4335.890 0.00408 0.00017
4338.710 0.00413 0.00017
4342.000 0.00419 0.00017
4344.820 0.00424 0.00017
4347.640 0.00429 0.00017
4350.460 0.00435 0.00017
4353.280 0.00441 0.00017
4356.570 0.00448 0.00017
4359.390 0.00454 0.00017
4362.210 0.00460 0.00017
4365.030 0.00467 0.00017
4367.850 0.00473 0.00017
4371.140 0.00481 0.00017
4373.960 0.00488 0.00017
4376.780 0.00496 0.00017
4379.600 0.00503 0.00017
4382.890 0.00512 0.00017
4385.710 0.00519 0.00017
4388.530 0.00527 0.00017
4391.350 0.00535 0.00016
4394.170 0.00544 0.00016
4397.460 0.00553 0.00016
4400.280 0.00562 0.00016
4403.100 0.00570 0.00016
4405.920 0.00579 0.00016
4408.740 0.00588 0.00016
4412.030 0.00599 0.00016
4414.850 0.00608 0.00016
4417.670 0.00618 0.00016
4420.490 0.00627 0.00016
4423.310 0.00637 0.00016
4426.600 0.00649 0.00016
4429.420 0.00659 0.00016
4432.240 0.00669 0.00016
4435.060 0.00680 0.00016
4438.350 0.00692 0.00016
4441.170 0.00703 0.00016
4443.990 0.00714 0.00016
4446.810 0.00725 0.00016
4449.630 0.00736 0.00016
4452.920 0.00749 0.00016
4455.740 0.00761 0.00016
4458.560 0.00772 0.00016
4461.380 0.00784 0.00016
4464.200 0.00796 0.00016
4467.490 0.00810 0.00016
4470.310 0.00823 0.00016
4473.130 0.00835 0.00016
4475.950 0.00848 0.00016
4478.770 0.00861 0.00016
4482.060 0.00876 0.00016
4484.880 0.00889 0.00016
4487.700 0.00902 0.00016
4490.520 0.00915 0.00016
4493.340 0.00929 0.00016
4496.630 0.00945 0.00016
4499.450 0.00959 0.00016
4502.270 0.00972 0.00016
4505.090 0.00987 0.00016
4508.380 0.01003 0.00016
4511.200 0.01018 0.00016
4514.020 0.01032 0.00016
4516.840 0.01047 0.00016
4519.660 0.01062 0.00016
4522.950 0.01079 0.00016
4525.770 0.01094 0.00017
4528.590 0.01109 0.00017
4531.410 0.01125 0.00017
4534.230 0.01140 0.00017
4537.520 0.01159 0.00017
4540.340 0.01175 0.00017
4543.160 0.01191 0.00017
4545.980 0.01207 0.00017
4548.800 0.01223 0.00018
4552.090 0.01242 0.00018
4554.910 0.01259 0.00018
4557.730 0.01275 0.00018
4560.550 0.01292 0.00018
4563.840 0.01312 0.00018
4566.660 0.01329 0.00019
4569.480 0.01346 0.00019
4572.300 0.01363 0.00019
4575.120 0.01381 0.00019
4578.410 0.01402 0.00019
4581.230 0.01419 0.00020
4584.050 0.01437 0.00020
4586.870 0.01455 0.00020
4589.690 0.01473 0.00020
4592.980 0.01495 0.00021
4595.800 0.01513 0.00021
4598.620 0.01532 0.00021
4601.440 0.01550 0.00021
4604.260 0.01569 0.00022
4607.550 0.01591 0.00022
4610.370 0.01610 0.00022
4613.190 0.01630 0.00022
4616.010 0.01649 0.00023
4619.300 0.01672 0.00023
4622.120 0.01691 0.00023
4624.940 0.01711 0.00023
4627.760 0.01731 0.00024
4630.580 0.01751 0.00024
4633.870 0.01774 0.00024
4636.690 0.01795 0.00025
4639.510 0.01815 0.00025
4642.330 0.01836 0.00025
4645.150 0.01856 0.00026
4648.440 0.01880 0.00026
4651.260 0.01903 0.00026
4654.080 0.01925 0.00027
4656.900 0.01948 0.00027
4659.720 0.01970 0.00027
4663.010 0.01996 0.00028
4665.830 0.02019 0.00028
4668.650 0.02041 0.00028
4671.470 0.02064 0.00029
4674.760 0.02090 0.00029
4677.580 0.02112 0.00029
4680.400 0.02135 0.00030
4683.220 0.02157 0.00030
4686.040 0.02180 0.00030
4689.330 0.02206 0.00031
4692.150 0.02228 0.00031
4694.970 0.02251 0.00031
4697.790 0.02273 0.00032
4700.610 0.02295 0.00032
4703.900 0.02322 0.00033
4706.720 0.02344 0.00033
4709.540 0.02366 0.00033
4712.360 0.02389 0.00034
4715.180 0.02411 0.00034
4718.470 0.02438 0.00034
4721.290 0.02460 0.00035
4724.110 0.02482 0.00035
4726.930 0.02505 0.00036
4730.220 0.02533 0.00036
4733.040 0.02557 0.00036
4735.860 0.02581 0.00037
4738.680 0.02606 0.00037
4741.500 0.02630 0.00037
4744.790 0.02659 0.00038
4747.610 0.02684 0.00038
4750.430 0.02708 0.00039
4753.250 0.02733 0.00039
4756.070 0.02758 0.00039
4759.360 0.02788 0.00040
4762.180 0.02813 0.00040
4765.000 0.02838 0.00041
4767.820 0.02864 0.00041
4770.640 0.02889 0.00042
4773.930 0.02919 0.00042
4776.750 0.02945 0.00042
4779.570 0.02971 0.00043
4782.390 0.02997 0.00043
4785.210 0.03023 0.00044
4788.500 0.03054 0.00044
4791.320 0.03080 0.00044
4794.140 0.03106 0.00045
4796.960 0.03133 0.00045
4800.250 0.03164 0.00046
4803.070 0.03190 0.00046
4805.890 0.03217 0.00047
4808.710 0.03244 0.00047
4811.530 0.03271 0.00047
4814.820 0.03303 0.00048
4817.640 0.03330 0.00048
4820.460 0.03357 0.00049
4823.280 0.03385 0.00049
4826.100 0.03414 0.00050
4829.390 0.03448 0.00050
4832.210 0.03477 0.00050
4835.030 0.03506 0.00051
4837.850 0.03535 0.00051
4840.670 0.03564 0.00052
4843.960 0.03598 0.00052
4846.780 0.03627 0.00053
4849.600 0.03656 0.00053
4852.420 0.03685 0.00053
4855.710 0.03719 0.00054
4858.530 0.03748 0.00054
4861.350 0.03778 0.00055
4864.170 0.03807 0.00055
4866.990 0.03836 0.00056
4870.280 0.03870 0.00056
4873.100 0.03899 0.00057
4875.920 0.03928 0.00057
4878.740 0.03957 0.00057
4881.560 0.03986 0.00058
4884.850 0.04020 0.00058
4887.670 0.04049 0.00059
4890.490 0.04078 0.00059
4893.310 0.04108 0.00060
4896.130 0.04137 0.00060
4899.420 0.04171 0.00060
4902.240 0.04200 0.00061
4905.060 0.04229 0.00061
4907.880 0.04258 0.00062
4911.170 0.04292 0.00062
4913.990 0.04321 0.00063
4916.810 0.04350 0.00063
4919.630 0.04379 0.00064
4922.450 0.04408 0.00064
4925.740 0.04442 0.00064
4928.560 0.04471 0.00065
4931.380 0.04500 0.00065
4934.200 0.04531 0.00066
4937.020 0.04562 0.00066
4940.310 0.04598 0.00067
4943.130 0.04629 0.00067
4945.950 0.04660 0.00067
4948.770 0.04691 0.00068
4951.590 0.04722 0.00068
4954.880 0.04759 0.00069
4957.700 0.04790 0.00069
4960.520 0.04822 0.00070
4963.340 0.04853 0.00070
4966.630 0.04890 0.00071
4969.450 0.04922 0.00071
4972.270 0.04953 0.00071
4975.090 0.04985 0.00072
4977.910 0.05017 0.00072
4981.200 0.05054 0.00073
4984.020 0.05086 0.00073
4986.840 0.05118 0.00073
4989.660 0.05150 0.00074
4992.480 0.05183 0.00074
5006.580 0.05345 0.00076
5009.400 0.05377 0.00077
5012.220 0.05410 0.00077
5015.040 0.05443 0.00078
5017.860 0.05476 0.00078
5021.150 0.05514 0.00078
5023.970 0.05547 0.00079
5026.790 0.05580 0.00079
5029.610 0.05613 0.00080
5032.900 0.05652 0.00080
5035.720 0.05685 0.00080
5038.540 0.05718 0.00081
5041.360 0.05751 0.00081
5044.180 0.05785 0.00082
5047.470 0.05824 0.00082
5050.290 0.05857 0.00083
5053.110 0.05891 0.00083
5055.930 0.05924 0.00083
5058.750 0.05958 0.00084
5062.040 0.05997 0.00084
5064.860 0.06031 0.00085
5067.680 0.06065 0.00085
5070.500 0.06099 0.00085
5073.320 0.06133 0.00086
5076.610 0.06173 0.00086
5079.430 0.06207 0.00086
5082.250 0.06241 0.00087
5085.070 0.06275 0.00087
5087.890 0.06309 0.00088
5091.180 0.06349 0.00088
5094.000 0.06384 0.00088
5096.820 0.06418 0.00089
5099.640 0.06453 0.00089
5102.930 0.06493 0.00090
5105.750 0.06528 0.00090
5108.570 0.06562 0.00090
5111.390 0.06597 0.00091
5114.210 0.06632 0.00091
5117.500 0.06672 0.00091
5120.320 0.06707 0.00092
5123.140 0.06742 0.00092
5125.960 0.06777 0.00093
5128.780 0.06812 0.00093
5132.070 0.06853 0.00093
5134.890 0.06888 0.00094
5137.710 0.06923 0.00094
5140.530 0.06958 0.00094
5143.350 0.06993 0.00095
5146.640 0.07034 0.00095
5149.460 0.07070 0.00095
5152.280 0.07105 0.00096
5155.100 0.07140 0.00096
5158.390 0.07182 0.00096
5161.210 0.07217 0.00097
5164.030 0.07253 0.00097
5166.850 0.07288 0.00097
5169.670 0.07324 0.00098
5172.960 0.07366 0.00098
5175.780 0.07401 0.00099
5178.600 0.07437 0.00099
