# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: GG455}
# - {cwav: '6500'}
# - {Grating: 600ZD}
# schema: astropy-2.0
wav eff eff_unc
4400.160 0.01766 0.00513
4404.640 0.01869 0.00504
4409.120 0.01972 0.00495
4413.600 0.02074 0.00486
4417.440 0.02162 0.00479
4421.920 0.02263 0.00471
4426.400 0.02365 0.00463
4430.880 0.02466 0.00455
4435.360 0.02567 0.00447
4439.840 0.02667 0.00440
4444.320 0.02767 0.00433
4448.160 0.02853 0.00427
4452.640 0.02952 0.00420
4457.120 0.03051 0.00414
4461.600 0.03149 0.00407
4466.080 0.03248 0.00401
4470.560 0.03346 0.00396
4474.400 0.03429 0.00391
4478.880 0.03527 0.00386
4483.360 0.03624 0.00381
4487.840 0.03720 0.00376
4492.320 0.03816 0.00372
4496.800 0.03912 0.00367
4501.280 0.04008 0.00364
4505.120 0.04089 0.00360
4509.600 0.04184 0.00357
4514.080 0.04279 0.00354
4518.560 0.04373 0.00351
4523.040 0.04467 0.00349
4527.520 0.04560 0.00347
4532.000 0.04654 0.00345
4535.840 0.04733 0.00343
4540.320 0.04826 0.00342
4544.800 0.04918 0.00341
4549.280 0.05010 0.00340
4553.760 0.05101 0.00339
4558.240 0.05193 0.00339
4562.720 0.05283 0.00339
4566.560 0.05361 0.00339
4571.040 0.05451 0.00340
4575.520 0.05541 0.00340
4580.000 0.05631 0.00341
4584.480 0.05720 0.00342
4588.960 0.05809 0.00344
4592.800 0.05885 0.00345
4597.280 0.05973 0.00347
4601.760 0.06061 0.00348
4606.240 0.06149 0.00351
4610.720 0.06236 0.00353
4615.200 0.06323 0.00355
4619.680 0.06410 0.00358
4623.520 0.06484 0.00360
4628.000 0.06570 0.00363
4632.480 0.06655 0.00366
4636.960 0.06741 0.00369
4641.440 0.06826 0.00372
4645.920 0.06911 0.00376
4650.400 0.06992 0.00379
4654.240 0.07062 0.00382
4658.720 0.07144 0.00385
4663.200 0.07226 0.00388
4667.680 0.07307 0.00392
4672.160 0.07389 0.00396
4676.640 0.07471 0.00399
4681.120 0.07552 0.00403
4684.960 0.07622 0.00407
4689.440 0.07704 0.00411
4693.920 0.07785 0.00415
4698.400 0.07867 0.00419
4702.880 0.07949 0.00424
4707.360 0.08030 0.00428
4711.200 0.08100 0.00432
4715.680 0.08182 0.00437
4720.160 0.08264 0.00441
4724.640 0.08345 0.00446
