# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: GG455}
# - {cwav: '7000'}
# - {Grating: 1200B}
# schema: astropy-2.0
wav eff eff_unc
5645.350 0.14919 0.00000
5647.990 0.14937 0.00000
5650.630 0.14955 0.00000
5653.600 0.14975 0.00000
5656.240 0.14993 0.00000
5658.880 0.15011 0.00000
5661.520 0.15028 0.00000
5664.160 0.15046 0.00000
5667.130 0.15066 0.00000
5669.770 0.15083 0.00000
5672.410 0.15101 0.00000
5675.050 0.15118 0.00000
5677.690 0.15135 0.00000
5680.330 0.15152 0.00000
5683.300 0.15172 0.00000
5685.940 0.15189 0.00000
5688.580 0.15206 0.00000
5691.220 0.15223 0.00000
5693.860 0.15239 0.00000
5696.830 0.15258 0.00000
5699.470 0.15275 0.00000
5702.110 0.15291 0.00000
5704.750 0.15308 0.00000
5707.390 0.15325 0.00000
5710.360 0.15343 0.00000
5713.000 0.15359 0.00000
5715.640 0.15376 0.00000
5718.280 0.15392 0.00000
5720.920 0.15408 0.00000
5723.560 0.15424 0.00000
5726.530 0.15442 0.00000
5729.170 0.15458 0.00000
5731.810 0.15474 0.00000
5734.450 0.15490 0.00000
5737.090 0.15505 0.00000
5740.060 0.15523 0.00000
5742.700 0.15538 0.00000
5745.340 0.15554 0.00000
5747.980 0.15569 0.00000
5750.620 0.15585 0.00000
5753.590 0.15602 0.00000
5756.230 0.15617 0.00000
5758.870 0.15632 0.00000
5761.510 0.15648 0.00000
5764.150 0.15663 0.00000
5766.790 0.15678 0.00000
5769.760 0.15694 0.00000
5772.400 0.15709 0.00000
5775.040 0.15724 0.00000
5777.680 0.15739 0.00000
5780.320 0.15753 0.00000
5783.290 0.15770 0.00000
5785.930 0.15784 0.00000
5788.570 0.15799 0.00000
5791.210 0.15813 0.00000
5793.850 0.15827 0.00000
5796.820 0.15843 0.00000
5799.460 0.15857 0.00000
5802.100 0.15871 0.00000
5804.740 0.15885 0.00000
5807.380 0.15899 0.00000
5810.020 0.15913 0.00000
5812.990 0.15929 0.00000
5815.630 0.15943 0.00000
5818.270 0.15956 0.00000
5820.910 0.15970 0.00000
5823.550 0.15984 0.00000
5826.520 0.15999 0.00000
5829.160 0.16012 0.00000
5831.800 0.16026 0.00000
5834.440 0.16039 0.00000
5837.080 0.16052 0.00000
5840.050 0.16067 0.00000
5842.690 0.16080 0.00000
5845.330 0.16093 0.00000
5847.970 0.16106 0.00000
5850.610 0.16119 0.00000
5853.250 0.16132 0.00000
5856.220 0.16146 0.00000
5858.860 0.16159 0.00000
5861.500 0.16172 0.00000
5864.140 0.16184 0.00000
5866.780 0.16197 0.00000
5869.750 0.16211 0.00000
5872.390 0.16223 0.00000
5875.030 0.16235 0.00000
5877.670 0.16248 0.00000
5880.310 0.16260 0.00000
5883.280 0.16274 0.00000
5885.920 0.16286 0.00000
5888.560 0.16298 0.00000
5891.200 0.16310 0.00000
5893.840 0.16322 0.00000
5896.480 0.16333 0.00000
5899.450 0.16347 0.00000
5902.090 0.16358 0.00000
5904.730 0.16370 0.00000
5907.370 0.16382 0.00000
5910.010 0.16393 0.00000
5912.980 0.16406 0.00000
5915.620 0.16417 0.00000
5918.260 0.16429 0.00000
5920.900 0.16440 0.00000
5923.540 0.16451 0.00000
5926.510 0.16464 0.00000
5929.150 0.16475 0.00000
5931.790 0.16486 0.00000
5934.430 0.16497 0.00000
5937.070 0.16508 0.00000
5939.710 0.16518 0.00000
5942.680 0.16530 0.00000
5945.320 0.16541 0.00000
5947.960 0.16552 0.00000
5950.600 0.16562 0.00000
5953.240 0.16573 0.00000
5956.210 0.16585 0.00000
5958.850 0.16595 0.00000
5961.490 0.16605 0.00000
5964.130 0.16616 0.00000
5966.770 0.16626 0.00000
5969.740 0.16637 0.00000
5972.380 0.16647 0.00000
5975.020 0.16657 0.00000
5977.660 0.16667 0.00000
5980.300 0.16677 0.00000
5982.940 0.16687 0.00000
5985.910 0.16698 0.00000
5988.550 0.16708 0.00000
5991.190 0.16718 0.00000
5993.830 0.16727 0.00000
5996.470 0.16737 0.00000
5999.440 0.16747 0.00000
6002.080 0.16757 0.00000
6004.720 0.16766 0.00000
6007.360 0.16776 0.00000
6010.000 0.16785 0.00000
6012.970 0.16795 0.00000
6015.610 0.16804 0.00000
6018.250 0.16813 0.00000
6020.890 0.16822 0.00000
6023.530 0.16831 0.00000
6026.500 0.16841 0.00000
6029.140 0.16850 0.00000
6031.780 0.16859 0.00000
6034.420 0.16868 0.00000
6037.060 0.16876 0.00000
6039.700 0.16885 0.00000
6042.670 0.16895 0.00000
6045.310 0.16903 0.00000
6047.950 0.16912 0.00000
6050.590 0.16920 0.00000
6053.230 0.16928 0.00000
6056.200 0.16938 0.00000
6058.840 0.16946 0.00000
6061.480 0.16954 0.00000
6064.120 0.16962 0.00000
6066.760 0.16970 0.00000
6069.730 0.16979 0.00000
6072.370 0.16987 0.00000
6075.010 0.16995 0.00000
6077.650 0.17003 0.00000
6080.290 0.17010 0.00000
6082.930 0.17018 0.00000
6085.900 0.17027 0.00000
6088.540 0.17034 0.00000
6091.180 0.17042 0.00000
6093.820 0.17049 0.00000
6096.460 0.17057 0.00000
6099.430 0.17065 0.00000
6102.070 0.17072 0.00000
6104.710 0.17079 0.00000
6107.350 0.17087 0.00000
6109.990 0.17094 0.00000
6112.960 0.17102 0.00000
6115.600 0.17109 0.00000
6118.240 0.17116 0.00000
6120.880 0.17122 0.00000
6123.520 0.17129 0.00000
6126.160 0.17136 0.00000
6129.130 0.17144 0.00000
6131.770 0.17150 0.00000
6134.410 0.17157 0.00000
6137.050 0.17164 0.00000
6139.690 0.17170 0.00000
6142.660 0.17177 0.00000
6145.300 0.17184 0.00000
6147.940 0.17190 0.00000
6150.580 0.17196 0.00000
6153.220 0.17203 0.00000
6156.190 0.17210 0.00000
6158.830 0.17216 0.00000
6161.470 0.17222 0.00000
6164.110 0.17228 0.00000
