# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: GG455}
# - {cwav: '7000'}
# - {Grating: 1200G}
# schema: astropy-2.0
wav eff eff_unc
5645.350 0.11025 0.00162
5647.990 0.11088 0.00163
5650.630 0.11150 0.00164
5653.600 0.11220 0.00165
5656.240 0.11283 0.00166
5658.880 0.11345 0.00166
5661.520 0.11407 0.00167
5664.160 0.11469 0.00168
5667.130 0.11538 0.00169
5669.770 0.11600 0.00170
5672.410 0.11662 0.00171
5675.050 0.11723 0.00172
5677.690 0.11784 0.00173
5680.330 0.11845 0.00174
5683.300 0.11913 0.00176
5685.940 0.11974 0.00177
5688.580 0.12035 0.00178
5691.220 0.12095 0.00179
5693.860 0.12155 0.00180
5696.830 0.12223 0.00181
5699.470 0.12283 0.00182
5702.110 0.12343 0.00183
5704.750 0.12403 0.00185
5707.390 0.12462 0.00186
5710.360 0.12529 0.00187
5713.000 0.12588 0.00188
5715.640 0.12647 0.00189
5718.280 0.12706 0.00190
5720.920 0.12765 0.00192
5723.560 0.12824 0.00193
5726.530 0.12889 0.00194
5729.170 0.12948 0.00195
5731.810 0.13006 0.00197
5734.450 0.13064 0.00198
5737.090 0.13122 0.00199
5740.060 0.13187 0.00200
5742.700 0.13244 0.00202
5745.340 0.13302 0.00203
5747.980 0.13359 0.00204
5750.620 0.13416 0.00205
5753.590 0.13481 0.00207
5756.230 0.13537 0.00208
5758.870 0.13594 0.00209
5761.510 0.13651 0.00211
5764.150 0.13707 0.00212
5766.790 0.13764 0.00213
5769.760 0.13827 0.00215
5772.400 0.13883 0.00216
5775.040 0.13939 0.00217
5777.680 0.13994 0.00218
5780.320 0.14050 0.00220
5783.290 0.14112 0.00221
5785.930 0.14168 0.00222
5788.570 0.14223 0.00224
5791.210 0.14278 0.00225
5793.850 0.14333 0.00226
5796.820 0.14394 0.00227
5799.460 0.14449 0.00229
5802.100 0.14503 0.00230
5804.740 0.14558 0.00231
5807.380 0.14612 0.00232
5810.020 0.14666 0.00234
5812.990 0.14726 0.00235
5815.630 0.14780 0.00236
5818.270 0.14834 0.00238
5820.910 0.14887 0.00239
5823.550 0.14940 0.00240
5826.520 0.15000 0.00242
5829.160 0.15053 0.00243
5831.800 0.15106 0.00244
5834.440 0.15159 0.00245
5837.080 0.15211 0.00246
5840.050 0.15270 0.00248
5842.690 0.15323 0.00249
5845.330 0.15375 0.00250
5847.970 0.15427 0.00251
5850.610 0.15479 0.00253
5853.250 0.15531 0.00254
5856.220 0.15589 0.00255
5858.860 0.15640 0.00256
5861.500 0.15691 0.00258
5864.140 0.15743 0.00259
5866.780 0.15794 0.00260
5869.750 0.15851 0.00261
5872.390 0.15902 0.00263
5875.030 0.15952 0.00264
5877.670 0.16003 0.00265
5880.310 0.16053 0.00266
5883.280 0.16110 0.00267
5885.920 0.16160 0.00269
5888.560 0.16210 0.00270
5891.200 0.16259 0.00271
5893.840 0.16309 0.00272
5896.480 0.16359 0.00273
5899.450 0.16414 0.00274
5902.090 0.16463 0.00276
5904.730 0.16512 0.00277
5907.370 0.16561 0.00278
5910.010 0.16610 0.00279
5912.980 0.16665 0.00280
5915.620 0.16714 0.00281
5918.260 0.16762 0.00282
5920.900 0.16810 0.00284
5923.540 0.16858 0.00285
5926.510 0.16912 0.00286
5929.150 0.16960 0.00287
5931.790 0.17008 0.00288
5934.430 0.17056 0.00289
5937.070 0.17103 0.00290
5939.710 0.17150 0.00291
5942.680 0.17204 0.00292
5945.320 0.17251 0.00294
5947.960 0.17297 0.00295
5950.600 0.17344 0.00296
5953.240 0.17391 0.00297
5956.210 0.17443 0.00298
5958.850 0.17490 0.00299
5961.490 0.17536 0.00300
5964.130 0.17582 0.00301
5966.770 0.17628 0.00302
5969.740 0.17680 0.00303
5972.380 0.17725 0.00304
5975.020 0.17771 0.00305
5977.660 0.17816 0.00306
5980.300 0.17861 0.00307
5982.940 0.17907 0.00308
5985.910 0.17957 0.00309
5988.550 0.18002 0.00310
5991.190 0.18047 0.00311
5993.830 0.18092 0.00312
5996.470 0.18136 0.00313
5999.440 0.18186 0.00314
6002.080 0.18230 0.00315
6004.720 0.18274 0.00316
6007.360 0.18318 0.00317
6010.000 0.18362 0.00318
6012.970 0.18411 0.00319
6015.610 0.18455 0.00320
6018.250 0.18498 0.00321
6020.890 0.18542 0.00321
6023.530 0.18585 0.00322
6026.500 0.18633 0.00323
6029.140 0.18676 0.00324
6031.780 0.18719 0.00325
6034.420 0.18762 0.00326
6037.060 0.18804 0.00327
6039.700 0.18846 0.00328
6042.670 0.18894 0.00329
6045.310 0.18936 0.00330
6047.950 0.18978 0.00330
6050.590 0.19020 0.00331
6053.230 0.19062 0.00332
6056.200 0.19109 0.00333
