# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: OG550}
# - {cwav: '7500'}
# - {Grating: 600ZD}
# schema: astropy-2.0
wav eff eff_unc
5500.000 0.12068 0.00748
5504.480 0.12180 0.00736
5508.960 0.12291 0.00723
5514.080 0.12416 0.00710
5518.560 0.12526 0.00698
5523.040 0.12634 0.00687
5527.520 0.12742 0.00676
5532.000 0.12849 0.00665
5537.120 0.12971 0.00653
5541.600 0.13077 0.00643
5546.080 0.13181 0.00633
5550.560 0.13286 0.00624
5555.040 0.13389 0.00614
5560.160 0.13506 0.00604
5564.640 0.13608 0.00596
5569.120 0.13710 0.00588
5573.600 0.13810 0.00580
5578.720 0.13924 0.00571
5583.200 0.14023 0.00564
5587.680 0.14121 0.00557
5592.160 0.14219 0.00550
5596.640 0.14316 0.00544
5601.760 0.14426 0.00537
5606.240 0.14521 0.00531
5610.720 0.14616 0.00526
5615.200 0.14710 0.00520
5619.680 0.14804 0.00516
5624.800 0.14910 0.00510
5629.280 0.15002 0.00506
5633.760 0.15093 0.00502
5638.240 0.15184 0.00498
5642.720 0.15274 0.00494
5647.840 0.15376 0.00490
5652.320 0.15465 0.00487
5656.800 0.15553 0.00484
5661.280 0.15640 0.00481
5665.760 0.15727 0.00479
5670.880 0.15825 0.00476
5675.360 0.15910 0.00474
5679.840 0.15995 0.00472
5684.320 0.16079 0.00470
5689.440 0.16174 0.00469
5693.920 0.16257 0.00467
5698.400 0.16339 0.00466
5702.880 0.16421 0.00465
5707.360 0.16501 0.00464
5712.480 0.16593 0.00463
5716.960 0.16673 0.00462
5721.440 0.16751 0.00462
5725.920 0.16830 0.00461
5730.400 0.16907 0.00461
5735.520 0.16996 0.00460
5740.000 0.17072 0.00460
5744.480 0.17148 0.00460
5748.960 0.17223 0.00460
5753.440 0.17298 0.00460
5758.560 0.17382 0.00460
5763.040 0.17456 0.00460
5767.520 0.17528 0.00460
5772.000 0.17601 0.00461
5776.480 0.17672 0.00461
5781.600 0.17753 0.00461
5786.080 0.17824 0.00461
5790.560 0.17894 0.00462
5795.040 0.17963 0.00462
5800.160 0.18042 0.00463
5804.640 0.18110 0.00463
5809.120 0.18177 0.00463
5813.600 0.18244 0.00464
5818.080 0.18311 0.00464
5823.200 0.18386 0.00464
5827.680 0.18451 0.00465
5832.160 0.18516 0.00465
5836.640 0.18580 0.00465
5841.120 0.18644 0.00466
5846.240 0.18716 0.00466
5850.720 0.18778 0.00466
5855.200 0.18840 0.00467
5859.680 0.18902 0.00467
5864.160 0.18963 0.00467
5869.280 0.19032 0.00467
5873.760 0.19091 0.00467
5878.240 0.19151 0.00467
5882.720 0.19210 0.00467
5887.200 0.19268 0.00467
5892.320 0.19334 0.00467
5896.800 0.19391 0.00467
5901.280 0.19448 0.00467
5905.760 0.19504 0.00467
5910.880 0.19568 0.00466
5915.360 0.19623 0.00466
5919.840 0.19678 0.00466
5924.320 0.19732 0.00466
5928.800 0.19786 0.00465
5933.920 0.19846 0.00465
5938.400 0.19899 0.00464
5942.880 0.19951 0.00464
5947.360 0.20003 0.00463
5951.840 0.20054 0.00462
5956.960 0.20112 0.00461
5961.440 0.20163 0.00461
5965.920 0.20213 0.00460
5970.400 0.20262 0.00459
5974.880 0.20311 0.00458
5980.000 0.20366 0.00457
5984.480 0.20414 0.00456
5988.960 0.20462 0.00455
5993.440 0.20509 0.00454
5997.920 0.20556 0.00453
6003.040 0.20608 0.00451
6007.520 0.20654 0.00450
6012.000 0.20699 0.00449
6016.480 0.20744 0.00448
6021.600 0.20795 0.00446
6026.080 0.20839 0.00445
6030.560 0.20883 0.00443
6035.040 0.20926 0.00442
6039.520 0.20968 0.00440
6044.640 0.21017 0.00438
6049.120 0.21059 0.00437
6053.600 0.21100 0.00435
6058.080 0.21141 0.00433
6062.560 0.21182 0.00431
6067.680 0.21228 0.00429
6072.160 0.21267 0.00428
6076.640 0.21307 0.00426
6081.120 0.21346 0.00424
6085.600 0.21385 0.00422
6090.720 0.21428 0.00420
6095.200 0.21466 0.00418
6099.680 0.21504 0.00416
6104.160 0.21541 0.00413
6108.640 0.21577 0.00411
6113.760 0.21619 0.00409
6118.240 0.21655 0.00407
6122.720 0.21690 0.00405
6127.200 0.21726 0.00402
6131.680 0.21760 0.00400
6136.800 0.21800 0.00398
6141.280 0.21834 0.00395
6145.760 0.21868 0.00393
6150.240 0.21901 0.00391
6155.360 0.21939 0.00388
6159.840 0.21972 0.00386
6164.320 0.22004 0.00383
6168.800 0.22036 0.00381
6173.280 0.22068 0.00378
6178.400 0.22104 0.00376
6182.880 0.22135 0.00373
6187.360 0.22165 0.00371
6191.840 0.22196 0.00368
6196.320 0.22226 0.00366
6201.440 0.22260 0.00363
6205.920 0.22289 0.00360
6210.400 0.22318 0.00358
6214.880 0.22347 0.00356
6219.360 0.22375 0.00353
6224.480 0.22407 0.00350
6228.960 0.22435 0.00348
6233.440 0.22463 0.00345
6237.920 0.22490 0.00343
6242.400 0.22517 0.00340
6247.520 0.22548 0.00338
6252.000 0.22574 0.00335
6256.480 0.22600 0.00333
6260.960 0.22626 0.00330
6266.080 0.22655 0.00327
6270.560 0.22680 0.00325
6275.040 0.22705 0.00323
6279.520 0.22730 0.00320
6284.000 0.22753 0.00318
6289.120 0.22779 0.00315
6293.600 0.22802 0.00313
6298.080 0.22824 0.00311
6302.560 0.22847 0.00308
6307.040 0.22870 0.00306
6312.160 0.22896 0.00304
6316.640 0.22919 0.00301
6321.120 0.22942 0.00299
6325.600 0.22965 0.00297
6330.080 0.22987 0.00295
6335.200 0.23013 0.00293
6339.680 0.23036 0.00291
6344.160 0.23059 0.00289
6348.640 0.23080 0.00287
6353.120 0.23101 0.00285
6358.240 0.23124 0.00283
6362.720 0.23145 0.00281
6367.200 0.23165 0.00279
6371.680 0.23185 0.00277
6376.800 0.23207 0.00275
6381.280 0.23227 0.00274
6385.760 0.23246 0.00272
6390.240 0.23265 0.00270
6394.720 0.23284 0.00269
6399.840 0.23305 0.00267
6404.320 0.23324 0.00266
6408.800 0.23342 0.00264
6413.280 0.23360 0.00263
6417.760 0.23378 0.00262
6422.880 0.23398 0.00260
6427.360 0.23416 0.00259
6431.840 0.23433 0.00258
6436.320 0.23450 0.00257
6440.800 0.23467 0.00256
6445.920 0.23486 0.00254
6450.400 0.23503 0.00253
6454.880 0.23519 0.00252
6459.360 0.23536 0.00251
6463.840 0.23551 0.00251
6468.960 0.23570 0.00250
6473.440 0.23585 0.00249
6477.920 0.23601 0.00248
6482.400 0.23616 0.00247
6487.520 0.23633 0.00246
6492.000 0.23648 0.00246
6496.480 0.23662 0.00245
6500.960 0.23677 0.00244
6505.440 0.23691 0.00244
6510.560 0.23707 0.00243
6515.040 0.23721 0.00243
6519.520 0.23735 0.00242
6524.000 0.23748 0.00242
6528.480 0.23762 0.00242
6533.600 0.23777 0.00241
6538.080 0.23790 0.00241
6542.560 0.23801 0.00241
6547.040 0.23813 0.00240
6551.520 0.23824 0.00240
6556.640 0.23837 0.00240
6561.120 0.23849 0.00240
6565.600 0.23860 0.00240
6570.080 0.23872 0.00239
6574.560 0.23883 0.00239
6579.680 0.23896 0.00239
6584.160 0.23908 0.00239
6588.640 0.23919 0.00239
6593.120 0.23930 0.00239
6598.240 0.23944 0.00239
6602.720 0.23955 0.00239
6607.200 0.23966 0.00239
6611.680 0.23978 0.00240
6616.160 0.23988 0.00240
6621.280 0.23999 0.00240
6625.760 0.24009 0.00240
6630.240 0.24018 0.00240
6634.720 0.24027 0.00241
6639.200 0.24036 0.00241
6644.320 0.24047 0.00241
6648.800 0.24055 0.00241
6653.280 0.24064 0.00242
6657.760 0.24072 0.00242
6662.240 0.24081 0.00242
6667.360 0.24090 0.00243
6671.840 0.24098 0.00243
6676.320 0.24106 0.00243
6680.800 0.24113 0.00244
6685.280 0.24121 0.00244
6690.400 0.24129 0.00245
6694.880 0.24136 0.00245
6699.360 0.24143 0.00246
6703.840 0.24150 0.00246
6708.320 0.24156 0.00247
6713.440 0.24163 0.00247
