# %ECSV 0.9
# ---
# datatype:
# - {name: wav, datatype: float32}
# - {name: eff, datatype: float64}
# - {name: eff_unc, datatype: float64}
# meta: !!omap
# - {Filter: OG550}
# - {cwav: '8000'}
# - {Grating: 830G}
# schema: astropy-2.0
wav eff eff_unc
6070.650 0.12839 0.00570
6074.410 0.12883 0.00575
6078.170 0.12927 0.00581
6082.400 0.12976 0.00588
6086.160 0.13020 0.00593
6089.920 0.13064 0.00599
6093.680 0.13107 0.00605
6097.440 0.13151 0.00610
6101.670 0.13200 0.00616
6105.430 0.13243 0.00622
6109.190 0.13287 0.00627
6112.950 0.13330 0.00633
6116.710 0.13373 0.00638
6120.470 0.13417 0.00644
6124.700 0.13465 0.00650
6128.460 0.13508 0.00655
6132.220 0.13551 0.00661
6135.980 0.13594 0.00666
6139.740 0.13637 0.00671
6143.970 0.13686 0.00677
6147.730 0.13728 0.00682
6151.490 0.13771 0.00687
6155.250 0.13814 0.00693
6159.010 0.13857 0.00698
6163.240 0.13905 0.00703
6167.000 0.13947 0.00709
6170.760 0.13990 0.00714
6174.520 0.14032 0.00719
6178.280 0.14075 0.00723
6182.040 0.14117 0.00728
6186.270 0.14164 0.00734
6190.030 0.14207 0.00739
6193.790 0.14249 0.00744
6197.550 0.14291 0.00748
6201.310 0.14333 0.00753
6205.540 0.14380 0.00759
6209.300 0.14422 0.00763
6213.060 0.14464 0.00768
6216.820 0.14506 0.00773
6220.580 0.14548 0.00777
6224.810 0.14595 0.00782
6228.570 0.14636 0.00787
6232.330 0.14678 0.00791
6236.090 0.14719 0.00796
6239.850 0.14761 0.00800
6243.610 0.14802 0.00805
6247.840 0.14849 0.00810
6251.600 0.14890 0.00814
6255.360 0.14931 0.00818
6259.120 0.14973 0.00823
6262.880 0.15014 0.00827
6267.110 0.15060 0.00832
6270.870 0.15101 0.00836
6274.630 0.15142 0.00840
6278.390 0.15183 0.00844
6282.150 0.15223 0.00848
6286.380 0.15269 0.00852
6290.140 0.15309 0.00856
6293.900 0.15349 0.00860
6297.660 0.15390 0.00864
6301.420 0.15430 0.00867
6305.180 0.15471 0.00871
6309.410 0.15516 0.00876
6313.170 0.15556 0.00879
6316.930 0.15597 0.00883
6320.690 0.15637 0.00887
6324.450 0.15678 0.00891
6328.680 0.15723 0.00895
6332.440 0.15763 0.00899
6336.200 0.15804 0.00903
6339.960 0.15844 0.00907
6343.720 0.15885 0.00911
6347.950 0.15929 0.00915
6351.710 0.15969 0.00918
6355.470 0.16009 0.00922
6359.230 0.16049 0.00925
6362.990 0.16088 0.00929
6366.750 0.16128 0.00932
6370.980 0.16172 0.00936
6374.740 0.16212 0.00939
6378.500 0.16251 0.00943
6382.260 0.16290 0.00946
6386.020 0.16330 0.00949
6390.250 0.16374 0.00953
6394.010 0.16413 0.00956
6397.770 0.16452 0.00959
6401.530 0.16491 0.00962
6405.290 0.16530 0.00965
6409.520 0.16574 0.00969
6413.280 0.16612 0.00972
6417.040 0.16651 0.00975
6420.800 0.16690 0.00978
6424.560 0.16729 0.00981
6428.320 0.16767 0.00984
6432.550 0.16811 0.00987
6436.310 0.16849 0.00990
6440.070 0.16887 0.00993
6443.830 0.16926 0.00996
6447.590 0.16964 0.00999
6451.820 0.17007 0.01002
6455.580 0.17045 0.01004
6459.340 0.17083 0.01007
6463.100 0.17121 0.01010
6466.860 0.17159 0.01013
6471.090 0.17202 0.01016
6474.850 0.17240 0.01018
6478.610 0.17278 0.01021
6482.370 0.17315 0.01023
6486.130 0.17353 0.01026
6489.890 0.17391 0.01028
6494.120 0.17433 0.01031
6497.880 0.17471 0.01034
6501.640 0.17508 0.01036
6505.400 0.17545 0.01039
6509.160 0.17583 0.01041
6513.390 0.17625 0.01044
6517.150 0.17662 0.01046
6520.910 0.17699 0.01048
6524.670 0.17736 0.01051
6528.430 0.17773 0.01053
6532.660 0.17814 0.01055
6536.420 0.17851 0.01057
6540.180 0.17888 0.01059
6543.940 0.17924 0.01061
6547.700 0.17960 0.01063
6551.460 0.17996 0.01065
6555.690 0.18037 0.01068
6559.450 0.18073 0.01070
6563.210 0.18109 0.01072
6566.970 0.18146 0.01073
6570.730 0.18182 0.01075
6574.960 0.18223 0.01078
6578.720 0.18259 0.01080
6582.480 0.18295 0.01082
6586.240 0.18331 0.01084
6590.000 0.18367 0.01086
6594.230 0.18408 0.01088
6597.990 0.18444 0.01090
6601.750 0.18481 0.01092
6605.510 0.18517 0.01094
6609.270 0.18553 0.01096
6613.500 0.18594 0.01098
6617.260 0.18629 0.01100
6621.020 0.18665 0.01101
6624.780 0.18700 0.01103
6628.540 0.18736 0.01105
6632.300 0.18771 0.01106
6636.530 0.18811 0.01108
6640.290 0.18846 0.01110
6644.050 0.18881 0.01111
6647.810 0.18916 0.01113
