#        x       ratio
#
3100.000000   0.115801
3101.000000   0.112817
3102.000000   0.110710
3103.000000   0.109359
3104.000000   0.108654
3105.000000   0.108498
3106.000000   0.108801
3107.000000   0.109488
3108.000000   0.110488
3109.000000   0.111739
3110.000000   0.113189
3111.000000   0.114790
3112.000000   0.116500
3113.000000   0.118284
3114.000000   0.120111
3115.000000   0.121956
3116.000000   0.123795
3117.000000   0.125612
3118.000000   0.127389
3119.000000   0.129117
3120.000000   0.130783
3121.000000   0.132382
3122.000000   0.133909
3123.000000   0.135359
3124.000000   0.136731
3125.000000   0.138023
3126.000000   0.139238
3127.000000   0.140376
3128.000000   0.141439
3129.000000   0.142430
3130.000000   0.143354
3131.000000   0.144215
3132.000000   0.145015
3133.000000   0.145761
3134.000000   0.146457
3135.000000   0.147107
3136.000000   0.147717
3137.000000   0.148290
3138.000000   0.148833
3139.000000   0.149350
3140.000000   0.149844
3141.000000   0.150321
3142.000000   0.150783
3143.000000   0.151236
3144.000000   0.151682
3145.000000   0.152125
3146.000000   0.152568
3147.000000   0.153013
3148.000000   0.153463
3149.000000   0.153921
3150.000000   0.154387
3151.000000   0.154864
3152.000000   0.155353
3153.000000   0.155855
3154.000000   0.156370
3155.000000   0.156901
3156.000000   0.157447
3157.000000   0.158007
3158.000000   0.158584
3159.000000   0.159175
3160.000000   0.159780
3161.000000   0.160401
3162.000000   0.161034
3163.000000   0.161681
3164.000000   0.162339
3165.000000   0.163008
3166.000000   0.163687
3167.000000   0.164374
3168.000000   0.165068
3169.000000   0.165769
3170.000000   0.166474
3171.000000   0.167182
3172.000000   0.167892
3173.000000   0.168603
3174.000000   0.169312
3175.000000   0.170019
3176.000000   0.170721
3177.000000   0.171419
3178.000000   0.172109
3179.000000   0.172792
3180.000000   0.173465
3181.000000   0.174127
3182.000000   0.174778
3183.000000   0.175415
3184.000000   0.176038
3185.000000   0.176646
3186.000000   0.177238
3187.000000   0.177813
3188.000000   0.178371
3189.000000   0.178909
3190.000000   0.179428
3191.000000   0.179927
3192.000000   0.180406
3193.000000   0.180864
3194.000000   0.181301
3195.000000   0.181716
3196.000000   0.182110
3197.000000   0.182481
3198.000000   0.182831
3199.000000   0.183158
3200.000000   0.183464
3201.000000   0.183747
3202.000000   0.184009
3203.000000   0.184250
3204.000000   0.184470
3205.000000   0.184669
3206.000000   0.184848
3207.000000   0.185007
3208.000000   0.185147
3209.000000   0.185269
3210.000000   0.185373
3211.000000   0.185460
3212.000000   0.185530
3213.000000   0.185585
3214.000000   0.185625
3215.000000   0.185651
3216.000000   0.185664
3217.000000   0.185664
3218.000000   0.185653
3219.000000   0.185631
3220.000000   0.185599
3221.000000   0.185559
3222.000000   0.185511
3223.000000   0.185456
3224.000000   0.185395
3225.000000   0.185329
3226.000000   0.185259
3227.000000   0.185186
3228.000000   0.185110
3229.000000   0.185033
3230.000000   0.184956
3231.000000   0.184878
3232.000000   0.184803
3233.000000   0.184729
3234.000000   0.184657
3235.000000   0.184590
3236.000000   0.184527
3237.000000   0.184469
3238.000000   0.184417
3239.000000   0.184372
3240.000000   0.184334
3241.000000   0.184304
3242.000000   0.184282
3243.000000   0.184269
3244.000000   0.184266
3245.000000   0.184273
3246.000000   0.184291
3247.000000   0.184320
3248.000000   0.184360
3249.000000   0.184412
3250.000000   0.184477
3251.000000   0.184554
3252.000000   0.184643
3253.000000   0.184746
3254.000000   0.184863
3255.000000   0.184992
3256.000000   0.185136
3257.000000   0.185293
3258.000000   0.185464
3259.000000   0.185650
