#        x       ratio
#
3200.000000   0.063763
3201.000000   0.064313
3202.000000   0.064813
3203.000000   0.065271
3204.000000   0.065691
3205.000000   0.066080
3206.000000   0.066440
3207.000000   0.066778
3208.000000   0.067096
3209.000000   0.067397
3210.000000   0.067686
3211.000000   0.067963
3212.000000   0.068231
3213.000000   0.068493
3214.000000   0.068750
3215.000000   0.069004
3216.000000   0.069255
3217.000000   0.069506
3218.000000   0.069756
3219.000000   0.070008
3220.000000   0.070261
3221.000000   0.070516
3222.000000   0.070773
3223.000000   0.071034
3224.000000   0.071297
3225.000000   0.071565
3226.000000   0.071836
3227.000000   0.072111
3228.000000   0.072391
3229.000000   0.072674
3230.000000   0.072962
3231.000000   0.073254
3232.000000   0.073551
3233.000000   0.073852
3234.000000   0.074157
3235.000000   0.074467
3236.000000   0.074781
3237.000000   0.075099
3238.000000   0.075422
3239.000000   0.075750
3240.000000   0.076082
3241.000000   0.076418
3242.000000   0.076759
3243.000000   0.077105
3244.000000   0.077454
3245.000000   0.077809
3246.000000   0.078168
3247.000000   0.078532
3248.000000   0.078901
3249.000000   0.079274
3250.000000   0.079652
3251.000000   0.080035
3252.000000   0.080424
3253.000000   0.080817
3254.000000   0.081215
3255.000000   0.081619
3256.000000   0.082028
3257.000000   0.082442
3258.000000   0.082862
3259.000000   0.083288
3260.000000   0.083719
3261.000000   0.084155
3262.000000   0.084598
3263.000000   0.085046
3264.000000   0.085501
3265.000000   0.085961
3266.000000   0.086428
3267.000000   0.086900
3268.000000   0.087379
3269.000000   0.087864
3270.000000   0.088355
3271.000000   0.088853
3272.000000   0.089356
3273.000000   0.089867
3274.000000   0.090383
3275.000000   0.090906
3276.000000   0.091435
3277.000000   0.091970
3278.000000   0.092512
3279.000000   0.093060
3280.000000   0.093615
3281.000000   0.094175
3282.000000   0.094742
3283.000000   0.095314
3284.000000   0.095893
3285.000000   0.096478
3286.000000   0.097068
3287.000000   0.097665
3288.000000   0.098267
3289.000000   0.098875
3290.000000   0.099488
3291.000000   0.100107
3292.000000   0.100730
3293.000000   0.101360
3294.000000   0.101994
3295.000000   0.102633
3296.000000   0.103277
3297.000000   0.103925
3298.000000   0.104578
3299.000000   0.105235
3300.000000   0.105897
3301.000000   0.106562
3302.000000   0.107232
3303.000000   0.107905
3304.000000   0.108582
3305.000000   0.109262
3306.000000   0.109945
3307.000000   0.110631
3308.000000   0.111320
3309.000000   0.112012
3310.000000   0.112706
3311.000000   0.113402
3312.000000   0.114100
3313.000000   0.114800
3314.000000   0.115502
3315.000000   0.116205
3316.000000   0.116910
3317.000000   0.117616
3318.000000   0.118323
3319.000000   0.119030
3320.000000   0.119738
3321.000000   0.120447
3322.000000   0.121156
3323.000000   0.121865
3324.000000   0.122574
3325.000000   0.123283
3326.000000   0.123992
3327.000000   0.124701
3328.000000   0.125408
3329.000000   0.126115
3330.000000   0.126822
3331.000000   0.127527
3332.000000   0.128231
3333.000000   0.128935
3334.000000   0.129636
3335.000000   0.130337
3336.000000   0.131036
3337.000000   0.131734
3338.000000   0.132430
3339.000000   0.133124
3340.000000   0.133817
3341.000000   0.134508
3342.000000   0.135196
3343.000000   0.135883
3344.000000   0.136568
3345.000000   0.137251
3346.000000   0.137932
3347.000000   0.138611
3348.000000   0.139288
3349.000000   0.139963
3350.000000   0.140635
3351.000000   0.141305
3352.000000   0.141974
3353.000000   0.142640
3354.000000   0.143304
3355.000000   0.143966
3356.000000   0.144626
3357.000000   0.145284
3358.000000   0.145940
3359.000000   0.146594
3360.000000   0.147246
3361.000000   0.147896
3362.000000   0.148545
3363.000000   0.149192
3364.000000   0.149838
3365.000000   0.150482
3366.000000   0.151124
3367.000000   0.151766
3368.000000   0.152405
3369.000000   0.153044
3370.000000   0.153681
3371.000000   0.154318
3372.000000   0.154953
3373.000000   0.155588
3374.000000   0.156222
3375.000000   0.156855
3376.000000   0.157488
3377.000000   0.158119
3378.000000   0.158751
3379.000000   0.159382
3380.000000   0.160014
3381.000000   0.160645
3382.000000   0.161275
3383.000000   0.161906
3384.000000   0.162538
3385.000000   0.163169
3386.000000   0.163801
3387.000000   0.164433
3388.000000   0.165066
