# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: micrometer, datatype: float32}
# - {name: flux, unit: photon/(s arcsec^2 nm m^2), datatype: float32}
# schema: astropy-2.0
wavelength     flux
900.0000       1.316768    
900.0200       1.340989    
900.0400       1.363054    
900.0600       1.383014    
900.0800       1.400912    
900.1000       1.416698    
900.1199       1.429119    
900.1400       1.439997    
900.1600       1.450842    
900.1800       1.458209    
900.2000       1.460359    
900.2200       1.449958    
900.2400       1.385677    
900.2599       1.028496    
900.2800      0.9490411    
900.3000       1.128940    
900.3200       2.407507    
900.3400       9.471739    
900.3600       17.20886    
900.3799       14.93003    
900.4000       17.23794    
900.4199       12.70017    
900.4400       3.797072    
900.4600       1.420899    
900.4800       1.264732    
900.5000       1.261696    
900.5200       1.260963    
900.5400       1.259211    
900.5599       1.251483    
900.5800       1.211404    
900.6000       1.124206    
900.6200       1.081722    
900.6400       1.111587    
900.6600       1.192750    
900.6800       1.245464    
900.7000       1.258321    
900.7200       1.260872    
900.7400       1.261742    
900.7600       1.262210    
900.7800       1.262219    
900.8000       1.260739    
900.8199       1.259127    
900.8400       1.260894    
900.8599       1.262330    
900.8800       1.260946    
900.9000       1.253056    
900.9200       1.234784    
900.9400       1.218350    
900.9600       1.208198    
900.9800       1.193714    
900.9999       1.167093    
901.0200       1.191748    
901.0400       1.228993    
901.0600       1.252141    
901.0800       1.260283    
901.1000       1.260743    
901.1199       1.254735    
901.1400       1.238014    
901.1600       1.235909    
901.1800       1.252977    
901.2000       1.260963    
901.2200       1.262304    
901.2400       1.262307    
901.2599       1.261462    
901.2800       1.261068    
901.2999       1.261344    
901.3200       1.260908    
901.3400       1.259748    
901.3600       1.257918    
901.3800       1.249358    
901.4000       1.203619    
901.4200       1.096390    
901.4399       1.068226    
901.4600       1.173814    
901.4800       1.241834    
901.5000       1.256704    
901.5200       1.259455    
901.5400       1.260176    
901.5599       1.260002    
901.5800       1.257711    
901.6000       1.255469    
901.6200       1.258261    
901.6400       1.260475    
901.6600       1.260713    
901.6800       1.261082    
901.7000       1.261089    
901.7200       1.260815    
901.7399       1.260475    
901.7600       1.260011    
901.7800       1.259321    
901.8000       1.258132    
901.8200       1.255743    
901.8400       1.249735    
901.8600       1.231531    
901.8799       1.159395    
901.9000      0.9838747    
901.9200      0.8536192    
901.9400      0.9722632    
901.9600       1.164685    
901.9800       1.236295    
901.9999       1.251070    
902.0200       1.252970    
902.0400       1.246214    
902.0600       1.241463    
902.0800       1.250292    
902.1000       1.257801    
902.1200       1.260151    
902.1400       1.260776    
902.1600       1.260869    
902.1799       1.260863    
902.2000       1.260891    
902.2200       1.260818    
902.2400       1.260023    
902.2600       1.258297    
902.2800       1.258432    
902.3000       1.259953    
902.3199       1.260311    
902.3400       1.259726    
902.3600       1.259178    
902.3800       1.259220    
902.4000       1.258650    
902.4200       1.256601    
902.4399       1.253278    
902.4600       1.243301    
902.4799       1.188485    
902.5000       1.058582    
902.5200       1.045606    
902.5400       1.175200    
902.5600       1.240802    
902.5800       1.254242    
902.6000       1.256981    
902.6199       1.257796    
902.6400       1.258224    
902.6600       1.258274    
902.6800       1.257345    
902.7000       1.255235    
902.7200       1.254464    
902.7400       1.253650    
902.7599       1.247449    
902.7800       1.237522    
902.8000       1.199013    
902.8200       1.054754    
902.8400      0.9460337    
902.8600       1.085013    
902.8799       1.214312    
902.9000       1.247562    
902.9199       1.253863    
902.9400       1.255510    
902.9600       1.256820    
902.9800       1.258124    
903.0000       1.258777    
903.0200       1.259073    
903.0400       1.259253    
903.0599       1.259340    
903.0800       1.259103    
903.1000       1.258420    
903.1200       1.258317    
