# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: angstrom, datatype: float32}
# - {name: flux, unit: flm, datatype: float32}
# schema: astropy-2.0
wavelength flux
800.0 5.2877675e-14
802.5 5.4940424e-14
805.0 3.6574954e-14
807.5 3.0089666e-14
810.0 3.8527903e-14
812.5 3.9430637e-14
815.0 3.5150292e-14
817.5 4.8748105e-14
820.0 4.272621e-14
822.5 4.4684217e-14
825.0 4.3062288e-14
827.5 3.189301e-14
830.0 2.4621662e-14
832.5 1.843423e-14
835.0 3.973704e-14
837.5 5.2141566e-14
840.0 4.7316084e-14
842.5 5.497313e-14
845.0 5.674657e-14
847.5 6.111464e-14
850.0 4.92825e-14
852.5 5.759952e-14
855.0 7.47443e-14
857.5 6.545859e-14
860.0 5.8329365e-14
862.5 6.039528e-14
865.0 7.325136e-14
867.5 6.331061e-14
870.0 7.6054926e-14
872.5 8.166213e-14
875.0 8.6185155e-14
877.5 9.319073e-14
880.0 9.678081e-14
882.5 9.122112e-14
885.0 1.0106961e-13
887.5 9.1620023e-14
890.0 9.0286075e-14
892.5 8.858186e-14
895.0 1.0048098e-13
897.5 9.762543e-14
900.0 1.0632284e-13
902.5 1.2332175e-13
905.0 1.2409296e-13
907.5 1.25251e-13
910.0 1.3739862e-13
912.5 1.349888e-13
915.0 1.4821227e-13
917.5 1.5697427e-13
920.0 1.4727336e-13
922.5 1.5637425e-13
925.0 1.6237452e-13
927.5 1.5761084e-13
930.0 1.6238627e-13
932.5 1.8050206e-13
935.0 1.8032654e-13
937.5 1.5303461e-13
940.0 1.8991227e-13
942.5 1.9173797e-13
945.0 1.93805e-13
947.5 1.8650519e-13
950.0 2.0402789e-13
952.5 2.0098318e-13
955.0 1.9335229e-13
957.5 1.9076158e-13
960.0 1.7391627e-13
962.5 1.9204306e-13
965.0 1.7656373e-13
967.5 1.8721792e-13
970.0 1.8871874e-13
972.5 2.0332256e-13
975.0 2.1454442e-13
977.5 2.2422064e-13
980.0 2.1424498e-13
982.5 2.1524945e-13
985.0 2.1304914e-13
987.5 2.1625478e-13
990.0 2.2381432e-13
992.5 2.2114977e-13
995.0 2.183467e-13
997.5 2.140818e-13
1000.0 2.0613636e-13
1002.5 2.1077087e-13
1005.0 2.1873012e-13
1007.5 2.1796729e-13
1010.0 2.2672741e-13
1012.5 2.1108075e-13
1015.0 2.1775008e-13
1017.5 2.1963162e-13
1020.0 2.077423e-13
1022.5 2.2390084e-13
1025.0 2.2575962e-13
1027.5 2.6004676e-13
1030.0 2.6849546e-13
1032.5 2.83259e-13
1035.0 2.9129344e-13
1037.5 2.818524e-13
1040.0 2.6626374e-13
1042.5 2.5752366e-13
1045.0 2.3499337e-13
1047.5 2.2879197e-13
1050.0 2.2653036e-13
1052.5 2.0901987e-13
1055.0 2.0876667e-13
1057.5 2.1228466e-13
1060.0 2.262594e-13
1062.5 2.2552676e-13
1065.0 2.0858796e-13
1067.5 2.127733e-13
1070.0 2.0783676e-13
1072.5 2.0261612e-13
1075.0 2.083252e-13
1077.5 2.1069729e-13
1080.0 2.1433818e-13
1082.5 2.2248098e-13
1085.0 2.2362616e-13
1087.5 2.1825563e-13
1090.0 2.1744141e-13
1092.5 2.1504486e-13
1095.0 2.0577095e-13
1097.5 2.0454917e-13
1100.0 1.955234e-13
1102.5 2.0173441e-13
1105.0 1.9501615e-13
1107.5 2.0480715e-13
1110.0 2.0088788e-13
1112.5 2.0050136e-13
1115.0 2.0316458e-13
1117.5 2.1524281e-13
1120.0 2.1850017e-13
1122.5 2.1864802e-13
1125.0 2.1752165e-13
1127.5 2.1654987e-13
1130.0 2.159397e-13
1132.5 2.1673399e-13
1135.0 2.0697822e-13
1137.5 2.1239283e-13
1140.0 2.0745783e-13
1142.5 2.06507e-13
1145.0 2.0305217e-13
1147.5 1.904832e-13
1150.0 1.8877676e-13
1152.5 1.9598292e-13
1155.0 2.0076044e-13
1157.5 2.1246842e-13
1160.0 2.0838011e-13
1162.5 2.088547e-13
1165.0 2.2087944e-13
1167.5 2.2245853e-13
1170.0 2.2085811e-13
1172.5 2.3312252e-13
1175.0 2.315669e-13
1177.5 2.396164e-13
1180.0 2.3878339e-13
1182.5 2.4872232e-13
1185.0 2.49635e-13
1187.5 2.6158286e-13
1190.0 2.7167377e-13
1192.5 2.8819045e-13
1195.0 2.9365236e-13
1197.5 3.1346987e-13
1200.0 3.2709233e-13
1202.5 3.543137e-13
1205.0 3.8364713e-13
1207.5 4.210562e-13
1210.0 4.724455e-13
1212.5 5.1183537e-13
1215.0 5.4761317e-13
1217.5 5.8536986e-13
1220.0 5.6778237e-13
1222.5 5.355169e-13
1225.0 4.618665e-13
1227.5 4.6010206e-13
1230.0 4.4207254e-13
1232.5 4.5207205e-13
1235.0 4.518676e-13
1237.5 4.5447579e-13
1240.0 4.5077643e-13
1242.5 4.3807568e-13
1245.0 4.0659617e-13
1247.5 3.813415e-13
1250.0 3.5582396e-13
1252.5 3.3541342e-13
1255.0 3.1816135e-13
1257.5 3.0655093e-13
1260.0 3.0278175e-13
1262.5 2.9852607e-13
1265.0 2.9221726e-13
1267.5 2.8585784e-13
1270.0 2.773989e-13
1272.5 2.717197e-13
1275.0 2.5765718e-13
1277.5 2.5082906e-13
1280.0 2.484112e-13
1282.5 2.4325816e-13
1285.0 2.381796e-13
1287.5 2.372207e-13
1290.0 2.3926155e-13
1292.5 2.4047938e-13
1295.0 2.4588217e-13
1297.5 2.4509892e-13
1300.0 2.4678122e-13
1302.5 2.4932218e-13
1305.0 2.5778338e-13
1307.5 2.5579454e-13
1310.0 2.538127e-13
1312.5 2.5028818e-13
1315.0 2.468858e-13
1317.5 2.3735565e-13
1320.0 2.3495466e-13
1322.5 2.304843e-13
1325.0 2.2874777e-13
1327.5 2.2979096e-13
1330.0 2.3577128e-13
1332.5 2.3830303e-13
1335.0 2.4100164e-13
1337.5 2.42422e-13
