# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: angstrom, datatype: float32}
# - {name: flux, unit: erg / (s cm^2 angstrom), datatype: float32}
# schema: astropy-2.0
wavelength flux
1132.0 4.991913e-13
1134.0 3.775147e-13
1136.0 3.0653344e-13
1138.0 2.7669078e-13
1140.0 2.3857476e-13
1142.0 1.32998e-13
1144.0 3.2399346e-14
1146.0 1.054442e-13
1148.0 1.9499258e-13
1150.0 1.7295426e-13
1152.0 1.3829157e-13
1154.0 1.4960361e-13
1156.0 1.1656659e-13
1158.0 1.3464242e-13
1160.0 1.6345203e-13
1162.0 2.3967801e-13
1164.0 2.294017e-13
1166.0 2.2601063e-13
1168.0 2.3752043e-13
1170.0 2.4900814e-13
1172.0 2.6934642e-13
1174.0 3.2403897e-13
1176.0 3.7442778e-13
1178.0 3.9211752e-13
1180.0 4.5283208e-13
1182.0 6.8043634e-13
1184.0 1.1679643e-12
1186.0 1.911083e-12
1188.0 2.456199e-12
1190.0 2.472075e-12
1192.0 2.2881712e-12
1194.0 1.88936e-12
1196.0 1.2850899e-12
1198.0 8.4088395e-13
1200.0 6.927981e-13
1202.0 7.1114826e-13
1204.0 8.239145e-13
1206.0 8.8777564e-13
1208.0 1.086734e-12
1210.0 1.5925678e-12
1212.0 1.7867382e-12
1214.0 1.5183259e-12
1216.0 1.0997698e-12
1218.0 8.0919716e-13
1220.0 6.8691445e-13
1222.0 5.8623045e-13
1224.0 4.849528e-13
1226.0 3.9488608e-13
1228.0 3.5222153e-13
1230.0 3.1244725e-13
1232.0 2.642304e-13
1234.0 3.0354996e-13
1236.0 3.3461374e-13
1238.0 3.191725e-13
1240.0 3.2874997e-13
1242.0 3.1035347e-13
1244.0 2.582644e-13
1246.0 2.341923e-13
1248.0 2.281909e-13
1250.0 2.2665771e-13
1252.0 2.2700041e-13
1254.0 2.4433957e-13
1256.0 2.2992418e-13
1258.0 1.8891734e-13
1260.0 1.8152001e-13
1262.0 2.0002775e-13
1264.0 1.8166396e-13
1266.0 1.786797e-13
1268.0 1.7389718e-13
1270.0 2.1723525e-13
1272.0 1.7075343e-13
1274.0 1.4118726e-13
1276.0 1.3318914e-13
1278.0 1.1960841e-13
1280.0 1.2155454e-13
1282.0 1.4936365e-13
1284.0 1.4597324e-13
1286.0 1.5067343e-13
1288.0 1.6277222e-13
1290.0 1.651296e-13
1292.0 1.6249046e-13
1294.0 1.4661963e-13
1296.0 1.6760061e-13
1298.0 1.7464265e-13
1300.0 1.6841187e-13
1302.0 1.4682389e-13
1304.0 1.4965977e-13
1306.0 1.5834662e-13
1308.0 1.4854754e-13
1310.0 1.4495206e-13
1312.0 1.3205076e-13
1314.0 1.3272493e-13
1316.0 1.3580135e-13
1318.0 1.3426036e-13
1320.0 1.2932172e-13
1322.0 1.3125574e-13
1324.0 1.448197e-13
1326.0 1.6468562e-13
1328.0 1.4118323e-13
1330.0 1.2125437e-13
1332.0 1.3126525e-13
1334.0 1.521804e-13
1336.0 1.5013014e-13
1338.0 1.4126574e-13
1340.0 1.3939403e-13
1342.0 1.2340111e-13
1344.0 1.2874284e-13
1346.0 1.07172565e-13
1348.0 1.1149013e-13
1350.0 1.2550264e-13
1352.0 1.10028184e-13
1354.0 1.0253247e-13
1356.0 1.144731e-13
1358.0 1.04332646e-13
1360.0 1.4299038e-13
1362.0 1.2570785e-13
1364.0 1.2406055e-13
1366.0 1.386388e-13
1368.0 1.3447663e-13
1370.0 1.4998418e-13
1372.0 1.4098805e-13
1374.0 1.1019139e-13
1376.0 1.5191198e-13
1378.0 1.4557153e-13
1380.0 1.2925757e-13
1382.0 1.446071e-13
1384.0 1.5932077e-13
1386.0 1.4972551e-13
1388.0 1.6512199e-13
1390.0 1.4224189e-13
1392.0 1.6619984e-13
1394.0 1.8223009e-13
1396.0 1.7719104e-13
1398.0 1.5352806e-13
1400.0 1.7263514e-13
1402.0 1.839323e-13
1404.0 1.615966e-13
1406.0 1.4298475e-13
1408.0 1.7532892e-13
1410.0 2.0715555e-13
1412.0 1.5963421e-13
1414.0 1.2499519e-13
1416.0 1.4087014e-13
1418.0 1.2663099e-13
1420.0 1.2744837e-13
1422.0 1.0210826e-13
1424.0 8.649723e-14
1426.0 9.6975264e-14
1428.0 9.104841e-14
1430.0 1.1454954e-13
1432.0 9.9971904e-14
1434.0 1.2037225e-13
1436.0 1.3324765e-13
1438.0 1.1695222e-13
1440.0 1.3605714e-13
1442.0 1.4390165e-13
1444.0 1.2936291e-13
1446.0 1.1498704e-13
1448.0 1.0350499e-13
1450.0 1.0022997e-13
1452.0 1.2375498e-13
1454.0 1.2581279e-13
1456.0 1.3109156e-13
1458.0 1.05128146e-13
1460.0 1.351169e-13
1462.0 1.3712643e-13
1464.0 1.309267e-13
1466.0 1.1446832e-13
1468.0 9.586874e-14
1470.0 9.108402e-14
1472.0 8.991925e-14
1474.0 1.1954275e-13
1476.0 1.2154279e-13
1478.0 1.2260459e-13
1480.0 1.3409125e-13
1482.0 1.379364e-13
1484.0 1.262836e-13
1486.0 1.1423604e-13
1488.0 1.2754384e-13
1490.0 1.1219401e-13
1492.0 1.2823976e-13
1494.0 1.4429056e-13
1496.0 1.4893329e-13
1498.0 1.8272898e-13
1500.0 1.9632061e-13
1502.0 2.0462869e-13
1504.0 2.6050172e-13
1506.0 2.661404e-13
1508.0 2.4482402e-13
1510.0 2.6986505e-13
1512.0 2.8761894e-13
1514.0 3.2667743e-13
1516.0 3.5256742e-13
1518.0 3.7917884e-13
1520.0 3.941315e-13
1522.0 3.9544575e-13
1524.0 4.1743537e-13
1526.0 4.6210995e-13
1528.0 4.891474e-13
1530.0 4.960519e-13
1532.0 5.370501e-13
1534.0 5.561239e-13
1536.0 5.440354e-13
1538.0 6.0052234e-13
1540.0 6.540815e-13
1542.0 7.874138e-13
1544.0 9.38751e-13
1546.0 1.0193173e-12
1548.0 9.083175e-13
1550.0 7.152453e-13
1552.0 6.175408e-13
1554.0 5.423214e-13
1556.0 4.7701665e-13
1558.0 4.455429e-13
1560.0 4.2032637e-13
1562.0 3.7558807e-13
1564.0 3.148434e-13
1566.0 3.0137015e-13
1568.0 2.799993e-13
1570.0 2.7086425e-13
1572.0 2.810132e-13
1574.0 2.849165e-13
1576.0 2.575706e-13
1578.0 2.2880555e-13
1580.0 2.525723e-13
1582.0 2.437105e-13
1584.0 2.1092923e-13
1586.0 1.9647157e-13
1588.0 1.8042e-13
1590.0 1.6244478e-13
1592.0 1.8676503e-13
1594.0 2.1583255e-13
1596.0 1.8806179e-13
1598.0 1.6645992e-13
1600.0 1.6270896e-13
1602.0 1.5724683e-13
1604.0 1.5672386e-13
1606.0 1.4827737e-13
1608.0 1.4076068e-13
1610.0 1.3260023e-13
1612.0 1.3450027e-13
1614.0 1.3754834e-13
1616.0 1.4010046e-13
1618.0 1.4009708e-13
1620.0 1.33176e-13
1622.0 1.4068004e-13
1624.0 1.7071144e-13
1626.0 1.6895267e-13
1628.0 1.7635372e-13
1630.0 1.90354e-13
1632.0 1.9580869e-13
1634.0 1.9237987e-13
1636.0 2.0252315e-13
1638.0 1.8741371e-13
1640.0 1.4878585e-13
1642.0 1.4621836e-13
1644.0 1.7441003e-13
1646.0 1.6784886e-13
1648.0 1.7564915e-13
1650.0 1.6807642e-13
1652.0 1.3384206e-13
1654.0 1.3943812e-13
1656.0 1.4570871e-13
1658.0 1.5975307e-13
1660.0 1.7465378e-13
1662.0 1.7035044e-13
1664.0 1.531294e-13
1666.0 1.3644371e-13
1668.0 1.1927425e-13
1670.0 1.0289832e-13
1672.0 1.1948922e-13
1674.0 1.1618786e-13
1676.0 1.0299643e-13
1678.0 8.712688e-14
1680.0 8.8534215e-14
1682.0 9.4260544e-14
1684.0 1.1439921e-13
1686.0 1.0352202e-13
1688.0 9.141684e-14
1690.0 1.10620504e-13
1692.0 1.2556328e-13
1694.0 1.1892196e-13
1696.0 1.2060508e-13
1698.0 1.2001726e-13
1700.0 1.217311e-13
1702.0 1.170429e-13
1704.0 1.1887392e-13
1706.0 1.2748335e-13
1708.0 1.2141208e-13
1710.0 1.3603444e-13
1712.0 1.508724e-13
1714.0 1.3269694e-13
1716.0 1.2155453e-13
1718.0 1.1855485e-13
1720.0 1.1717019e-13
1722.0 1.1005645e-13
1724.0 1.043716e-13
1726.0 1.02885216e-13
1728.0 1.0921766e-13
1730.0 1.07385306e-13
1732.0 1.0000637e-13
1734.0 1.0204078e-13
1736.0 1.04646984e-13
1738.0 1.0399892e-13
1740.0 1.0053835e-13
1742.0 1.052508e-13
1744.0 1.02231666e-13
1746.0 1.051644e-13
1748.0 1.1102692e-13
1750.0 1.165497e-13
1752.0 1.1150776e-13
1754.0 1.03372335e-13
1756.0 9.905367e-14
1758.0 9.474406e-14
1760.0 9.261422e-14
1762.0 9.625055e-14
1764.0 9.2534934e-14
1766.0 9.2586976e-14
1768.0 9.834107e-14
1770.0 9.6601404e-14
1772.0 1.0278134e-13
1774.0 1.09170675e-13
1776.0 1.01385026e-13
1778.0 1.06029545e-13
1780.0 1.0128422e-13
1782.0 1.0187533e-13
1784.0 1.02164784e-13
1786.0 1.0052135e-13
1788.0 1.0399731e-13
1790.0 1.07080835e-13
1792.0 1.1355701e-13
1794.0 1.0992409e-13
1796.0 1.0897619e-13
1798.0 1.0871398e-13
1800.0 1.0712645e-13
1802.0 1.0976827e-13
1804.0 1.1237548e-13
1806.0 1.2289785e-13
1808.0 1.1629583e-13
1810.0 1.1586988e-13
1812.0 1.1842709e-13
1814.0 1.1173768e-13
1816.0 9.831107e-14
1818.0 9.8219996e-14
1820.0 9.51941e-14
1822.0 9.743761e-14
1824.0 1.03288824e-13
1826.0 1.0848124e-13
1828.0 1.1909183e-13
1830.0 1.1821169e-13
1832.0 1.1560329e-13
1834.0 1.1722604e-13
1836.0 1.1140742e-13
1838.0 1.09219335e-13
1840.0 1.0956671e-13
1842.0 1.1371795e-13
1844.0 1.2401697e-13
1846.0 1.3471308e-13
1848.0 1.3800823e-13
1850.0 1.2890012e-13
1852.0 1.1248634e-13
1854.0 1.06027444e-13
1856.0 1.13284775e-13
1858.0 1.1734064e-13
1860.0 1.171244e-13
1862.0 1.1451659e-13
1864.0 1.1460037e-13
1866.0 1.1541762e-13
1868.0 1.0980491e-13
1870.0 1.11743825e-13
1872.0 1.205119e-13
1874.0 1.2603151e-13
1876.0 1.3162691e-13
1878.0 1.395527e-13
1880.0 1.3617072e-13
1882.0 1.3385617e-13
1884.0 1.4115162e-13
1886.0 1.4744e-13
1888.0 1.5881883e-13
1890.0 1.7491862e-13
1892.0 1.8708396e-13
1894.0 1.892836e-13
1896.0 2.0072518e-13
1898.0 2.1292613e-13
1900.0 2.311955e-13
1902.0 2.5347294e-13
1904.0 2.6839409e-13
1906.0 2.5586307e-13
1908.0 2.3225486e-13
1910.0 2.0655958e-13
1912.0 1.7442649e-13
1914.0 1.4709947e-13
1916.0 1.3464863e-13
1918.0 1.2969882e-13
1920.0 1.2545938e-13
1922.0 1.2121016e-13
1924.0 1.144276e-13
1926.0 9.4906904e-14
1928.0 1.08011066e-13
1930.0 5.245244e-14
1932.0 5.741036e-14
1934.0 7.961838e-14
1936.0 9.9285814e-14
1938.0 1.2824962e-13
1940.0 1.1609809e-13
1942.0 1.0594831e-13
