# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: angstrom, datatype: float32}
# - {name: flux, unit: flam, datatype: float32}
# schema: astropy-2.0
wavelength flux
1235.0 1.6444459e-14
1240.0 1.8643436e-14
1245.0 1.8239865e-14
1250.0 1.7166664e-14
1255.0 1.1808379e-14
1260.0 1.1937958e-14
1265.0 1.4579258e-14
1270.0 1.813268e-14
1275.0 1.7573365e-14
1280.0 1.6889073e-14
1285.0 1.3755016e-14
1290.0 1.2403575e-14
1295.0 1.1737646e-14
1300.0 1.1917685e-14
1305.0 1.5090488e-14
1310.0 1.529943e-14
1315.0 1.6289558e-14
1320.0 1.5933616e-14
1325.0 1.35443075e-14
1330.0 1.2265628e-14
1335.0 1.1494136e-14
1340.0 1.2556107e-14
1345.0 1.3919002e-14
1350.0 1.566093e-14
1355.0 1.503601e-14
1360.0 1.4768111e-14
1365.0 1.2673115e-14
1370.0 1.0264061e-14
1375.0 1.0712551e-14
1380.0 8.951479e-15
1385.0 9.907348e-15
1390.0 8.170283e-15
1395.0 9.653398e-15
1400.0 1.1740019e-14
1405.0 1.4282126e-14
1410.0 1.1326736e-14
1415.0 1.2396548e-14
1420.0 1.20339224e-14
1425.0 9.071295e-15
1430.0 1.0857227e-14
1435.0 9.776982e-15
1440.0 1.1471744e-14
1445.0 1.6455912e-14
1450.0 1.5033005e-14
1455.0 1.3421321e-14
1460.0 1.4303498e-14
1465.0 1.8139446e-14
1470.0 1.6112994e-14
1475.0 1.7340718e-14
1480.0 1.6231177e-14
1485.0 1.675226e-14
1490.0 1.6105386e-14
1495.0 1.6473558e-14
1500.0 1.508731e-14
1505.0 1.7763008e-14
1510.0 1.425859e-14
1515.0 1.4650246e-14
1520.0 1.035923e-14
1525.0 1.1665597e-14
1530.0 8.434156e-15
1535.0 9.798002e-15
1540.0 1.1062512e-14
1545.0 2.1129823e-14
1550.0 3.053886e-14
1555.0 2.3399133e-14
1560.0 2.2799405e-14
1565.0 1.3618866e-14
1570.0 1.4132964e-14
1575.0 1.251218e-14
1580.0 1.2285602e-14
1585.0 1.2503171e-14
1590.0 9.7904955e-15
1595.0 8.691306e-15
1600.0 1.0941595e-14
1605.0 1.0338867e-14
1610.0 1.01713495e-14
1615.0 9.2036415e-15
1620.0 8.199959e-15
1625.0 1.0435602e-14
1630.0 1.1122751e-14
1635.0 1.8403532e-14
1640.0 2.6509634e-14
1645.0 1.8351877e-14
1650.0 2.0001457e-14
1655.0 1.4366202e-14
1660.0 1.2189293e-14
1665.0 1.1809519e-14
1670.0 1.1015535e-14
1675.0 1.2001171e-14
1680.0 1.44609e-14
1685.0 1.461917e-14
1690.0 1.3835961e-14
1695.0 1.3554662e-14
1700.0 1.2162048e-14
1705.0 1.1551016e-14
1710.0 1.3985608e-14
1715.0 1.3435298e-14
1720.0 1.3706142e-14
1725.0 1.4194237e-14
1730.0 1.5145764e-14
1735.0 1.6444425e-14
1740.0 1.604006e-14
1745.0 1.6221951e-14
1750.0 1.852517e-14
1755.0 1.8170585e-14
1760.0 1.5458929e-14
1765.0 1.465501e-14
1770.0 1.3043742e-14
1775.0 1.204082e-14
1780.0 1.2073836e-14
1785.0 1.1478673e-14
1790.0 1.3126641e-14
1795.0 1.3603773e-14
1800.0 1.4481558e-14
1805.0 1.37159274e-14
1810.0 1.2413902e-14
1815.0 1.36853e-14
1820.0 1.459351e-14
1825.0 1.3297493e-14
1830.0 1.2679934e-14
1835.0 1.3791884e-14
1840.0 1.2427212e-14
1845.0 1.1472022e-14
1850.0 1.0996659e-14
1855.0 1.2506272e-14
1860.0 1.3700364e-14
1865.0 1.399919e-14
1870.0 1.3818533e-14
1875.0 1.449702e-14
1880.0 1.31591955e-14
1885.0 1.3430105e-14
1890.0 1.2311368e-14
1895.0 1.2512289e-14
1900.0 1.3862633e-14
1905.0 1.875109e-14
1910.0 1.7841307e-14
1915.0 1.423888e-14
1920.0 1.3995042e-14
1925.0 1.2449418e-14
1930.0 1.29634174e-14
1935.0 1.4532622e-14
1940.0 1.39052545e-14
1945.0 1.3162779e-14
1950.0 1.1144511e-14
1955.0 1.328611e-14
1960.0 1.39128905e-14
1965.0 9.868199e-15
1970.0 6.1357216e-15
1975.0 1.1665801e-14
1980.0 1.4441226e-14
1985.0 7.7311086e-15
1990.0 6.8747273e-15
1995.0 8.204462e-15
2000.0 7.529981e-15
2005.0 4.4233276e-15
2010.0 7.541449e-15
2015.0 1.3570685e-14
2020.0 1.1275616e-14
2025.0 1.5177728e-14
2030.0 1.0793141e-14
2035.0 1.5232719e-14
2040.0 1.0490307e-14
2045.0 1.13201235e-14
2050.0 8.132194e-15
2055.0 1.0419756e-14
2060.0 1.0100482e-14
2065.0 9.886636e-15
2070.0 1.1741462e-14
2075.0 1.028073e-14
2080.0 1.0910308e-14
2085.0 1.6114973e-14
2090.0 1.0912345e-14
2095.0 5.9959074e-15
2100.0 1.1759989e-14
2105.0 1.2004571e-14
2110.0 9.264352e-15
2115.0 1.38722855e-14
2120.0 9.302309e-15
2125.0 1.467317e-14
2130.0 8.286938e-15
2135.0 5.2788576e-15
2140.0 8.628211e-15
2145.0 1.5159073e-14
2150.0 1.520742e-14
2155.0 9.880927e-15
2160.0 1.2275113e-14
2165.0 1.0703006e-14
2170.0 1.0773699e-14
2175.0 1.4224473e-14
2180.0 1.2428222e-14
2185.0 9.263598e-15
2190.0 1.1225144e-14
2195.0 1.0499756e-14
2200.0 7.632613e-15
2205.0 1.2447313e-14
2210.0 1.1268685e-14
2215.0 1.05553765e-14
2220.0 9.9459735e-15
2225.0 1.1549849e-14
2230.0 1.2939244e-14
2235.0 6.6778765e-15
2240.0 9.943266e-15
2245.0 1.5150988e-14
2250.0 1.5470306e-14
2255.0 1.5375105e-14
2260.0 1.2182576e-14
2265.0 1.084217e-14
2270.0 1.4587583e-14
2275.0 1.1400199e-14
2280.0 9.462721e-15
2285.0 7.0951672e-15
2290.0 9.9570095e-15
2295.0 1.0054673e-14
2300.0 1.179366e-14
2305.0 1.5072572e-14
2310.0 8.1575736e-15
2315.0 1.0983434e-14
2320.0 9.4572796e-15
2325.0 1.2682968e-14
2330.0 1.5076478e-14
2335.0 1.2984302e-14
2340.0 1.2801214e-14
2345.0 6.5070774e-15
2350.0 3.0401694e-15
2355.0 7.178085e-15
2360.0 1.1735791e-14
2365.0 9.7816635e-15
2370.0 1.0401468e-14
2375.0 1.12411276e-14
2380.0 9.631905e-15
2385.0 9.6625165e-15
2390.0 1.0649693e-14
2395.0 1.1394217e-14
2400.0 9.806913e-15
2405.0 1.0979575e-14
2410.0 1.1275418e-14
2415.0 1.244335e-14
2420.0 1.6105849e-14
2425.0 2.0210687e-14
2430.0 1.9526295e-14
2435.0 1.5102191e-14
2440.0 1.441835e-14
2445.0 1.727584e-14
2450.0 1.6559623e-14
2455.0 1.3206903e-14
2460.0 1.15658385e-14
2465.0 1.16371705e-14
2470.0 1.3672444e-14
2475.0 1.3422323e-14
2480.0 1.3781047e-14
2485.0 1.23109615e-14
2490.0 1.2704601e-14
2495.0 1.349704e-14
2500.0 1.25383915e-14
2505.0 1.3686955e-14
2510.0 1.21809445e-14
2515.0 1.2788936e-14
2520.0 1.3053171e-14
2525.0 1.1741205e-14
2530.0 1.15039085e-14
2535.0 1.3426597e-14
2540.0 1.3067826e-14
2545.0 1.1620623e-14
2550.0 1.04480066e-14
2555.0 1.0402153e-14
2560.0 1.2787533e-14
2565.0 1.0501924e-14
2570.0 9.8259905e-15
2575.0 1.1369149e-14
2580.0 1.14876e-14
2585.0 1.2822399e-14
2590.0 1.10133324e-14
2595.0 1.1150899e-14
2600.0 1.1549646e-14
2605.0 1.1266409e-14
2610.0 1.2051878e-14
2615.0 1.2954086e-14
2620.0 1.3219001e-14
2625.0 1.343217e-14
2630.0 1.21820685e-14
2635.0 1.2427295e-14
2640.0 1.3852561e-14
2645.0 1.4664153e-14
2650.0 1.4526591e-14
2655.0 1.3171222e-14
2660.0 1.22073465e-14
2665.0 1.1061492e-14
2670.0 1.3535743e-14
2675.0 1.4299132e-14
2680.0 1.4679198e-14
2685.0 1.3487204e-14
2690.0 1.2355078e-14
2695.0 1.3285555e-14
2700.0 1.26786534e-14
2705.0 1.310032e-14
2710.0 1.3099486e-14
2715.0 1.2645899e-14
2720.0 1.1786593e-14
2725.0 1.2597202e-14
