# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: Angstrom, datatype: float64}
# - {name: flux, unit: erg / (Angstrom cm2 s), datatype: float64}
# schema: astropy-2.0
wavelength flux
900.452 1.2757340235248102e-17
901.354 1.7265204912782412e-17
902.258 1.8341224614648542e-17
903.163 1.878956477845841e-17
904.068 1.922160286675608e-17
904.974 1.9751460025571822e-17
905.882 2.0289469876504887e-17
906.79 2.080302330544721e-17
907.699 2.1332882118624177e-17
908.609 2.1870890315196017e-17
909.52 2.241705120388518e-17
910.431 2.298766686020386e-17
911.344 2.359904101402548e-17
912.258 2.443050973087398e-17
913.172 2.6729277740383346e-17
914.088 4.8559409558076425e-17
915.004 3.746500576390859e-16
915.921 2.4234870464872205e-15
916.84 7.054442326923397e-15
917.759 1.186880946307681e-14
918.679 1.5830513847491998e-14
919.6 1.9979706433683082e-14
920.522 2.2897999211253687e-14
921.445 2.702273626219165e-14
922.368 2.9892117969256005e-14
923.293 3.2231643298363116e-14
924.219 4.7385570944510896e-14
925.145 4.808661268110824e-14
926.073 3.726936836402628e-14
927.001 5.2056469757640743e-14
927.93 7.731029629410441e-14
928.86 8.012261508557814e-14
929.792 5.814575573413404e-14
930.724 4.1157706989715034e-14
931.657 6.208300881846082e-14
932.591 9.676014465576435e-14
933.526 1.1860658126212204e-13
934.462 1.2520942670266738e-13
935.398 1.165686742011368e-13
936.336 8.950517193725968e-14
937.275 5.51296442036827e-14
938.214 5.484433640199314e-14
939.155 9.488526772020306e-14
940.097 1.3246439264490842e-13
941.039 1.5357718352246308e-13
941.982 1.664568006001788e-13
942.927 1.7354874319325947e-13
943.872 1.7583120560677595e-13
944.818 1.6670134240018284e-13
945.765 1.6018002896300843e-13
946.714 1.6360372258328315e-13
947.663 1.4811556928867597e-13
948.613 1.0344450177088987e-13
949.564 6.474859439841579e-14
950.516 9.056489146943777e-14
951.468 1.5219139696317358e-13
952.422 1.9270513190814548e-13
953.377 2.1438852483655207e-13
954.333 2.3810985193099826e-13
955.29 2.624832859746129e-13
956.247 2.840036691063863e-13
957.206 3.003069798043767e-13
958.166 3.054425202347888e-13
959.126 3.0739890884493026e-13
960.088 3.06257677638172e-13
961.05 3.1261598127871326e-13
962.014 3.2044156282433345e-13
962.978 3.1815910041081696e-13
963.943 3.0210033151283067e-13
964.91 3.0136667900776404e-13
965.877 3.2908232887839117e-13
966.845 3.484017273899104e-13
967.815 3.4709748638651894e-13
968.785 3.3046810188515347e-13
969.756 2.9345959256382725e-13
970.728 2.2580085045666168e-13
971.701 1.3336108205166258e-13
972.675 9.333645103548964e-14
973.651 1.615658019697708e-13
974.627 2.644397016898087e-13
975.604 3.408207147493486e-13
976.582 3.879372680298116e-13
977.561 4.1141403977172636e-13
978.541 4.2641308236127107e-13
979.522 4.412490880491282e-13
980.504 4.5029743280487755e-13
981.487 4.555144781336062e-13
982.471 4.65133465597789e-13
983.456 4.74181783248484e-13
984.442 4.700244100180884e-13
985.428 4.726329462349799e-13
986.416 4.871429323295706e-13
987.405 4.723068724316049e-13
988.395 4.3774388953053694e-13
989.386 4.0750123544638917e-13
990.378 4.0301784262272716e-13
991.371 4.502974328048775e-13
992.365 4.878765577295829e-13
993.359 4.995334115971695e-13
994.355 4.758120980552505e-13
995.352 4.806215646822876e-13
996.35 5.082557096545982e-13
997.349 5.199940955255555e-13
998.349 5.30672727983017e-13
999.349 5.424111138539744e-13
1000.351 5.587144245519648e-13
1001.354 5.768926460668344e-13
1002.358 5.905874205479333e-13
1003.363 6.020812646188867e-13
1004.369 6.067276672391819e-13
1005.376 6.068091992425528e-13
1006.383 6.062385836391737e-13
1007.392 6.109665724729485e-13
1008.402 6.194442745202645e-13
1009.413 6.253949723540597e-13
1010.425 6.386821952385213e-13
1011.438 6.507466549128538e-13
1012.452 6.558821953432658e-13
1013.467 6.670499656108442e-13
1014.483 6.750385840581518e-13
1015.5 6.859617583156175e-13
1016.518 7.058518266406244e-13
1017.537 7.121285982777947e-13
1018.557 7.043029896271202e-13
1019.578 6.919939881527837e-13
1020.601 6.715333584345062e-13
1021.624 6.41779815055421e-13
1022.648 5.713494998296764e-13
1023.673 4.3684720012378275e-13
1024.699 2.574292775475717e-13
1025.727 1.5716391404442529e-13
1026.755 2.602008235610964e-13
1027.784 4.490746695947484e-13
1028.815 6.098253412661903e-13
1029.846 7.21421457728494e-13
1030.878 7.829664651001766e-13
1031.912 8.282081617738689e-13
1032.946 8.697816230272826e-13
1033.982 8.942365619692139e-13
1035.018 8.926062471624473e-13
1036.056 8.445114724718594e-13
1037.095 8.420660002617097e-13
1038.134 9.260280259618114e-13
1039.175 9.806440598794652e-13
1040.217 1.0026535808213555e-12
1041.26 1.0197720489227291e-12
1042.303 1.0238478901497539e-12
1043.348 1.0222175753429874e-12
1044.394 1.0385208318308692e-12
1045.441 1.061345455966034e-12
1046.489 1.0817246621011578e-12
1047.539 1.0866156065214572e-12
1048.589 1.0939520773620148e-12
1049.64 1.129004225178254e-12
1050.692 1.154274375733677e-12
1051.745 1.1624260581877266e-12
1052.8 1.1746534734485836e-12
1053.855 1.1950326795837074e-12
1054.912 1.2113359360715892e-12
1055.969 1.2366060866270123e-12
1057.028 1.2659520784094602e-12
1058.088 1.2838856497041087e-12
1059.148 1.2806250200905753e-12
1060.21 1.2863311761243668e-12
1061.273 1.3156771679068149e-12
1062.337 1.3107861150662983e-12
1063.402 1.301819329418974e-12
1064.468 1.340132106848746e-12
1065.535 1.3499141041095617e-12
1066.603 1.3352411624284468e-12
1067.673 1.333610739201463e-12
1068.743 1.3613264161771443e-12
1069.814 1.4240941325488476e-12
1070.887 1.4656675395921526e-12
1071.96 1.4836012193070183e-12
1073.035 1.4909376901475757e-12
1074.111 1.5162078407029989e-12
1075.188 1.5463689356787214e-12
1076.265 1.5773452422679357e-12
1077.344 1.6197338609247325e-12
1078.424 1.6523404823207133e-12
1079.506 1.6825015772964358e-12
1080.588 1.7085869394653508e-12
1081.671 1.7167386219194003e-12
1082.755 1.7159234103059084e-12
1083.841 1.6825015772964356e-12
1084.927 1.6694589504220871e-12
1086.015 1.7411935608613318e-12
1087.104 1.8341224806289746e-12
1088.194 1.8708049432519802e-12
1089.285 1.8903687209331776e-12
1090.377 1.896074876966969e-12
1091.47 1.913193561908777e-12
1092.564 1.9621034397926396e-12
1093.659 2.0036767384157272e-12
1094.756 2.0012314288359034e-12
1095.853 1.913193561908777e-12
1096.952 1.823525271754667e-12
1098.051 1.880586832092579e-12
1099.152 1.976776381473755e-12
1100.254 2.1063877638644035e-12
1101.357 2.304472801820112e-12
1102.461 2.500927850229706e-12
1103.566 2.683524843311025e-12
1104.673 2.8261787441558055e-12
1105.78 3.0267095253722065e-12
1106.889 3.4122828260901854e-12
1107.998 4.4581400203413946e-12
1109.109 7.740811464040931e-12
1110.221 1.524359458104918e-11
1111.334 2.388434935940431e-11
1112.448 3.382936986096041e-11
1113.563 3.8565480670049723e-11
1114.68 4.7401874092578566e-11
1115.797 8.396204564942166e-11
1116.916 8.469569490188178e-11
1118.035 8.192413414320754e-11
1119.156 1.1665018950779427e-10
1120.278 1.1355255624678762e-10
1121.401 7.382138650369185e-11
1122.526 7.16530515476599e-11
1123.651 1.317307513071242e-10
1124.777 1.6238096978149485e-10
1125.905 1.659676979182123e-10
1127.034 1.3776296770018348e-10
1128.163 8.453266558960949e-11
1129.294 6.11618672374803e-11
1130.427 9.94501911377732e-11
1131.56 1.497459101162946e-10
1132.694 1.5520751350805995e-10
1133.83 1.3621415106968016e-10
